Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,almonds,April 2017,132.0,116.1,1,4.32
2,almonds,May 2017,131.9,110.9,1,4.29
3,almonds,June 2017,132.1,106.5,0,4.17
4,almonds,July 2017,131.9,107.0,1,4.87
5,almonds,August 2017,131.8,109.7,0,4.58
6,almonds,September 2017,132.3,116.0,1,4.64
7,almonds,October 2017,132.3,112.4,1,4.88
8,almonds,November 2017,132.7,120.8,0,4.3
9,almonds,December 2017,132.0,116.9,1,4.42
10,almonds,January 2018,133.2,120.6,1,4.21
11,almonds,February 2018,134.0,119.7,1,4.71
12,almonds,March 2018,134.6,123.1,0,4.67
13,almonds,April 2018,134.8,131.6,1,5.05
14,almonds,May 2018,134.9,135.9,1,4.93
15,almonds,June 2018,135.3,132.9,0,4.78
16,almonds,July 2018,136.0,133.9,1,4.82
17,almonds,August 2018,135.9,131.8,0,5.18
18,almonds,September 2018,135.2,130.4,1,5.19
19,almonds,October 2018,135.6,125.9,1,4.97
20,almonds,November 2018,135.1,113.8,0,4.36
21,almonds,December 2018,135.0,106.4,1,4.57
22,almonds,January 2019,135.2,103.1,1,5.15
23,almonds,February 2019,136.0,105.1,1,5.13
24,almonds,March 2019,137.0,117.7,0,5.1
25,almonds,April 2019,137.4,129.5,1,5.32
26,almonds,May 2019,138.1,130.7,1,5.13
27,almonds,June 2019,138.0,119.9,0,5.0
28,almonds,July 2019,138.8,124.4,1,5.17
29,almonds,August 2019,138.5,117.9,0,5.41
30,almonds,September 2019,137.5,116.9,1,5.07
31,almonds,October 2019,137.9,117.2,1,4.67
32,almonds,November 2019,137.7,115.0,0,5.0
33,almonds,December 2019,137.8,114.5,1,4.77
34,almonds,January 2020,138.0,114.6,1,5.3
35,almonds,February 2020,138.7,112.2,1,5.09
36,almonds,March 2020,137.9,91.3,0,5.25
37,almonds,April 2020,137.3,77.8,1,5.5
38,almonds,May 2020,137.5,91.4,1,5.53
39,almonds,June 2020,138.6,101.0,0,5.59
40,almonds,July 2020,138.8,105.5,1,5.7
41,almonds,August 2020,138.6,104.6,0,4.73
42,almonds,September 2020,138.3,104.1,1,4.32
43,almonds,October 2020,138.9,102.6,1,4.9
44,almonds,November 2020,139.0,101.1,0,3.96
45,almonds,December 2020,138.8,104.4,1,4.65
46,almonds,January 2021,139.5,111.0,1,4.92
47,almonds,February 2021,140.2,118.2,1,5.0
48,almonds,March 2021,141.0,125.0,0,4.83
49,almonds,April 2021,141.8,127.5,1,4.47
50,almonds,May 2021,142.6,131.5,1,4.95
51,almonds,June 2021,143.1,133.7,0,5.29
52,almonds,July 2021,143.7,138.4,1,5.25
53,almonds,August 2021,144.1,139.0,0,5.32
54,almonds,September 2021,144.4,138.9,1,5.3
55,almonds,October 2021,145.7,146.0,1,4.5
56,almonds,November 2021,146.0,145.8,0,4.53
57,almonds,December 2021,146.0,140.0,1,4.88
58,almonds,January 2022,147.4,146.6,1,5.03
59,almonds,February 2022,148.8,156.8,1,5.1
60,almonds,March 2022,150.8,175.2,0,5.25
61,almonds,April 2022,151.6,173.8,1,5.33
62,almonds,May 2022,153.7,194.8,1,5.47
63,almonds,June 2022,154.4,207.2,0,5.49
64,almonds,July 2022,154.6,187.8,1,5.18
65,almonds,August 2022,154.1,169.6,0,5.27
66,almonds,September 2022,154.1,156.4,1,5.39
67,almonds,October 2022,155.2,171.5,1,5.42
68,almonds,November 2022,155.4,165.3,0,4.75
69,almonds,December 2022,154.8,143.6,1,4.89
70,almonds,January 2023,155.7,150.3,1,4.97
71,almonds,February 2023,156.4,148.5,1,4.93
72,almonds,March 2023,157.3,150.3,0,4.22
73,almonds,April 2023,157.9,160.1,1,4.79
74,almonds,May 2023,158.5,158.8,1,4.7
75,almonds,June 2023,158.4,161.6,0,4.56
76,almonds,July 2023,159.6,163.1,1,4.8
77,almonds,August 2023,159.9,170.6,0,4.8
78,almonds,September 2023,159.7,168.3,1,4.15
79,almonds,October 2023,160.3,157.4,1,4.42
80,almonds,November 2023,160.6,152.2,0,4.34
81,almonds,December 2023,160.0,145.4,1,4.34
82,almonds,January 2024,159.9,144.1,1,4.16
83,almonds,February 2024,160.2,149.9,1,4.06
84,almonds,March 2024,161.4,157.3,0,4.08
85,almonds,April 2024,162.2,169.8,1,4.36
86,almonds,May 2024,163.2,167.6,1,4.56
87,almonds,June 2024,163.1,162.4,0,4.27
88,almonds,July 2024,163.9,166.5,1,4.62
89,almonds,August 2024,163.3,162.1,0,4.42
90,almonds,September 2024,162.8,150.3,1,4.51
91,almonds,October 2024,163.5,151.6,1,4.28
92,almonds,November 2024,163.5,151.4,0,4.26
93,almonds,December 2024,162.7,150.5,1,4.53
94,almonds,January 2025,162.6,156.7,1,4.27
95,almonds,February 2025,164.6,157.7,1,4.55
96,almonds,March 2025,165.1,154.8,0,4.68
97,almonds,April 2025,164.8,139.2,1,4.69
98,almonds,May 2025,165.9,141.7,1,4.97
99,almonds,June 2025,166.0,140.7,0,5.01
100,almonds,July 2025,166.5,139.6,1,4.94
101,almonds,August 2025,166.0,141.6,0,5.04
