Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,applejuice,April 2017,132.0,116.1,1,2.71
2,applejuice,May 2017,131.9,110.9,1,2.67
3,applejuice,June 2017,132.1,106.5,0,2.67
4,applejuice,July 2017,131.9,107.0,1,2.78
5,applejuice,August 2017,131.8,109.7,0,2.71
6,applejuice,September 2017,132.3,116.0,1,2.55
7,applejuice,October 2017,132.3,112.4,1,2.67
8,applejuice,November 2017,132.7,120.8,0,2.57
9,applejuice,December 2017,132.0,116.9,1,2.71
10,applejuice,January 2018,133.2,120.6,1,2.57
11,applejuice,February 2018,134.0,119.7,1,2.61
12,applejuice,March 2018,134.6,123.1,0,2.68
13,applejuice,April 2018,134.8,131.6,1,2.68
14,applejuice,May 2018,134.9,135.9,1,2.6
15,applejuice,June 2018,135.3,132.9,0,2.59
16,applejuice,July 2018,136.0,133.9,1,2.71
17,applejuice,August 2018,135.9,131.8,0,2.66
18,applejuice,September 2018,135.2,130.4,1,2.65
19,applejuice,October 2018,135.6,125.9,1,2.68
20,applejuice,November 2018,135.1,113.8,0,2.72
21,applejuice,December 2018,135.0,106.4,1,2.69
22,applejuice,January 2019,135.2,103.1,1,2.57
23,applejuice,February 2019,136.0,105.1,1,2.6
24,applejuice,March 2019,137.0,117.7,0,2.64
25,applejuice,April 2019,137.4,129.5,1,2.64
26,applejuice,May 2019,138.1,130.7,1,2.56
27,applejuice,June 2019,138.0,119.9,0,2.59
28,applejuice,July 2019,138.8,124.4,1,2.68
29,applejuice,August 2019,138.5,117.9,0,2.68
30,applejuice,September 2019,137.5,116.9,1,2.65
31,applejuice,October 2019,137.9,117.2,1,2.68
32,applejuice,November 2019,137.7,115.0,0,2.76
33,applejuice,December 2019,137.8,114.5,1,2.79
34,applejuice,January 2020,138.0,114.6,1,2.62
35,applejuice,February 2020,138.7,112.2,1,2.72
36,applejuice,March 2020,137.9,91.3,0,2.74
37,applejuice,April 2020,137.3,77.8,1,2.81
38,applejuice,May 2020,137.5,91.4,1,2.65
39,applejuice,June 2020,138.6,101.0,0,2.79
40,applejuice,July 2020,138.8,105.5,1,2.76
41,applejuice,August 2020,138.6,104.6,0,2.67
42,applejuice,September 2020,138.3,104.1,1,2.71
43,applejuice,October 2020,138.9,102.6,1,2.79
44,applejuice,November 2020,139.0,101.1,0,2.63
45,applejuice,December 2020,138.8,104.4,1,2.77
46,applejuice,January 2021,139.5,111.0,1,2.56
47,applejuice,February 2021,140.2,118.2,1,2.75
48,applejuice,March 2021,141.0,125.0,0,2.8
49,applejuice,April 2021,141.8,127.5,1,2.7
50,applejuice,May 2021,142.6,131.5,1,2.64
51,applejuice,June 2021,143.1,133.7,0,2.76
52,applejuice,July 2021,143.7,138.4,1,2.75
53,applejuice,August 2021,144.1,139.0,0,2.72
54,applejuice,September 2021,144.4,138.9,1,2.78
55,applejuice,October 2021,145.7,146.0,1,2.74
56,applejuice,November 2021,146.0,145.8,0,2.86
57,applejuice,December 2021,146.0,140.0,1,2.91
58,applejuice,January 2022,147.4,146.6,1,2.78
59,applejuice,February 2022,148.8,156.8,1,2.83
60,applejuice,March 2022,150.8,175.2,0,2.82
61,applejuice,April 2022,151.6,173.8,1,2.97
62,applejuice,May 2022,153.7,194.8,1,2.96
63,applejuice,June 2022,154.4,207.2,0,2.99
64,applejuice,July 2022,154.6,187.8,1,2.96
65,applejuice,August 2022,154.1,169.6,0,2.98
66,applejuice,September 2022,154.1,156.4,1,3.11
67,applejuice,October 2022,155.2,171.5,1,3.08
68,applejuice,November 2022,155.4,165.3,0,3.17
69,applejuice,December 2022,154.8,143.6,1,3.17
70,applejuice,January 2023,155.7,150.3,1,2.96
71,applejuice,February 2023,156.4,148.5,1,3.02
72,applejuice,March 2023,157.3,150.3,0,3.43
73,applejuice,April 2023,157.9,160.1,1,3.48
74,applejuice,May 2023,158.5,158.8,1,3.44
75,applejuice,June 2023,158.4,161.6,0,3.56
76,applejuice,July 2023,159.6,163.1,1,3.45
77,applejuice,August 2023,159.9,170.6,0,3.37
78,applejuice,September 2023,159.7,168.3,1,3.44
79,applejuice,October 2023,160.3,157.4,1,3.52
80,applejuice,November 2023,160.6,152.2,0,3.4
81,applejuice,December 2023,160.0,145.4,1,3.8
82,applejuice,January 2024,159.9,144.1,1,3.61
83,applejuice,February 2024,160.2,149.9,1,3.66
84,applejuice,March 2024,161.4,157.3,0,3.69
85,applejuice,April 2024,162.2,169.8,1,3.52
86,applejuice,May 2024,163.2,167.6,1,3.57
87,applejuice,June 2024,163.1,162.4,0,3.74
88,applejuice,July 2024,163.9,166.5,1,3.66
89,applejuice,August 2024,163.3,162.1,0,3.68
90,applejuice,September 2024,162.8,150.3,1,3.47
91,applejuice,October 2024,163.5,151.6,1,3.58
92,applejuice,November 2024,163.5,151.4,0,3.54
93,applejuice,December 2024,162.7,150.5,1,3.51
94,applejuice,January 2025,162.6,156.7,1,3.42
95,applejuice,February 2025,164.6,157.7,1,3.65
96,applejuice,March 2025,165.1,154.8,0,3.53
97,applejuice,April 2025,164.8,139.2,1,3.64
98,applejuice,May 2025,165.9,141.7,1,3.65
99,applejuice,June 2025,166.0,140.7,0,3.7
100,applejuice,July 2025,166.5,139.6,1,3.76
101,applejuice,August 2025,166.0,141.6,0,3.66
