Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,apples,April 2017,132.0,116.1,1,3.76
2,apples,May 2017,131.9,110.9,1,3.7
3,apples,June 2017,132.1,106.5,0,4.11
4,apples,July 2017,131.9,107.0,1,4.01
5,apples,August 2017,131.8,109.7,0,4.06
6,apples,September 2017,132.3,116.0,1,3.68
7,apples,October 2017,132.3,112.4,1,3.36
8,apples,November 2017,132.7,120.8,0,3.48
9,apples,December 2017,132.0,116.9,1,3.74
10,apples,January 2018,133.2,120.6,1,3.74
11,apples,February 2018,134.0,119.7,1,3.84
12,apples,March 2018,134.6,123.1,0,4.11
13,apples,April 2018,134.8,131.6,1,4.04
14,apples,May 2018,134.9,135.9,1,3.94
15,apples,June 2018,135.3,132.9,0,4.3
16,apples,July 2018,136.0,133.9,1,4.32
17,apples,August 2018,135.9,131.8,0,4.59
18,apples,September 2018,135.2,130.4,1,4.09
19,apples,October 2018,135.6,125.9,1,3.4
20,apples,November 2018,135.1,113.8,0,3.81
21,apples,December 2018,135.0,106.4,1,4.22
22,apples,January 2019,135.2,103.1,1,4.26
23,apples,February 2019,136.0,105.1,1,4.08
24,apples,March 2019,137.0,117.7,0,4.82
25,apples,April 2019,137.4,129.5,1,4.65
26,apples,May 2019,138.1,130.7,1,4.93
27,apples,June 2019,138.0,119.9,0,5.09
28,apples,July 2019,138.8,124.4,1,4.83
29,apples,August 2019,138.5,117.9,0,4.87
30,apples,September 2019,137.5,116.9,1,4.42
31,apples,October 2019,137.9,117.2,1,3.64
32,apples,November 2019,137.7,115.0,0,3.9
33,apples,December 2019,137.8,114.5,1,4.25
34,apples,January 2020,138.0,114.6,1,4.15
35,apples,February 2020,138.7,112.2,1,4.0
36,apples,March 2020,137.9,91.3,0,4.6
37,apples,April 2020,137.3,77.8,1,4.53
38,apples,May 2020,137.5,91.4,1,4.52
39,apples,June 2020,138.6,101.0,0,4.56
40,apples,July 2020,138.8,105.5,1,4.7
41,apples,August 2020,138.6,104.6,0,4.78
42,apples,September 2020,138.3,104.1,1,3.87
43,apples,October 2020,138.9,102.6,1,3.91
44,apples,November 2020,139.0,101.1,0,4.33
45,apples,December 2020,138.8,104.4,1,4.71
46,apples,January 2021,139.5,111.0,1,4.54
47,apples,February 2021,140.2,118.2,1,4.25
48,apples,March 2021,141.0,125.0,0,4.79
49,apples,April 2021,141.8,127.5,1,4.57
50,apples,May 2021,142.6,131.5,1,4.86
51,apples,June 2021,143.1,133.7,0,4.83
52,apples,July 2021,143.7,138.4,1,4.96
53,apples,August 2021,144.1,139.0,0,5.1
54,apples,September 2021,144.4,138.9,1,3.99
55,apples,October 2021,145.7,146.0,1,3.87
56,apples,November 2021,146.0,145.8,0,4.18
57,apples,December 2021,146.0,140.0,1,5.26
58,apples,January 2022,147.4,146.6,1,4.92
59,apples,February 2022,148.8,156.8,1,4.54
60,apples,March 2022,150.8,175.2,0,5.28
61,apples,April 2022,151.6,173.8,1,5.34
62,apples,May 2022,153.7,194.8,1,5.44
63,apples,June 2022,154.4,207.2,0,5.49
64,apples,July 2022,154.6,187.8,1,5.45
65,apples,August 2022,154.1,169.6,0,6.01
66,apples,September 2022,154.1,156.4,1,4.47
67,apples,October 2022,155.2,171.5,1,4.14
68,apples,November 2022,155.4,165.3,0,4.89
69,apples,December 2022,154.8,143.6,1,5.67
70,apples,January 2023,155.7,150.3,1,5.29
71,apples,February 2023,156.4,148.5,1,5.04
72,apples,March 2023,157.3,150.3,0,5.72
73,apples,April 2023,157.9,160.1,1,5.38
74,apples,May 2023,158.5,158.8,1,5.63
75,apples,June 2023,158.4,161.6,0,5.74
76,apples,July 2023,159.6,163.1,1,5.64
77,apples,August 2023,159.9,170.6,0,5.82
78,apples,September 2023,159.7,168.3,1,4.27
79,apples,October 2023,160.3,157.4,1,4.3
80,apples,November 2023,160.6,152.2,0,4.58
81,apples,December 2023,160.0,145.4,1,5.31
82,apples,January 2024,159.9,144.1,1,4.98
83,apples,February 2024,160.2,149.9,1,4.94
84,apples,March 2024,161.4,157.3,0,4.55
85,apples,April 2024,162.2,169.8,1,4.68
86,apples,May 2024,163.2,167.6,1,4.85
87,apples,June 2024,163.1,162.4,0,5.38
88,apples,July 2024,163.9,166.5,1,5.54
89,apples,August 2024,163.3,162.1,0,5.48
90,apples,September 2024,162.8,150.3,1,4.1
91,apples,October 2024,163.5,151.6,1,3.95
92,apples,November 2024,163.5,151.4,0,4.37
93,apples,December 2024,162.7,150.5,1,4.62
94,apples,January 2025,162.6,156.7,1,4.89
95,apples,February 2025,164.6,157.7,1,5.51
96,apples,March 2025,165.1,154.8,0,5.12
97,apples,April 2025,164.8,139.2,1,5.86
98,apples,May 2025,165.9,141.7,1,5.94
99,apples,June 2025,166.0,140.7,0,6.11
100,apples,July 2025,166.5,139.6,1,6.23
101,apples,August 2025,166.0,141.6,0,6.4
