Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,avocado,April 2017,132.0,116.1,1,1.84
2,avocado,May 2017,131.9,110.9,1,2.04
3,avocado,June 2017,132.1,106.5,0,1.98
4,avocado,July 2017,131.9,107.0,1,1.86
5,avocado,August 2017,131.8,109.7,0,1.78
6,avocado,September 2017,132.3,116.0,1,1.8
7,avocado,October 2017,132.3,112.4,1,1.67
8,avocado,November 2017,132.7,120.8,0,1.32
9,avocado,December 2017,132.0,116.9,1,1.43
10,avocado,January 2018,133.2,120.6,1,1.36
11,avocado,February 2018,134.0,119.7,1,1.38
12,avocado,March 2018,134.6,123.1,0,1.56
13,avocado,April 2018,134.8,131.6,1,1.45
14,avocado,May 2018,134.9,135.9,1,1.59
15,avocado,June 2018,135.3,132.9,0,1.72
16,avocado,July 2018,136.0,133.9,1,1.73
17,avocado,August 2018,135.9,131.8,0,1.78
18,avocado,September 2018,135.2,130.4,1,1.65
19,avocado,October 2018,135.6,125.9,1,1.51
20,avocado,November 2018,135.1,113.8,0,1.57
21,avocado,December 2018,135.0,106.4,1,1.53
22,avocado,January 2019,135.2,103.1,1,1.52
23,avocado,February 2019,136.0,105.1,1,1.53
24,avocado,March 2019,137.0,117.7,0,1.63
25,avocado,April 2019,137.4,129.5,1,1.72
26,avocado,May 2019,138.1,130.7,1,2.07
27,avocado,June 2019,138.0,119.9,0,2.0
28,avocado,July 2019,138.8,124.4,1,1.98
29,avocado,August 2019,138.5,117.9,0,1.95
30,avocado,September 2019,137.5,116.9,1,1.89
31,avocado,October 2019,137.9,117.2,1,1.76
32,avocado,November 2019,137.7,115.0,0,1.61
33,avocado,December 2019,137.8,114.5,1,1.81
34,avocado,January 2020,138.0,114.6,1,1.62
35,avocado,February 2020,138.7,112.2,1,1.54
36,avocado,March 2020,137.9,91.3,0,1.69
37,avocado,April 2020,137.3,77.8,1,1.88
38,avocado,May 2020,137.5,91.4,1,1.85
39,avocado,June 2020,138.6,101.0,0,1.86
40,avocado,July 2020,138.8,105.5,1,1.8
41,avocado,August 2020,138.6,104.6,0,1.74
42,avocado,September 2020,138.3,104.1,1,1.63
43,avocado,October 2020,138.9,102.6,1,1.54
44,avocado,November 2020,139.0,101.1,0,1.48
45,avocado,December 2020,138.8,104.4,1,1.49
46,avocado,January 2021,139.5,111.0,1,1.44
47,avocado,February 2021,140.2,118.2,1,1.33
48,avocado,March 2021,141.0,125.0,0,1.42
49,avocado,April 2021,141.8,127.5,1,1.66
50,avocado,May 2021,142.6,131.5,1,1.69
51,avocado,June 2021,143.1,133.7,0,1.7
52,avocado,July 2021,143.7,138.4,1,1.64
53,avocado,August 2021,144.1,139.0,0,1.71
54,avocado,September 2021,144.4,138.9,1,1.69
55,avocado,October 2021,145.7,146.0,1,1.63
56,avocado,November 2021,146.0,145.8,0,1.59
57,avocado,December 2021,146.0,140.0,1,1.67
58,avocado,January 2022,147.4,146.6,1,1.82
59,avocado,February 2022,148.8,156.8,1,1.9
60,avocado,March 2022,150.8,175.2,0,1.99
61,avocado,April 2022,151.6,173.8,1,2.2
62,avocado,May 2022,153.7,194.8,1,2.31
63,avocado,June 2022,154.4,207.2,0,2.32
64,avocado,July 2022,154.6,187.8,1,2.08
65,avocado,August 2022,154.1,169.6,0,2.1
66,avocado,September 2022,154.1,156.4,1,1.84
67,avocado,October 2022,155.2,171.5,1,1.96
68,avocado,November 2022,155.4,165.3,0,1.88
69,avocado,December 2022,154.8,143.6,1,2.02
70,avocado,January 2023,155.7,150.3,1,1.84
71,avocado,February 2023,156.4,148.5,1,1.72
72,avocado,March 2023,157.3,150.3,0,1.85
73,avocado,April 2023,157.9,160.1,1,2.09
74,avocado,May 2023,158.5,158.8,1,1.99
75,avocado,June 2023,158.4,161.6,0,2.03
76,avocado,July 2023,159.6,163.1,1,2.04
77,avocado,August 2023,159.9,170.6,0,2.19
78,avocado,September 2023,159.7,168.3,1,2.28
79,avocado,October 2023,160.3,157.4,1,2.3
80,avocado,November 2023,160.6,152.2,0,2.19
81,avocado,December 2023,160.0,145.4,1,2.16
82,avocado,January 2024,159.9,144.1,1,2.03
83,avocado,February 2024,160.2,149.9,1,2.05
84,avocado,March 2024,161.4,157.3,0,2.09
85,avocado,April 2024,162.2,169.8,1,1.84
86,avocado,May 2024,163.2,167.6,1,2.08
87,avocado,June 2024,163.1,162.4,0,2.24
88,avocado,July 2024,163.9,166.5,1,2.48
89,avocado,August 2024,163.3,162.1,0,2.5
90,avocado,September 2024,162.8,150.3,1,2.25
91,avocado,October 2024,163.5,151.6,1,2.2
92,avocado,November 2024,163.5,151.4,0,1.93
93,avocado,December 2024,162.7,150.5,1,2.05
94,avocado,January 2025,162.6,156.7,1,2.37
95,avocado,February 2025,164.6,157.7,1,2.29
96,avocado,March 2025,165.1,154.8,0,2.3
97,avocado,April 2025,164.8,139.2,1,2.38
98,avocado,May 2025,165.9,141.7,1,2.41
99,avocado,June 2025,166.0,140.7,0,2.22
100,avocado,July 2025,166.5,139.6,1,2.15
101,avocado,August 2025,166.0,141.6,0,2.03
