Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,babyfood,April 2017,132.0,116.1,1,1.4
2,babyfood,May 2017,131.9,110.9,1,1.39
3,babyfood,June 2017,132.1,106.5,0,1.33
4,babyfood,July 2017,131.9,107.0,1,1.26
5,babyfood,August 2017,131.8,109.7,0,1.3
6,babyfood,September 2017,132.3,116.0,1,1.31
7,babyfood,October 2017,132.3,112.4,1,1.29
8,babyfood,November 2017,132.7,120.8,0,1.28
9,babyfood,December 2017,132.0,116.9,1,1.29
10,babyfood,January 2018,133.2,120.6,1,1.28
11,babyfood,February 2018,134.0,119.7,1,1.27
12,babyfood,March 2018,134.6,123.1,0,1.18
13,babyfood,April 2018,134.8,131.6,1,1.28
14,babyfood,May 2018,134.9,135.9,1,1.29
15,babyfood,June 2018,135.3,132.9,0,1.28
16,babyfood,July 2018,136.0,133.9,1,1.28
17,babyfood,August 2018,135.9,131.8,0,1.3
18,babyfood,September 2018,135.2,130.4,1,1.3
19,babyfood,October 2018,135.6,125.9,1,1.28
20,babyfood,November 2018,135.1,113.8,0,1.29
21,babyfood,December 2018,135.0,106.4,1,1.31
22,babyfood,January 2019,135.2,103.1,1,1.32
23,babyfood,February 2019,136.0,105.1,1,1.32
24,babyfood,March 2019,137.0,117.7,0,1.31
25,babyfood,April 2019,137.4,129.5,1,1.29
26,babyfood,May 2019,138.1,130.7,1,1.3
27,babyfood,June 2019,138.0,119.9,0,1.37
28,babyfood,July 2019,138.8,124.4,1,1.36
29,babyfood,August 2019,138.5,117.9,0,1.37
30,babyfood,September 2019,137.5,116.9,1,1.32
31,babyfood,October 2019,137.9,117.2,1,1.34
32,babyfood,November 2019,137.7,115.0,0,1.3
33,babyfood,December 2019,137.8,114.5,1,1.34
34,babyfood,January 2020,138.0,114.6,1,1.32
35,babyfood,February 2020,138.7,112.2,1,1.32
36,babyfood,March 2020,137.9,91.3,0,1.41
37,babyfood,April 2020,137.3,77.8,1,1.48
38,babyfood,May 2020,137.5,91.4,1,1.34
39,babyfood,June 2020,138.6,101.0,0,1.33
40,babyfood,July 2020,138.8,105.5,1,1.37
41,babyfood,August 2020,138.6,104.6,0,1.37
42,babyfood,September 2020,138.3,104.1,1,1.35
43,babyfood,October 2020,138.9,102.6,1,1.35
44,babyfood,November 2020,139.0,101.1,0,1.34
45,babyfood,December 2020,138.8,104.4,1,1.33
46,babyfood,January 2021,139.5,111.0,1,1.33
47,babyfood,February 2021,140.2,118.2,1,1.34
48,babyfood,March 2021,141.0,125.0,0,1.35
49,babyfood,April 2021,141.8,127.5,1,1.35
50,babyfood,May 2021,142.6,131.5,1,1.36
51,babyfood,June 2021,143.1,133.7,0,1.37
52,babyfood,July 2021,143.7,138.4,1,1.37
53,babyfood,August 2021,144.1,139.0,0,1.37
54,babyfood,September 2021,144.4,138.9,1,1.35
55,babyfood,October 2021,145.7,146.0,1,1.34
56,babyfood,November 2021,146.0,145.8,0,1.34
57,babyfood,December 2021,146.0,140.0,1,1.36
58,babyfood,January 2022,147.4,146.6,1,1.37
59,babyfood,February 2022,148.8,156.8,1,1.37
60,babyfood,March 2022,150.8,175.2,0,1.4
61,babyfood,April 2022,151.6,173.8,1,1.42
62,babyfood,May 2022,153.7,194.8,1,1.43
63,babyfood,June 2022,154.4,207.2,0,1.42
64,babyfood,July 2022,154.6,187.8,1,1.4
65,babyfood,August 2022,154.1,169.6,0,1.42
66,babyfood,September 2022,154.1,156.4,1,1.47
67,babyfood,October 2022,155.2,171.5,1,1.47
68,babyfood,November 2022,155.4,165.3,0,1.44
69,babyfood,December 2022,154.8,143.6,1,1.5
70,babyfood,January 2023,155.7,150.3,1,1.49
71,babyfood,February 2023,156.4,148.5,1,1.57
72,babyfood,March 2023,157.3,150.3,0,1.62
73,babyfood,April 2023,157.9,160.1,1,1.61
74,babyfood,May 2023,158.5,158.8,1,1.63
75,babyfood,June 2023,158.4,161.6,0,1.68
76,babyfood,July 2023,159.6,163.1,1,1.7
77,babyfood,August 2023,159.9,170.6,0,1.69
78,babyfood,September 2023,159.7,168.3,1,1.66
79,babyfood,October 2023,160.3,157.4,1,1.6
80,babyfood,November 2023,160.6,152.2,0,1.64
81,babyfood,December 2023,160.0,145.4,1,1.59
82,babyfood,January 2024,159.9,144.1,1,1.59
83,babyfood,February 2024,160.2,149.9,1,1.62
84,babyfood,March 2024,161.4,157.3,0,1.58
85,babyfood,April 2024,162.2,169.8,1,1.6
86,babyfood,May 2024,163.2,167.6,1,1.63
87,babyfood,June 2024,163.1,162.4,0,1.67
88,babyfood,July 2024,163.9,166.5,1,1.63
89,babyfood,August 2024,163.3,162.1,0,1.61
90,babyfood,September 2024,162.8,150.3,1,1.63
91,babyfood,October 2024,163.5,151.6,1,1.63
92,babyfood,November 2024,163.5,151.4,0,1.6
93,babyfood,December 2024,162.7,150.5,1,1.59
94,babyfood,January 2025,162.6,156.7,1,1.57
95,babyfood,February 2025,164.6,157.7,1,1.58
96,babyfood,March 2025,165.1,154.8,0,1.59
97,babyfood,April 2025,164.8,139.2,1,1.62
98,babyfood,May 2025,165.9,141.7,1,1.64
99,babyfood,June 2025,166.0,140.7,0,1.63
100,babyfood,July 2025,166.5,139.6,1,1.63
101,babyfood,August 2025,166.0,141.6,0,1.63
