Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,bacon,April 2017,132.0,116.1,1,5.56
2,bacon,May 2017,131.9,110.9,1,5.55
3,bacon,June 2017,132.1,106.5,0,5.33
4,bacon,July 2017,131.9,107.0,1,5.37
5,bacon,August 2017,131.8,109.7,0,6.1
6,bacon,September 2017,132.3,116.0,1,5.47
7,bacon,October 2017,132.3,112.4,1,5.6
8,bacon,November 2017,132.7,120.8,0,5.26
9,bacon,December 2017,132.0,116.9,1,5.12
10,bacon,January 2018,133.2,120.6,1,5.83
11,bacon,February 2018,134.0,119.7,1,5.28
12,bacon,March 2018,134.6,123.1,0,5.72
13,bacon,April 2018,134.8,131.6,1,5.69
14,bacon,May 2018,134.9,135.9,1,5.69
15,bacon,June 2018,135.3,132.9,0,5.31
16,bacon,July 2018,136.0,133.9,1,5.52
17,bacon,August 2018,135.9,131.8,0,6.17
18,bacon,September 2018,135.2,130.4,1,6.39
19,bacon,October 2018,135.6,125.9,1,5.69
20,bacon,November 2018,135.1,113.8,0,5.65
21,bacon,December 2018,135.0,106.4,1,5.76
22,bacon,January 2019,135.2,103.1,1,6.25
23,bacon,February 2019,136.0,105.1,1,5.86
24,bacon,March 2019,137.0,117.7,0,5.41
25,bacon,April 2019,137.4,129.5,1,5.89
26,bacon,May 2019,138.1,130.7,1,5.44
27,bacon,June 2019,138.0,119.9,0,5.84
28,bacon,July 2019,138.8,124.4,1,5.77
29,bacon,August 2019,138.5,117.9,0,5.93
30,bacon,September 2019,137.5,116.9,1,6.02
31,bacon,October 2019,137.9,117.2,1,4.98
32,bacon,November 2019,137.7,115.0,0,5.78
33,bacon,December 2019,137.8,114.5,1,5.84
34,bacon,January 2020,138.0,114.6,1,5.88
35,bacon,February 2020,138.7,112.2,1,5.23
36,bacon,March 2020,137.9,91.3,0,5.77
37,bacon,April 2020,137.3,77.8,1,6.11
38,bacon,May 2020,137.5,91.4,1,5.75
39,bacon,June 2020,138.6,101.0,0,5.79
40,bacon,July 2020,138.8,105.5,1,6.07
41,bacon,August 2020,138.6,104.6,0,5.86
42,bacon,September 2020,138.3,104.1,1,5.67
43,bacon,October 2020,138.9,102.6,1,5.62
44,bacon,November 2020,139.0,101.1,0,6.45
45,bacon,December 2020,138.8,104.4,1,6.36
46,bacon,January 2021,139.5,111.0,1,6.01
47,bacon,February 2021,140.2,118.2,1,5.8
48,bacon,March 2021,141.0,125.0,0,6.4
49,bacon,April 2021,141.8,127.5,1,6.18
50,bacon,May 2021,142.6,131.5,1,6.82
51,bacon,June 2021,143.1,133.7,0,6.27
52,bacon,July 2021,143.7,138.4,1,6.83
53,bacon,August 2021,144.1,139.0,0,7.11
54,bacon,September 2021,144.4,138.9,1,6.81
55,bacon,October 2021,145.7,146.0,1,6.92
56,bacon,November 2021,146.0,145.8,0,7.28
57,bacon,December 2021,146.0,140.0,1,7.26
58,bacon,January 2022,147.4,146.6,1,6.8
59,bacon,February 2022,148.8,156.8,1,7.18
60,bacon,March 2022,150.8,175.2,0,6.88
61,bacon,April 2022,151.6,173.8,1,7.3
62,bacon,May 2022,153.7,194.8,1,7.19
63,bacon,June 2022,154.4,207.2,0,6.97
64,bacon,July 2022,154.6,187.8,1,7.35
65,bacon,August 2022,154.1,169.6,0,7.34
66,bacon,September 2022,154.1,156.4,1,7.15
67,bacon,October 2022,155.2,171.5,1,7.47
68,bacon,November 2022,155.4,165.3,0,7.18
69,bacon,December 2022,154.8,143.6,1,7.66
70,bacon,January 2023,155.7,150.3,1,6.87
71,bacon,February 2023,156.4,148.5,1,6.54
72,bacon,March 2023,157.3,150.3,0,6.82
73,bacon,April 2023,157.9,160.1,1,6.79
74,bacon,May 2023,158.5,158.8,1,6.1
75,bacon,June 2023,158.4,161.6,0,6.2
76,bacon,July 2023,159.6,163.1,1,6.3
77,bacon,August 2023,159.9,170.6,0,6.44
78,bacon,September 2023,159.7,168.3,1,7.3
79,bacon,October 2023,160.3,157.4,1,7.43
80,bacon,November 2023,160.6,152.2,0,6.7
81,bacon,December 2023,160.0,145.4,1,7.06
82,bacon,January 2024,159.9,144.1,1,6.49
83,bacon,February 2024,160.2,149.9,1,5.73
84,bacon,March 2024,161.4,157.3,0,5.94
85,bacon,April 2024,162.2,169.8,1,6.09
86,bacon,May 2024,163.2,167.6,1,5.95
87,bacon,June 2024,163.1,162.4,0,6.27
88,bacon,July 2024,163.9,166.5,1,6.13
89,bacon,August 2024,163.3,162.1,0,6.51
90,bacon,September 2024,162.8,150.3,1,6.11
91,bacon,October 2024,163.5,151.6,1,6.52
92,bacon,November 2024,163.5,151.4,0,6.0
93,bacon,December 2024,162.7,150.5,1,6.47
94,bacon,January 2025,162.6,156.7,1,6.3
95,bacon,February 2025,164.6,157.7,1,6.49
96,bacon,March 2025,165.1,154.8,0,6.49
97,bacon,April 2025,164.8,139.2,1,6.34
98,bacon,May 2025,165.9,141.7,1,6.75
99,bacon,June 2025,166.0,140.7,0,6.54
100,bacon,July 2025,166.5,139.6,1,6.64
101,bacon,August 2025,166.0,141.6,0,7.23
