Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,bananas,April 2017,132.0,116.1,1,1.38
2,bananas,May 2017,131.9,110.9,1,1.39
3,bananas,June 2017,132.1,106.5,0,1.39
4,bananas,July 2017,131.9,107.0,1,1.38
5,bananas,August 2017,131.8,109.7,0,1.38
6,bananas,September 2017,132.3,116.0,1,1.38
7,bananas,October 2017,132.3,112.4,1,1.38
8,bananas,November 2017,132.7,120.8,0,1.37
9,bananas,December 2017,132.0,116.9,1,1.39
10,bananas,January 2018,133.2,120.6,1,1.4
11,bananas,February 2018,134.0,119.7,1,1.4
12,bananas,March 2018,134.6,123.1,0,1.41
13,bananas,April 2018,134.8,131.6,1,1.41
14,bananas,May 2018,134.9,135.9,1,1.42
15,bananas,June 2018,135.3,132.9,0,1.43
16,bananas,July 2018,136.0,133.9,1,1.43
17,bananas,August 2018,135.9,131.8,0,1.44
18,bananas,September 2018,135.2,130.4,1,1.42
19,bananas,October 2018,135.6,125.9,1,1.41
20,bananas,November 2018,135.1,113.8,0,1.42
21,bananas,December 2018,135.0,106.4,1,1.43
22,bananas,January 2019,135.2,103.1,1,1.42
23,bananas,February 2019,136.0,105.1,1,1.42
24,bananas,March 2019,137.0,117.7,0,1.42
25,bananas,April 2019,137.4,129.5,1,1.43
26,bananas,May 2019,138.1,130.7,1,1.42
27,bananas,June 2019,138.0,119.9,0,1.42
28,bananas,July 2019,138.8,124.4,1,1.42
29,bananas,August 2019,138.5,117.9,0,1.41
30,bananas,September 2019,137.5,116.9,1,1.4
31,bananas,October 2019,137.9,117.2,1,1.41
32,bananas,November 2019,137.7,115.0,0,1.4
33,bananas,December 2019,137.8,114.5,1,1.4
34,bananas,January 2020,138.0,114.6,1,1.4
35,bananas,February 2020,138.7,112.2,1,1.4
36,bananas,March 2020,137.9,91.3,0,1.41
37,bananas,April 2020,137.3,77.8,1,1.42
38,bananas,May 2020,137.5,91.4,1,1.41
39,bananas,June 2020,138.6,101.0,0,1.39
40,bananas,July 2020,138.8,105.5,1,1.41
41,bananas,August 2020,138.6,104.6,0,1.41
42,bananas,September 2020,138.3,104.1,1,1.41
43,bananas,October 2020,138.9,102.6,1,1.41
44,bananas,November 2020,139.0,101.1,0,1.41
45,bananas,December 2020,138.8,104.4,1,1.41
46,bananas,January 2021,139.5,111.0,1,1.42
47,bananas,February 2021,140.2,118.2,1,1.42
48,bananas,March 2021,141.0,125.0,0,1.42
49,bananas,April 2021,141.8,127.5,1,1.42
50,bananas,May 2021,142.6,131.5,1,1.42
51,bananas,June 2021,143.1,133.7,0,1.42
52,bananas,July 2021,143.7,138.4,1,1.42
53,bananas,August 2021,144.1,139.0,0,1.42
54,bananas,September 2021,144.4,138.9,1,1.41
55,bananas,October 2021,145.7,146.0,1,1.42
56,bananas,November 2021,146.0,145.8,0,1.42
57,bananas,December 2021,146.0,140.0,1,1.47
58,bananas,January 2022,147.4,146.6,1,1.48
59,bananas,February 2022,148.8,156.8,1,1.48
60,bananas,March 2022,150.8,175.2,0,1.49
61,bananas,April 2022,151.6,173.8,1,1.49
62,bananas,May 2022,153.7,194.8,1,1.49
63,bananas,June 2022,154.4,207.2,0,1.49
64,bananas,July 2022,154.6,187.8,1,1.49
65,bananas,August 2022,154.1,169.6,0,1.48
66,bananas,September 2022,154.1,156.4,1,1.49
67,bananas,October 2022,155.2,171.5,1,1.49
68,bananas,November 2022,155.4,165.3,0,1.48
69,bananas,December 2022,154.8,143.6,1,1.48
70,bananas,January 2023,155.7,150.3,1,1.49
71,bananas,February 2023,156.4,148.5,1,1.49
72,bananas,March 2023,157.3,150.3,0,1.49
73,bananas,April 2023,157.9,160.1,1,1.48
74,bananas,May 2023,158.5,158.8,1,1.49
75,bananas,June 2023,158.4,161.6,0,1.5
76,bananas,July 2023,159.6,163.1,1,1.49
77,bananas,August 2023,159.9,170.6,0,1.48
78,bananas,September 2023,159.7,168.3,1,1.48
79,bananas,October 2023,160.3,157.4,1,1.48
80,bananas,November 2023,160.6,152.2,0,1.47
81,bananas,December 2023,160.0,145.4,1,1.47
82,bananas,January 2024,159.9,144.1,1,1.45
83,bananas,February 2024,160.2,149.9,1,1.45
84,bananas,March 2024,161.4,157.3,0,1.45
85,bananas,April 2024,162.2,169.8,1,1.45
86,bananas,May 2024,163.2,167.6,1,1.45
87,bananas,June 2024,163.1,162.4,0,1.45
88,bananas,July 2024,163.9,166.5,1,1.44
89,bananas,August 2024,163.3,162.1,0,1.45
90,bananas,September 2024,162.8,150.3,1,1.44
91,bananas,October 2024,163.5,151.6,1,1.44
92,bananas,November 2024,163.5,151.4,0,1.45
93,bananas,December 2024,162.7,150.5,1,1.46
94,bananas,January 2025,162.6,156.7,1,1.48
95,bananas,February 2025,164.6,157.7,1,1.48
96,bananas,March 2025,165.1,154.8,0,1.5
97,bananas,April 2025,164.8,139.2,1,1.49
98,bananas,May 2025,165.9,141.7,1,1.52
99,bananas,June 2025,166.0,140.7,0,1.51
100,bananas,July 2025,166.5,139.6,1,1.51
101,bananas,August 2025,166.0,141.6,0,1.52
