Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,beefribcuts,April 2017,132.0,116.1,1,16.27
2,beefribcuts,May 2017,131.9,110.9,1,19.08
3,beefribcuts,June 2017,132.1,106.5,0,23.39
4,beefribcuts,July 2017,131.9,107.0,1,21.78
5,beefribcuts,August 2017,131.8,109.7,0,23.97
6,beefribcuts,September 2017,132.3,116.0,1,18.42
7,beefribcuts,October 2017,132.3,112.4,1,14.51
8,beefribcuts,November 2017,132.7,120.8,0,20.88
9,beefribcuts,December 2017,132.0,116.9,1,14.53
10,beefribcuts,January 2018,133.2,120.6,1,20.22
11,beefribcuts,February 2018,134.0,119.7,1,22.35
12,beefribcuts,March 2018,134.6,123.1,0,15.81
13,beefribcuts,April 2018,134.8,131.6,1,22.25
14,beefribcuts,May 2018,134.9,135.9,1,21.28
15,beefribcuts,June 2018,135.3,132.9,0,19.73
16,beefribcuts,July 2018,136.0,133.9,1,24.5
17,beefribcuts,August 2018,135.9,131.8,0,19.16
18,beefribcuts,September 2018,135.2,130.4,1,20.68
19,beefribcuts,October 2018,135.6,125.9,1,15.24
20,beefribcuts,November 2018,135.1,113.8,0,24.46
21,beefribcuts,December 2018,135.0,106.4,1,16.8
22,beefribcuts,January 2019,135.2,103.1,1,19.69
23,beefribcuts,February 2019,136.0,105.1,1,23.44
24,beefribcuts,March 2019,137.0,117.7,0,23.12
25,beefribcuts,April 2019,137.4,129.5,1,16.48
26,beefribcuts,May 2019,138.1,130.7,1,23.76
27,beefribcuts,June 2019,138.0,119.9,0,21.14
28,beefribcuts,July 2019,138.8,124.4,1,23.05
29,beefribcuts,August 2019,138.5,117.9,0,22.98
30,beefribcuts,September 2019,137.5,116.9,1,23.19
31,beefribcuts,October 2019,137.9,117.2,1,14.76
32,beefribcuts,November 2019,137.7,115.0,0,21.71
33,beefribcuts,December 2019,137.8,114.5,1,13.9
34,beefribcuts,January 2020,138.0,114.6,1,22.49
35,beefribcuts,February 2020,138.7,112.2,1,26.44
36,beefribcuts,March 2020,137.9,91.3,0,20.5
37,beefribcuts,April 2020,137.3,77.8,1,17.35
38,beefribcuts,May 2020,137.5,91.4,1,23.21
39,beefribcuts,June 2020,138.6,101.0,0,22.54
40,beefribcuts,July 2020,138.8,105.5,1,23.95
41,beefribcuts,August 2020,138.6,104.6,0,25.74
42,beefribcuts,September 2020,138.3,104.1,1,25.42
43,beefribcuts,October 2020,138.9,102.6,1,15.6
44,beefribcuts,November 2020,139.0,101.1,0,23.76
45,beefribcuts,December 2020,138.8,104.4,1,16.53
46,beefribcuts,January 2021,139.5,111.0,1,24.79
47,beefribcuts,February 2021,140.2,118.2,1,22.71
48,beefribcuts,March 2021,141.0,125.0,0,18.58
49,beefribcuts,April 2021,141.8,127.5,1,22.25
50,beefribcuts,May 2021,142.6,131.5,1,29.57
51,beefribcuts,June 2021,143.1,133.7,0,28.29
52,beefribcuts,July 2021,143.7,138.4,1,26.14
53,beefribcuts,August 2021,144.1,139.0,0,23.68
54,beefribcuts,September 2021,144.4,138.9,1,25.09
55,beefribcuts,October 2021,145.7,146.0,1,19.5
56,beefribcuts,November 2021,146.0,145.8,0,30.13
57,beefribcuts,December 2021,146.0,140.0,1,21.03
58,beefribcuts,January 2022,147.4,146.6,1,29.18
