Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,"Beef stewing cuts, per kilogram 4",April 2017,132.0,116.1,1,13.60
2,"Beef stewing cuts, per kilogram 4",May 2017,131.9,110.9,1,15.38
3,"Beef stewing cuts, per kilogram 4",June 2017,132.1,106.5,0,15.50
4,"Beef stewing cuts, per kilogram 4",July 2017,131.9,107.0,1,15.95
5,"Beef stewing cuts, per kilogram 4",August 2017,131.8,109.7,0,16.22
6,"Beef stewing cuts, per kilogram 4",September 2017,132.3,116.0,1,14.20
7,"Beef stewing cuts, per kilogram 4",October 2017,132.3,112.4,1,13.79
8,"Beef stewing cuts, per kilogram 4",November 2017,132.7,120.8,0,13.72
9,"Beef stewing cuts, per kilogram 4",December 2017,132.0,116.9,1,13.98
10,"Beef stewing cuts, per kilogram 4",January 2018,133.2,120.6,1,13.08
11,"Beef stewing cuts, per kilogram 4",February 2018,134.0,119.7,1,12.08
12,"Beef stewing cuts, per kilogram 4",March 2018,134.6,123.1,0,14.01
13,"Beef stewing cuts, per kilogram 4",April 2018,134.8,131.6,1,14.00
14,"Beef stewing cuts, per kilogram 4",May 2018,134.9,135.9,1,14.11
15,"Beef stewing cuts, per kilogram 4",June 2018,135.3,132.9,0,13.72
16,"Beef stewing cuts, per kilogram 4",July 2018,136.0,133.9,1,13.60
17,"Beef stewing cuts, per kilogram 4",August 2018,135.9,131.8,0,13.63
18,"Beef stewing cuts, per kilogram 4",September 2018,135.2,130.4,1,13.94
19,"Beef stewing cuts, per kilogram 4",October 2018,135.6,125.9,1,13.14
20,"Beef stewing cuts, per kilogram 4",November 2018,135.1,113.8,0,12.81
21,"Beef stewing cuts, per kilogram 4",December 2018,135.0,106.4,1,13.08
22,"Beef stewing cuts, per kilogram 4",January 2019,135.2,103.1,1,13.79
23,"Beef stewing cuts, per kilogram 4",February 2019,136.0,105.1,1,13.32
24,"Beef stewing cuts, per kilogram 4",March 2019,137.0,117.7,0,13.52
25,"Beef stewing cuts, per kilogram 4",April 2019,137.4,129.5,1,13.95
