Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,beefstriploincuts,April 2017,132.0,116.1,1,17.86
2,beefstriploincuts,May 2017,131.9,110.9,1,23.05
3,beefstriploincuts,June 2017,132.1,106.5,0,25.34
4,beefstriploincuts,July 2017,131.9,107.0,1,25.33
5,beefstriploincuts,August 2017,131.8,109.7,0,19.67
6,beefstriploincuts,September 2017,132.3,116.0,1,24.27
7,beefstriploincuts,October 2017,132.3,112.4,1,23.3
8,beefstriploincuts,November 2017,132.7,120.8,0,18.83
9,beefstriploincuts,December 2017,132.0,116.9,1,18.7
10,beefstriploincuts,January 2018,133.2,120.6,1,14.95
11,beefstriploincuts,February 2018,134.0,119.7,1,21.39
12,beefstriploincuts,March 2018,134.6,123.1,0,26.23
13,beefstriploincuts,April 2018,134.8,131.6,1,17.12
14,beefstriploincuts,May 2018,134.9,135.9,1,18.85
15,beefstriploincuts,June 2018,135.3,132.9,0,18.46
16,beefstriploincuts,July 2018,136.0,133.9,1,19.9
17,beefstriploincuts,August 2018,135.9,131.8,0,19.11
18,beefstriploincuts,September 2018,135.2,130.4,1,20.99
19,beefstriploincuts,October 2018,135.6,125.9,1,19.88
20,beefstriploincuts,November 2018,135.1,113.8,0,17.3
21,beefstriploincuts,December 2018,135.0,106.4,1,12.39
22,beefstriploincuts,January 2019,135.2,103.1,1,18.72
23,beefstriploincuts,February 2019,136.0,105.1,1,18.8
24,beefstriploincuts,March 2019,137.0,117.7,0,21.55
25,beefstriploincuts,April 2019,137.4,129.5,1,15.94
26,beefstriploincuts,May 2019,138.1,130.7,1,17.99
27,beefstriploincuts,June 2019,138.0,119.9,0,19.19
28,beefstriploincuts,July 2019,138.8,124.4,1,19.26
29,beefstriploincuts,August 2019,138.5,117.9,0,18.42
30,beefstriploincuts,September 2019,137.5,116.9,1,16.94
31,beefstriploincuts,October 2019,137.9,117.2,1,18.9
32,beefstriploincuts,November 2019,137.7,115.0,0,15.49
33,beefstriploincuts,December 2019,137.8,114.5,1,17.67
34,beefstriploincuts,January 2020,138.0,114.6,1,18.74
35,beefstriploincuts,February 2020,138.7,112.2,1,19.5
36,beefstriploincuts,March 2020,137.9,91.3,0,20.24
37,beefstriploincuts,April 2020,137.3,77.8,1,18.3
38,beefstriploincuts,May 2020,137.5,91.4,1,21.32
39,beefstriploincuts,June 2020,138.6,101.0,0,34.02
40,beefstriploincuts,July 2020,138.8,105.5,1,21.63
