Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,beeftopsirloincuts,April 2017,132.0,116.1,1,10.45
2,beeftopsirloincuts,May 2017,131.9,110.9,1,17.77
3,beeftopsirloincuts,June 2017,132.1,106.5,0,17.43
4,beeftopsirloincuts,July 2017,131.9,107.0,1,17.07
5,beeftopsirloincuts,August 2017,131.8,109.7,0,20.02
6,beeftopsirloincuts,September 2017,132.3,116.0,1,16.7
7,beeftopsirloincuts,October 2017,132.3,112.4,1,17.1
8,beeftopsirloincuts,November 2017,132.7,120.8,0,12.8
9,beeftopsirloincuts,December 2017,132.0,116.9,1,8.3
10,beeftopsirloincuts,January 2018,133.2,120.6,1,13.51
11,beeftopsirloincuts,February 2018,134.0,119.7,1,16.23
12,beeftopsirloincuts,March 2018,134.6,123.1,0,13.02
13,beeftopsirloincuts,April 2018,134.8,131.6,1,15.57
14,beeftopsirloincuts,May 2018,134.9,135.9,1,14.87
15,beeftopsirloincuts,June 2018,135.3,132.9,0,15.54
16,beeftopsirloincuts,July 2018,136.0,133.9,1,16.98
17,beeftopsirloincuts,August 2018,135.9,131.8,0,12.99
18,beeftopsirloincuts,September 2018,135.2,130.4,1,15.38
19,beeftopsirloincuts,October 2018,135.6,125.9,1,13.0
20,beeftopsirloincuts,November 2018,135.1,113.8,0,13.07
21,beeftopsirloincuts,December 2018,135.0,106.4,1,11.57
22,beeftopsirloincuts,January 2019,135.2,103.1,1,15.5
23,beeftopsirloincuts,February 2019,136.0,105.1,1,13.44
24,beeftopsirloincuts,March 2019,137.0,117.7,0,16.15
25,beeftopsirloincuts,April 2019,137.4,129.5,1,13.58
26,beeftopsirloincuts,May 2019,138.1,130.7,1,16.82
27,beeftopsirloincuts,June 2019,138.0,119.9,0,15.68
28,beeftopsirloincuts,July 2019,138.8,124.4,1,14.97
29,beeftopsirloincuts,August 2019,138.5,117.9,0,12.36
30,beeftopsirloincuts,September 2019,137.5,116.9,1,14.1
31,beeftopsirloincuts,October 2019,137.9,117.2,1,15.68
32,beeftopsirloincuts,November 2019,137.7,115.0,0,14.31
33,beeftopsirloincuts,December 2019,137.8,114.5,1,10.96
34,beeftopsirloincuts,January 2020,138.0,114.6,1,13.68
35,beeftopsirloincuts,February 2020,138.7,112.2,1,13.43
36,beeftopsirloincuts,March 2020,137.9,91.3,0,16.47
37,beeftopsirloincuts,April 2020,137.3,77.8,1,13.78
38,beeftopsirloincuts,May 2020,137.5,91.4,1,16.85
39,beeftopsirloincuts,June 2020,138.6,101.0,0,20.74
40,beeftopsirloincuts,July 2020,138.8,105.5,1,16.31
41,beeftopsirloincuts,August 2020,138.6,104.6,0,13.98
42,beeftopsirloincuts,September 2020,138.3,104.1,1,12.83
43,beeftopsirloincuts,October 2020,138.9,102.6,1,10.91
44,beeftopsirloincuts,November 2020,139.0,101.1,0,14.45
45,beeftopsirloincuts,December 2020,138.8,104.4,1,11.43
46,beeftopsirloincuts,January 2021,139.5,111.0,1,13.88
47,beeftopsirloincuts,February 2021,140.2,118.2,1,13.52
48,beeftopsirloincuts,March 2021,141.0,125.0,0,14.6
49,beeftopsirloincuts,April 2021,141.8,127.5,1,17.24
50,beeftopsirloincuts,May 2021,142.6,131.5,1,14.2
51,beeftopsirloincuts,June 2021,143.1,133.7,0,18.69
52,beeftopsirloincuts,July 2021,143.7,138.4,1,16.16
53,beeftopsirloincuts,August 2021,144.1,139.0,0,18.44
54,beeftopsirloincuts,September 2021,144.4,138.9,1,20.71
55,beeftopsirloincuts,October 2021,145.7,146.0,1,13.28
56,beeftopsirloincuts,November 2021,146.0,145.8,0,18.36
57,beeftopsirloincuts,December 2021,146.0,140.0,1,13.29
58,beeftopsirloincuts,January 2022,147.4,146.6,1,18.07
59,beeftopsirloincuts,February 2022,148.8,156.8,1,17.46
60,beeftopsirloincuts,March 2022,150.8,175.2,0,16.26
61,beeftopsirloincuts,April 2022,151.6,173.8,1,17.21
62,beeftopsirloincuts,May 2022,153.7,194.8,1,17.12
63,beeftopsirloincuts,June 2022,154.4,207.2,0,20.18
64,beeftopsirloincuts,July 2022,154.6,187.8,1,17.81
65,beeftopsirloincuts,August 2022,154.1,169.6,0,19.78
66,beeftopsirloincuts,September 2022,154.1,156.4,1,21.96
67,beeftopsirloincuts,October 2022,155.2,171.5,1,14.57
68,beeftopsirloincuts,November 2022,155.4,165.3,0,18.07
69,beeftopsirloincuts,December 2022,154.8,143.6,1,13.69
70,beeftopsirloincuts,January 2023,155.7,150.3,1,18.83
71,beeftopsirloincuts,February 2023,156.4,148.5,1,18.45
72,beeftopsirloincuts,March 2023,157.3,150.3,0,21.21
73,beeftopsirloincuts,April 2023,157.9,160.1,1,20.49
74,beeftopsirloincuts,May 2023,158.5,158.8,1,21.89
75,beeftopsirloincuts,June 2023,158.4,161.6,0,23.89
76,beeftopsirloincuts,July 2023,159.6,163.1,1,22.68
77,beeftopsirloincuts,August 2023,159.9,170.6,0,28.33
78,beeftopsirloincuts,September 2023,159.7,168.3,1,28.58
79,beeftopsirloincuts,October 2023,160.3,157.4,1,26.58
80,beeftopsirloincuts,November 2023,160.6,152.2,0,20.14
81,beeftopsirloincuts,December 2023,160.0,145.4,1,20.83
82,beeftopsirloincuts,January 2024,159.9,144.1,1,17.8
83,beeftopsirloincuts,February 2024,160.2,149.9,1,18.31
84,beeftopsirloincuts,March 2024,161.4,157.3,0,20.59
85,beeftopsirloincuts,April 2024,162.2,169.8,1,18.57
86,beeftopsirloincuts,May 2024,163.2,167.6,1,21.0
87,beeftopsirloincuts,June 2024,163.1,162.4,0,22.55
88,beeftopsirloincuts,July 2024,163.9,166.5,1,22.79
89,beeftopsirloincuts,August 2024,163.3,162.1,0,22.84
90,beeftopsirloincuts,September 2024,162.8,150.3,1,22.39
91,beeftopsirloincuts,October 2024,163.5,151.6,1,24.16
92,beeftopsirloincuts,November 2024,163.5,151.4,0,22.83
93,beeftopsirloincuts,December 2024,162.7,150.5,1,20.42
94,beeftopsirloincuts,January 2025,162.6,156.7,1,23.08
95,beeftopsirloincuts,February 2025,164.6,157.7,1,27.15
96,beeftopsirloincuts,March 2025,165.1,154.8,0,22.25
97,beeftopsirloincuts,April 2025,164.8,139.2,1,26.97
98,beeftopsirloincuts,May 2025,165.9,141.7,1,22.99
99,beeftopsirloincuts,June 2025,166.0,140.7,0,29.45
100,beeftopsirloincuts,July 2025,166.5,139.6,1,28.82
101,beeftopsirloincuts,August 2025,166.0,141.6,0,28.59
