Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,blockcheese,April 2017,132.0,116.1,1,5.36
2,blockcheese,May 2017,131.9,110.9,1,6.0
3,blockcheese,June 2017,132.1,106.5,0,5.9
4,blockcheese,July 2017,131.9,107.0,1,5.61
5,blockcheese,August 2017,131.8,109.7,0,5.85
6,blockcheese,September 2017,132.3,116.0,1,5.56
7,blockcheese,October 2017,132.3,112.4,1,5.35
8,blockcheese,November 2017,132.7,120.8,0,5.6
9,blockcheese,December 2017,132.0,116.9,1,5.35
10,blockcheese,January 2018,133.2,120.6,1,5.58
11,blockcheese,February 2018,134.0,119.7,1,5.88
12,blockcheese,March 2018,134.6,123.1,0,5.46
13,blockcheese,April 2018,134.8,131.6,1,5.71
14,blockcheese,May 2018,134.9,135.9,1,6.06
15,blockcheese,June 2018,135.3,132.9,0,6.08
16,blockcheese,July 2018,136.0,133.9,1,5.81
17,blockcheese,August 2018,135.9,131.8,0,5.7
18,blockcheese,September 2018,135.2,130.4,1,5.97
19,blockcheese,October 2018,135.6,125.9,1,5.52
20,blockcheese,November 2018,135.1,113.8,0,5.4
21,blockcheese,December 2018,135.0,106.4,1,5.25
22,blockcheese,January 2019,135.2,103.1,1,5.82
23,blockcheese,February 2019,136.0,105.1,1,5.63
24,blockcheese,March 2019,137.0,117.7,0,5.78
25,blockcheese,April 2019,137.4,129.5,1,5.59
26,blockcheese,May 2019,138.1,130.7,1,6.06
27,blockcheese,June 2019,138.0,119.9,0,6.0
28,blockcheese,July 2019,138.8,124.4,1,5.83
29,blockcheese,August 2019,138.5,117.9,0,5.74
30,blockcheese,September 2019,137.5,116.9,1,5.76
31,blockcheese,October 2019,137.9,117.2,1,5.36
32,blockcheese,November 2019,137.7,115.0,0,5.77
33,blockcheese,December 2019,137.8,114.5,1,5.31
34,blockcheese,January 2020,138.0,114.6,1,5.7
35,blockcheese,February 2020,138.7,112.2,1,5.73
36,blockcheese,March 2020,137.9,91.3,0,6.24
37,blockcheese,April 2020,137.3,77.8,1,6.22
38,blockcheese,May 2020,137.5,91.4,1,6.21
39,blockcheese,June 2020,138.6,101.0,0,6.39
40,blockcheese,July 2020,138.8,105.5,1,6.15
41,blockcheese,August 2020,138.6,104.6,0,6.24
42,blockcheese,September 2020,138.3,104.1,1,6.06
43,blockcheese,October 2020,138.9,102.6,1,5.9
44,blockcheese,November 2020,139.0,101.1,0,5.9
45,blockcheese,December 2020,138.8,104.4,1,6.09
46,blockcheese,January 2021,139.5,111.0,1,6.29
47,blockcheese,February 2021,140.2,118.2,1,6.21
48,blockcheese,March 2021,141.0,125.0,0,6.01
49,blockcheese,April 2021,141.8,127.5,1,6.27
50,blockcheese,May 2021,142.6,131.5,1,6.47
51,blockcheese,June 2021,143.1,133.7,0,6.32
52,blockcheese,July 2021,143.7,138.4,1,6.34
53,blockcheese,August 2021,144.1,139.0,0,6.6
54,blockcheese,September 2021,144.4,138.9,1,6.26
55,blockcheese,October 2021,145.7,146.0,1,6.12
56,blockcheese,November 2021,146.0,145.8,0,6.15
57,blockcheese,December 2021,146.0,140.0,1,5.92
58,blockcheese,January 2022,147.4,146.6,1,6.29
59,blockcheese,February 2022,148.8,156.8,1,6.55
60,blockcheese,March 2022,150.8,175.2,0,6.84
61,blockcheese,April 2022,151.6,173.8,1,6.61
62,blockcheese,May 2022,153.7,194.8,1,6.86
63,blockcheese,June 2022,154.4,207.2,0,6.72
64,blockcheese,July 2022,154.6,187.8,1,6.74
65,blockcheese,August 2022,154.1,169.6,0,6.74
66,blockcheese,September 2022,154.1,156.4,1,6.83
67,blockcheese,October 2022,155.2,171.5,1,6.58
68,blockcheese,November 2022,155.4,165.3,0,6.67
69,blockcheese,December 2022,154.8,143.6,1,6.36
70,blockcheese,January 2023,155.7,150.3,1,6.91
71,blockcheese,February 2023,156.4,148.5,1,6.8
72,blockcheese,March 2023,157.3,150.3,0,6.91
73,blockcheese,April 2023,157.9,160.1,1,6.81
74,blockcheese,May 2023,158.5,158.8,1,6.95
75,blockcheese,June 2023,158.4,161.6,0,6.68
76,blockcheese,July 2023,159.6,163.1,1,6.99
77,blockcheese,August 2023,159.9,170.6,0,6.65
78,blockcheese,September 2023,159.7,168.3,1,7.03
79,blockcheese,October 2023,160.3,157.4,1,6.49
80,blockcheese,November 2023,160.6,152.2,0,6.81
81,blockcheese,December 2023,160.0,145.4,1,6.3
82,blockcheese,January 2024,159.9,144.1,1,6.84
83,blockcheese,February 2024,160.2,149.9,1,6.6
84,blockcheese,March 2024,161.4,157.3,0,6.62
85,blockcheese,April 2024,162.2,169.8,1,6.99
86,blockcheese,May 2024,163.2,167.6,1,6.86
87,blockcheese,June 2024,163.1,162.4,0,6.85
88,blockcheese,July 2024,163.9,166.5,1,7.0
89,blockcheese,August 2024,163.3,162.1,0,7.0
90,blockcheese,September 2024,162.8,150.3,1,6.69
91,blockcheese,October 2024,163.5,151.6,1,6.67
92,blockcheese,November 2024,163.5,151.4,0,6.79
93,blockcheese,December 2024,162.7,150.5,1,6.49
94,blockcheese,January 2025,162.6,156.7,1,6.83
95,blockcheese,February 2025,164.6,157.7,1,6.94
96,blockcheese,March 2025,165.1,154.8,0,6.79
97,blockcheese,April 2025,164.8,139.2,1,6.61
98,blockcheese,May 2025,165.9,141.7,1,6.67
99,blockcheese,June 2025,166.0,140.7,0,6.74
100,blockcheese,July 2025,166.5,139.6,1,6.9
101,blockcheese,August 2025,166.0,141.6,0,6.97
