Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,broccoli,April 2017,132.0,116.1,1,2.92
2,broccoli,May 2017,131.9,110.9,1,2.75
3,broccoli,June 2017,132.1,106.5,0,3.0
4,broccoli,July 2017,131.9,107.0,1,2.0
5,broccoli,August 2017,131.8,109.7,0,1.58
6,broccoli,September 2017,132.3,116.0,1,1.48
7,broccoli,October 2017,132.3,112.4,1,1.44
8,broccoli,November 2017,132.7,120.8,0,2.3
9,broccoli,December 2017,132.0,116.9,1,2.33
10,broccoli,January 2018,133.2,120.6,1,2.26
11,broccoli,February 2018,134.0,119.7,1,1.98
12,broccoli,March 2018,134.6,123.1,0,1.93
13,broccoli,April 2018,134.8,131.6,1,2.05
14,broccoli,May 2018,134.9,135.9,1,2.45
15,broccoli,June 2018,135.3,132.9,0,2.77
16,broccoli,July 2018,136.0,133.9,1,2.02
17,broccoli,August 2018,135.9,131.8,0,2.03
18,broccoli,September 2018,135.2,130.4,1,1.65
19,broccoli,October 2018,135.6,125.9,1,1.89
20,broccoli,November 2018,135.1,113.8,0,2.54
21,broccoli,December 2018,135.0,106.4,1,2.93
22,broccoli,January 2019,135.2,103.1,1,2.69
23,broccoli,February 2019,136.0,105.1,1,2.25
24,broccoli,March 2019,137.0,117.7,0,2.52
25,broccoli,April 2019,137.4,129.5,1,2.13
26,broccoli,May 2019,138.1,130.7,1,2.4
27,broccoli,June 2019,138.0,119.9,0,3.03
28,broccoli,July 2019,138.8,124.4,1,2.1
29,broccoli,August 2019,138.5,117.9,0,2.09
30,broccoli,September 2019,137.5,116.9,1,2.07
31,broccoli,October 2019,137.9,117.2,1,2.08
32,broccoli,November 2019,137.7,115.0,0,2.32
33,broccoli,December 2019,137.8,114.5,1,2.32
34,broccoli,January 2020,138.0,114.6,1,2.31
35,broccoli,February 2020,138.7,112.2,1,2.26
36,broccoli,March 2020,137.9,91.3,0,2.17
37,broccoli,April 2020,137.3,77.8,1,2.52
38,broccoli,May 2020,137.5,91.4,1,2.6
39,broccoli,June 2020,138.6,101.0,0,2.59
40,broccoli,July 2020,138.8,105.5,1,2.77
41,broccoli,August 2020,138.6,104.6,0,2.25
42,broccoli,September 2020,138.3,104.1,1,2.31
43,broccoli,October 2020,138.9,102.6,1,2.43
44,broccoli,November 2020,139.0,101.1,0,2.69
45,broccoli,December 2020,138.8,104.4,1,2.69
46,broccoli,January 2021,139.5,111.0,1,2.9
47,broccoli,February 2021,140.2,118.2,1,2.14
48,broccoli,March 2021,141.0,125.0,0,2.43
49,broccoli,April 2021,141.8,127.5,1,2.57
50,broccoli,May 2021,142.6,131.5,1,2.47
51,broccoli,June 2021,143.1,133.7,0,2.45
52,broccoli,July 2021,143.7,138.4,1,2.3
53,broccoli,August 2021,144.1,139.0,0,2.39
54,broccoli,September 2021,144.4,138.9,1,2.22
55,broccoli,October 2021,145.7,146.0,1,2.38
56,broccoli,November 2021,146.0,145.8,0,2.86
57,broccoli,December 2021,146.0,140.0,1,2.94
58,broccoli,January 2022,147.4,146.6,1,2.75
59,broccoli,February 2022,148.8,156.8,1,2.7
60,broccoli,March 2022,150.8,175.2,0,2.71
61,broccoli,April 2022,151.6,173.8,1,2.52
62,broccoli,May 2022,153.7,194.8,1,2.69
63,broccoli,June 2022,154.4,207.2,0,2.44
64,broccoli,July 2022,154.6,187.8,1,2.28
65,broccoli,August 2022,154.1,169.6,0,2.44
66,broccoli,September 2022,154.1,156.4,1,2.07
67,broccoli,October 2022,155.2,171.5,1,2.45
68,broccoli,November 2022,155.4,165.3,0,2.87
69,broccoli,December 2022,154.8,143.6,1,3.23
70,broccoli,January 2023,155.7,150.3,1,3.12
71,broccoli,February 2023,156.4,148.5,1,2.89
72,broccoli,March 2023,157.3,150.3,0,2.89
73,broccoli,April 2023,157.9,160.1,1,2.87
74,broccoli,May 2023,158.5,158.8,1,2.91
75,broccoli,June 2023,158.4,161.6,0,2.86
76,broccoli,July 2023,159.6,163.1,1,2.28
77,broccoli,August 2023,159.9,170.6,0,2.66
78,broccoli,September 2023,159.7,168.3,1,2.23
79,broccoli,October 2023,160.3,157.4,1,2.57
80,broccoli,November 2023,160.6,152.2,0,2.83
81,broccoli,December 2023,160.0,145.4,1,2.76
82,broccoli,January 2024,159.9,144.1,1,2.48
83,broccoli,February 2024,160.2,149.9,1,2.27
84,broccoli,March 2024,161.4,157.3,0,2.21
85,broccoli,April 2024,162.2,169.8,1,2.21
86,broccoli,May 2024,163.2,167.6,1,2.5
87,broccoli,June 2024,163.1,162.4,0,2.91
88,broccoli,July 2024,163.9,166.5,1,2.47
89,broccoli,August 2024,163.3,162.1,0,2.55
90,broccoli,September 2024,162.8,150.3,1,2.08
91,broccoli,October 2024,163.5,151.6,1,2.34
92,broccoli,November 2024,163.5,151.4,0,2.4
93,broccoli,December 2024,162.7,150.5,1,2.33
94,broccoli,January 2025,162.6,156.7,1,2.56
95,broccoli,February 2025,164.6,157.7,1,2.08
96,broccoli,March 2025,165.1,154.8,0,2.51
97,broccoli,April 2025,164.8,139.2,1,2.2
98,broccoli,May 2025,165.9,141.7,1,2.62
99,broccoli,June 2025,166.0,140.7,0,2.5
100,broccoli,July 2025,166.5,139.6,1,2.67
101,broccoli,August 2025,166.0,141.6,0,2.35
