Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,brownrice,April 2017,132.0,116.1,1,4.15
2,brownrice,May 2017,131.9,110.9,1,4.19
3,brownrice,June 2017,132.1,106.5,0,4.25
4,brownrice,July 2017,131.9,107.0,1,4.23
5,brownrice,August 2017,131.8,109.7,0,4.25
6,brownrice,September 2017,132.3,116.0,1,4.15
7,brownrice,October 2017,132.3,112.4,1,4.22
8,brownrice,November 2017,132.7,120.8,0,4.21
9,brownrice,December 2017,132.0,116.9,1,4.19
10,brownrice,January 2018,133.2,120.6,1,4.14
11,brownrice,February 2018,134.0,119.7,1,4.21
12,brownrice,March 2018,134.6,123.1,0,4.25
13,brownrice,April 2018,134.8,131.6,1,4.26
14,brownrice,May 2018,134.9,135.9,1,4.25
15,brownrice,June 2018,135.3,132.9,0,4.2
16,brownrice,July 2018,136.0,133.9,1,4.1
17,brownrice,August 2018,135.9,131.8,0,4.19
18,brownrice,September 2018,135.2,130.4,1,4.12
19,brownrice,October 2018,135.6,125.9,1,4.16
20,brownrice,November 2018,135.1,113.8,0,4.17
21,brownrice,December 2018,135.0,106.4,1,4.08
22,brownrice,January 2019,135.2,103.1,1,4.1
23,brownrice,February 2019,136.0,105.1,1,4.1
24,brownrice,March 2019,137.0,117.7,0,4.17
25,brownrice,April 2019,137.4,129.5,1,3.97
26,brownrice,May 2019,138.1,130.7,1,4.21
27,brownrice,June 2019,138.0,119.9,0,4.12
28,brownrice,July 2019,138.8,124.4,1,4.19
29,brownrice,August 2019,138.5,117.9,0,4.24
30,brownrice,September 2019,137.5,116.9,1,4.25
31,brownrice,October 2019,137.9,117.2,1,4.26
32,brownrice,November 2019,137.7,115.0,0,4.33
33,brownrice,December 2019,137.8,114.5,1,4.45
34,brownrice,January 2020,138.0,114.6,1,4.39
35,brownrice,February 2020,138.7,112.2,1,4.44
36,brownrice,March 2020,137.9,91.3,0,4.55
37,brownrice,April 2020,137.3,77.8,1,4.59
38,brownrice,May 2020,137.5,91.4,1,4.7
39,brownrice,June 2020,138.6,101.0,0,4.67
40,brownrice,July 2020,138.8,105.5,1,4.73
41,brownrice,August 2020,138.6,104.6,0,4.57
42,brownrice,September 2020,138.3,104.1,1,4.55
43,brownrice,October 2020,138.9,102.6,1,4.7
44,brownrice,November 2020,139.0,101.1,0,4.73
45,brownrice,December 2020,138.8,104.4,1,4.88
46,brownrice,January 2021,139.5,111.0,1,4.8
47,brownrice,February 2021,140.2,118.2,1,4.88
48,brownrice,March 2021,141.0,125.0,0,4.73
49,brownrice,April 2021,141.8,127.5,1,4.84
50,brownrice,May 2021,142.6,131.5,1,4.83
51,brownrice,June 2021,143.1,133.7,0,4.86
52,brownrice,July 2021,143.7,138.4,1,4.9
53,brownrice,August 2021,144.1,139.0,0,4.84
54,brownrice,September 2021,144.4,138.9,1,4.74
55,brownrice,October 2021,145.7,146.0,1,4.82
56,brownrice,November 2021,146.0,145.8,0,4.86
57,brownrice,December 2021,146.0,140.0,1,4.85
58,brownrice,January 2022,147.4,146.6,1,4.8
59,brownrice,February 2022,148.8,156.8,1,4.83
60,brownrice,March 2022,150.8,175.2,0,4.99
61,brownrice,April 2022,151.6,173.8,1,5.17
62,brownrice,May 2022,153.7,194.8,1,5.16
63,brownrice,June 2022,154.4,207.2,0,5.27
64,brownrice,July 2022,154.6,187.8,1,5.28
65,brownrice,August 2022,154.1,169.6,0,5.48
66,brownrice,September 2022,154.1,156.4,1,5.56
67,brownrice,October 2022,155.2,171.5,1,5.61
68,brownrice,November 2022,155.4,165.3,0,5.68
69,brownrice,December 2022,154.8,143.6,1,5.52
70,brownrice,January 2023,155.7,150.3,1,5.62
71,brownrice,February 2023,156.4,148.5,1,5.85
72,brownrice,March 2023,157.3,150.3,0,5.85
73,brownrice,April 2023,157.9,160.1,1,5.75
74,brownrice,May 2023,158.5,158.8,1,5.84
75,brownrice,June 2023,158.4,161.6,0,5.89
76,brownrice,July 2023,159.6,163.1,1,5.91
77,brownrice,August 2023,159.9,170.6,0,6.03
78,brownrice,September 2023,159.7,168.3,1,5.99
79,brownrice,October 2023,160.3,157.4,1,5.76
80,brownrice,November 2023,160.6,152.2,0,5.8
81,brownrice,December 2023,160.0,145.4,1,5.77
82,brownrice,January 2024,159.9,144.1,1,5.61
83,brownrice,February 2024,160.2,149.9,1,5.45
84,brownrice,March 2024,161.4,157.3,0,5.52
85,brownrice,April 2024,162.2,169.8,1,5.35
86,brownrice,May 2024,163.2,167.6,1,5.72
87,brownrice,June 2024,163.1,162.4,0,5.75
88,brownrice,July 2024,163.9,166.5,1,5.64
89,brownrice,August 2024,163.3,162.1,0,5.76
90,brownrice,September 2024,162.8,150.3,1,5.67
91,brownrice,October 2024,163.5,151.6,1,5.82
92,brownrice,November 2024,163.5,151.4,0,5.71
93,brownrice,December 2024,162.7,150.5,1,5.62
94,brownrice,January 2025,162.6,156.7,1,5.72
95,brownrice,February 2025,164.6,157.7,1,5.71
96,brownrice,March 2025,165.1,154.8,0,5.77
97,brownrice,April 2025,164.8,139.2,1,5.69
98,brownrice,May 2025,165.9,141.7,1,5.57
99,brownrice,June 2025,166.0,140.7,0,5.65
100,brownrice,July 2025,166.5,139.6,1,5.68
101,brownrice,August 2025,166.0,141.6,0,5.67
