Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,butter,April 2017,132.0,116.1,1,3.89
2,butter,May 2017,131.9,110.9,1,4.13
3,butter,June 2017,132.1,106.5,0,3.89
4,butter,July 2017,131.9,107.0,1,3.82
5,butter,August 2017,131.8,109.7,0,4.21
6,butter,September 2017,132.3,116.0,1,3.61
7,butter,October 2017,132.3,112.4,1,3.69
8,butter,November 2017,132.7,120.8,0,3.86
9,butter,December 2017,132.0,116.9,1,4.03
10,butter,January 2018,133.2,120.6,1,3.91
11,butter,February 2018,134.0,119.7,1,4.04
12,butter,March 2018,134.6,123.1,0,3.49
13,butter,April 2018,134.8,131.6,1,3.9
14,butter,May 2018,134.9,135.9,1,4.07
15,butter,June 2018,135.3,132.9,0,3.96
16,butter,July 2018,136.0,133.9,1,3.85
17,butter,August 2018,135.9,131.8,0,4.28
18,butter,September 2018,135.2,130.4,1,3.53
19,butter,October 2018,135.6,125.9,1,4.13
20,butter,November 2018,135.1,113.8,0,4.05
21,butter,December 2018,135.0,106.4,1,4.05
22,butter,January 2019,135.2,103.1,1,4.31
23,butter,February 2019,136.0,105.1,1,4.19
24,butter,March 2019,137.0,117.7,0,4.68
25,butter,April 2019,137.4,129.5,1,3.37
26,butter,May 2019,138.1,130.7,1,4.06
27,butter,June 2019,138.0,119.9,0,3.95
28,butter,July 2019,138.8,124.4,1,4.15
29,butter,August 2019,138.5,117.9,0,4.2
30,butter,September 2019,137.5,116.9,1,3.75
31,butter,October 2019,137.9,117.2,1,3.97
32,butter,November 2019,137.7,115.0,0,3.83
33,butter,December 2019,137.8,114.5,1,4.05
34,butter,January 2020,138.0,114.6,1,4.15
35,butter,February 2020,138.7,112.2,1,4.61
36,butter,March 2020,137.9,91.3,0,4.42
37,butter,April 2020,137.3,77.8,1,4.36
38,butter,May 2020,137.5,91.4,1,4.28
39,butter,June 2020,138.6,101.0,0,4.45
40,butter,July 2020,138.8,105.5,1,4.29
41,butter,August 2020,138.6,104.6,0,4.47
42,butter,September 2020,138.3,104.1,1,3.86
43,butter,October 2020,138.9,102.6,1,4.21
44,butter,November 2020,139.0,101.1,0,4.02
45,butter,December 2020,138.8,104.4,1,4.9
46,butter,January 2021,139.5,111.0,1,4.4
47,butter,February 2021,140.2,118.2,1,4.94
48,butter,March 2021,141.0,125.0,0,3.84
49,butter,April 2021,141.8,127.5,1,5.23
50,butter,May 2021,142.6,131.5,1,5.1
51,butter,June 2021,143.1,133.7,0,5.11
52,butter,July 2021,143.7,138.4,1,4.93
53,butter,August 2021,144.1,139.0,0,5.08
54,butter,September 2021,144.4,138.9,1,4.17
55,butter,October 2021,145.7,146.0,1,4.66
56,butter,November 2021,146.0,145.8,0,4.56
57,butter,December 2021,146.0,140.0,1,5.01
58,butter,January 2022,147.4,146.6,1,4.95
59,butter,February 2022,148.8,156.8,1,5.52
60,butter,March 2022,150.8,175.2,0,4.69
61,butter,April 2022,151.6,173.8,1,5.66
62,butter,May 2022,153.7,194.8,1,5.91
63,butter,June 2022,154.4,207.2,0,6.07
64,butter,July 2022,154.6,187.8,1,5.35
65,butter,August 2022,154.1,169.6,0,5.15
66,butter,September 2022,154.1,156.4,1,5.03
67,butter,October 2022,155.2,171.5,1,5.51
68,butter,November 2022,155.4,165.3,0,5.31
69,butter,December 2022,154.8,143.6,1,6.03
70,butter,January 2023,155.7,150.3,1,5.65
71,butter,February 2023,156.4,148.5,1,6.49
72,butter,March 2023,157.3,150.3,0,5.15
73,butter,April 2023,157.9,160.1,1,6.47
74,butter,May 2023,158.5,158.8,1,6.27
75,butter,June 2023,158.4,161.6,0,6.29
76,butter,July 2023,159.6,163.1,1,6.01
77,butter,August 2023,159.9,170.6,0,5.81
78,butter,September 2023,159.7,168.3,1,5.42
79,butter,October 2023,160.3,157.4,1,5.88
80,butter,November 2023,160.6,152.2,0,5.93
81,butter,December 2023,160.0,145.4,1,6.03
82,butter,January 2024,159.9,144.1,1,6.0
83,butter,February 2024,160.2,149.9,1,5.93
84,butter,March 2024,161.4,157.3,0,5.35
85,butter,April 2024,162.2,169.8,1,5.96
86,butter,May 2024,163.2,167.6,1,5.78
87,butter,June 2024,163.1,162.4,0,6.19
88,butter,July 2024,163.9,166.5,1,6.29
89,butter,August 2024,163.3,162.1,0,5.74
90,butter,September 2024,162.8,150.3,1,5.38
91,butter,October 2024,163.5,151.6,1,5.49
92,butter,November 2024,163.5,151.4,0,5.47
93,butter,December 2024,162.7,150.5,1,5.76
94,butter,January 2025,162.6,156.7,1,5.88
95,butter,February 2025,164.6,157.7,1,5.81
96,butter,March 2025,165.1,154.8,0,5.58
97,butter,April 2025,164.8,139.2,1,5.45
98,butter,May 2025,165.9,141.7,1,5.59
99,butter,June 2025,166.0,140.7,0,5.95
100,butter,July 2025,166.5,139.6,1,5.75
101,butter,August 2025,166.0,141.6,0,5.87
