Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cabbage,April 2017,132.0,116.1,1,1.79
2,cabbage,May 2017,131.9,110.9,1,1.95
3,cabbage,June 2017,132.1,106.5,0,2.14
4,cabbage,July 2017,131.9,107.0,1,1.83
5,cabbage,August 2017,131.8,109.7,0,1.77
6,cabbage,September 2017,132.3,116.0,1,1.49
7,cabbage,October 2017,132.3,112.4,1,1.56
8,cabbage,November 2017,132.7,120.8,0,1.56
9,cabbage,December 2017,132.0,116.9,1,1.67
10,cabbage,January 2018,133.2,120.6,1,1.65
11,cabbage,February 2018,134.0,119.7,1,1.65
12,cabbage,March 2018,134.6,123.1,0,1.64
13,cabbage,April 2018,134.8,131.6,1,1.71
14,cabbage,May 2018,134.9,135.9,1,1.76
15,cabbage,June 2018,135.3,132.9,0,1.95
16,cabbage,July 2018,136.0,133.9,1,1.88
17,cabbage,August 2018,135.9,131.8,0,2.03
18,cabbage,September 2018,135.2,130.4,1,1.65
19,cabbage,October 2018,135.6,125.9,1,1.91
20,cabbage,November 2018,135.1,113.8,0,1.84
21,cabbage,December 2018,135.0,106.4,1,2.23
22,cabbage,January 2019,135.2,103.1,1,2.34
23,cabbage,February 2019,136.0,105.1,1,2.49
24,cabbage,March 2019,137.0,117.7,0,2.49
25,cabbage,April 2019,137.4,129.5,1,3.18
26,cabbage,May 2019,138.1,130.7,1,3.22
27,cabbage,June 2019,138.0,119.9,0,3.41
28,cabbage,July 2019,138.8,124.4,1,2.84
29,cabbage,August 2019,138.5,117.9,0,2.51
30,cabbage,September 2019,137.5,116.9,1,1.92
31,cabbage,October 2019,137.9,117.2,1,2.02
32,cabbage,November 2019,137.7,115.0,0,1.85
33,cabbage,December 2019,137.8,114.5,1,2.15
34,cabbage,January 2020,138.0,114.6,1,2.09
35,cabbage,February 2020,138.7,112.2,1,1.99
36,cabbage,March 2020,137.9,91.3,0,1.8
37,cabbage,April 2020,137.3,77.8,1,1.89
38,cabbage,May 2020,137.5,91.4,1,2.3
39,cabbage,June 2020,138.6,101.0,0,3.02
40,cabbage,July 2020,138.8,105.5,1,2.89
41,cabbage,August 2020,138.6,104.6,0,2.24
42,cabbage,September 2020,138.3,104.1,1,1.94
43,cabbage,October 2020,138.9,102.6,1,1.92
44,cabbage,November 2020,139.0,101.1,0,1.8
45,cabbage,December 2020,138.8,104.4,1,2.07
46,cabbage,January 2021,139.5,111.0,1,2.24
47,cabbage,February 2021,140.2,118.2,1,2.27
48,cabbage,March 2021,141.0,125.0,0,2.15
49,cabbage,April 2021,141.8,127.5,1,2.14
50,cabbage,May 2021,142.6,131.5,1,2.2
51,cabbage,June 2021,143.1,133.7,0,2.38
52,cabbage,July 2021,143.7,138.4,1,2.17
53,cabbage,August 2021,144.1,139.0,0,1.98
54,cabbage,September 2021,144.4,138.9,1,1.72
55,cabbage,October 2021,145.7,146.0,1,1.66
56,cabbage,November 2021,146.0,145.8,0,1.71
57,cabbage,December 2021,146.0,140.0,1,2.0
58,cabbage,January 2022,147.4,146.6,1,2.24
59,cabbage,February 2022,148.8,156.8,1,2.28
60,cabbage,March 2022,150.8,175.2,0,2.22
61,cabbage,April 2022,151.6,173.8,1,2.28
62,cabbage,May 2022,153.7,194.8,1,2.5
63,cabbage,June 2022,154.4,207.2,0,2.87
64,cabbage,July 2022,154.6,187.8,1,2.57
65,cabbage,August 2022,154.1,169.6,0,2.21
66,cabbage,September 2022,154.1,156.4,1,1.99
67,cabbage,October 2022,155.2,171.5,1,1.9
68,cabbage,November 2022,155.4,165.3,0,2.29
69,cabbage,December 2022,154.8,143.6,1,2.23
70,cabbage,January 2023,155.7,150.3,1,2.42
71,cabbage,February 2023,156.4,148.5,1,2.46
72,cabbage,March 2023,157.3,150.3,0,2.36
73,cabbage,April 2023,157.9,160.1,1,2.56
74,cabbage,May 2023,158.5,158.8,1,2.78
75,cabbage,June 2023,158.4,161.6,0,2.65
76,cabbage,July 2023,159.6,163.1,1,2.64
77,cabbage,August 2023,159.9,170.6,0,2.39
78,cabbage,September 2023,159.7,168.3,1,2.15
79,cabbage,October 2023,160.3,157.4,1,2.04
80,cabbage,November 2023,160.6,152.2,0,2.23
81,cabbage,December 2023,160.0,145.4,1,2.07
82,cabbage,January 2024,159.9,144.1,1,2.32
83,cabbage,February 2024,160.2,149.9,1,2.46
84,cabbage,March 2024,161.4,157.3,0,2.33
85,cabbage,April 2024,162.2,169.8,1,2.57
86,cabbage,May 2024,163.2,167.6,1,2.58
87,cabbage,June 2024,163.1,162.4,0,2.67
88,cabbage,July 2024,163.9,166.5,1,2.67
89,cabbage,August 2024,163.3,162.1,0,2.51
90,cabbage,September 2024,162.8,150.3,1,2.24
91,cabbage,October 2024,163.5,151.6,1,2.31
92,cabbage,November 2024,163.5,151.4,0,2.33
93,cabbage,December 2024,162.7,150.5,1,2.41
94,cabbage,January 2025,162.6,156.7,1,2.33
95,cabbage,February 2025,164.6,157.7,1,2.61
96,cabbage,March 2025,165.1,154.8,0,2.61
97,cabbage,April 2025,164.8,139.2,1,2.53
98,cabbage,May 2025,165.9,141.7,1,2.8
99,cabbage,June 2025,166.0,140.7,0,2.84
100,cabbage,July 2025,166.5,139.6,1,2.76
101,cabbage,August 2025,166.0,141.6,0,2.65
