Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedbakedbeans,April 2017,132.0,116.1,1,1.16
2,cannedbakedbeans,May 2017,131.9,110.9,1,1.2
3,cannedbakedbeans,June 2017,132.1,106.5,0,1.15
4,cannedbakedbeans,July 2017,131.9,107.0,1,1.24
5,cannedbakedbeans,August 2017,131.8,109.7,0,1.17
6,cannedbakedbeans,September 2017,132.3,116.0,1,1.23
7,cannedbakedbeans,October 2017,132.3,112.4,1,1.25
8,cannedbakedbeans,November 2017,132.7,120.8,0,1.23
9,cannedbakedbeans,December 2017,132.0,116.9,1,1.28
10,cannedbakedbeans,January 2018,133.2,120.6,1,1.22
11,cannedbakedbeans,February 2018,134.0,119.7,1,1.2
12,cannedbakedbeans,March 2018,134.6,123.1,0,1.21
13,cannedbakedbeans,April 2018,134.8,131.6,1,1.26
14,cannedbakedbeans,May 2018,134.9,135.9,1,1.2
15,cannedbakedbeans,June 2018,135.3,132.9,0,1.18
16,cannedbakedbeans,July 2018,136.0,133.9,1,1.22
17,cannedbakedbeans,August 2018,135.9,131.8,0,1.11
18,cannedbakedbeans,September 2018,135.2,130.4,1,1.16
19,cannedbakedbeans,October 2018,135.6,125.9,1,1.17
20,cannedbakedbeans,November 2018,135.1,113.8,0,0.98
21,cannedbakedbeans,December 2018,135.0,106.4,1,1.02
22,cannedbakedbeans,January 2019,135.2,103.1,1,1.2
23,cannedbakedbeans,February 2019,136.0,105.1,1,1.25
24,cannedbakedbeans,March 2019,137.0,117.7,0,1.17
25,cannedbakedbeans,April 2019,137.4,129.5,1,1.16
26,cannedbakedbeans,May 2019,138.1,130.7,1,1.06
27,cannedbakedbeans,June 2019,138.0,119.9,0,1.2
28,cannedbakedbeans,July 2019,138.8,124.4,1,1.2
29,cannedbakedbeans,August 2019,138.5,117.9,0,1.21
30,cannedbakedbeans,September 2019,137.5,116.9,1,1.0
31,cannedbakedbeans,October 2019,137.9,117.2,1,1.2
32,cannedbakedbeans,November 2019,137.7,115.0,0,0.98
33,cannedbakedbeans,December 2019,137.8,114.5,1,1.13
34,cannedbakedbeans,January 2020,138.0,114.6,1,1.14
35,cannedbakedbeans,February 2020,138.7,112.2,1,1.24
36,cannedbakedbeans,March 2020,137.9,91.3,0,1.27
37,cannedbakedbeans,April 2020,137.3,77.8,1,1.4
38,cannedbakedbeans,May 2020,137.5,91.4,1,1.37
39,cannedbakedbeans,June 2020,138.6,101.0,0,1.23
40,cannedbakedbeans,July 2020,138.8,105.5,1,1.26
41,cannedbakedbeans,August 2020,138.6,104.6,0,1.16
42,cannedbakedbeans,September 2020,138.3,104.1,1,1.25
43,cannedbakedbeans,October 2020,138.9,102.6,1,1.21
44,cannedbakedbeans,November 2020,139.0,101.1,0,1.24
45,cannedbakedbeans,December 2020,138.8,104.4,1,1.28
46,cannedbakedbeans,January 2021,139.5,111.0,1,1.3
47,cannedbakedbeans,February 2021,140.2,118.2,1,1.29
48,cannedbakedbeans,March 2021,141.0,125.0,0,1.15
49,cannedbakedbeans,April 2021,141.8,127.5,1,1.19
