Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedbeansandlentils,April 2017,132.0,116.1,1,1.06
2,cannedbeansandlentils,May 2017,131.9,110.9,1,1.06
3,cannedbeansandlentils,June 2017,132.1,106.5,0,1.1
4,cannedbeansandlentils,July 2017,131.9,107.0,1,1.11
5,cannedbeansandlentils,August 2017,131.8,109.7,0,1.05
6,cannedbeansandlentils,September 2017,132.3,116.0,1,1.1
7,cannedbeansandlentils,October 2017,132.3,112.4,1,1.1
8,cannedbeansandlentils,November 2017,132.7,120.8,0,1.07
9,cannedbeansandlentils,December 2017,132.0,116.9,1,1.09
10,cannedbeansandlentils,January 2018,133.2,120.6,1,1.07
11,cannedbeansandlentils,February 2018,134.0,119.7,1,1.07
12,cannedbeansandlentils,March 2018,134.6,123.1,0,1.08
13,cannedbeansandlentils,April 2018,134.8,131.6,1,1.06
14,cannedbeansandlentils,May 2018,134.9,135.9,1,1.04
15,cannedbeansandlentils,June 2018,135.3,132.9,0,1.06
16,cannedbeansandlentils,July 2018,136.0,133.9,1,1.09
17,cannedbeansandlentils,August 2018,135.9,131.8,0,1.1
18,cannedbeansandlentils,September 2018,135.2,130.4,1,1.09
19,cannedbeansandlentils,October 2018,135.6,125.9,1,1.14
20,cannedbeansandlentils,November 2018,135.1,113.8,0,1.15
21,cannedbeansandlentils,December 2018,135.0,106.4,1,1.13
22,cannedbeansandlentils,January 2019,135.2,103.1,1,1.13
23,cannedbeansandlentils,February 2019,136.0,105.1,1,1.15
24,cannedbeansandlentils,March 2019,137.0,117.7,0,1.15
25,cannedbeansandlentils,April 2019,137.4,129.5,1,1.19
26,cannedbeansandlentils,May 2019,138.1,130.7,1,1.15
27,cannedbeansandlentils,June 2019,138.0,119.9,0,1.15
28,cannedbeansandlentils,July 2019,138.8,124.4,1,1.15
29,cannedbeansandlentils,August 2019,138.5,117.9,0,1.17
30,cannedbeansandlentils,September 2019,137.5,116.9,1,1.16
31,cannedbeansandlentils,October 2019,137.9,117.2,1,1.14
32,cannedbeansandlentils,November 2019,137.7,115.0,0,1.14
33,cannedbeansandlentils,December 2019,137.8,114.5,1,1.19
34,cannedbeansandlentils,January 2020,138.0,114.6,1,1.19
35,cannedbeansandlentils,February 2020,138.7,112.2,1,1.21
36,cannedbeansandlentils,March 2020,137.9,91.3,0,1.3
37,cannedbeansandlentils,April 2020,137.3,77.8,1,1.32
38,cannedbeansandlentils,May 2020,137.5,91.4,1,1.33
39,cannedbeansandlentils,June 2020,138.6,101.0,0,1.31
40,cannedbeansandlentils,July 2020,138.8,105.5,1,1.34
41,cannedbeansandlentils,August 2020,138.6,104.6,0,1.2
42,cannedbeansandlentils,September 2020,138.3,104.1,1,1.23
43,cannedbeansandlentils,October 2020,138.9,102.6,1,1.25
44,cannedbeansandlentils,November 2020,139.0,101.1,0,1.29
45,cannedbeansandlentils,December 2020,138.8,104.4,1,1.26
46,cannedbeansandlentils,January 2021,139.5,111.0,1,1.28
47,cannedbeansandlentils,February 2021,140.2,118.2,1,1.23
48,cannedbeansandlentils,March 2021,141.0,125.0,0,1.29
49,cannedbeansandlentils,April 2021,141.8,127.5,1,1.29
50,cannedbeansandlentils,May 2021,142.6,131.5,1,1.24
51,cannedbeansandlentils,June 2021,143.1,133.7,0,1.29
52,cannedbeansandlentils,July 2021,143.7,138.4,1,1.3
53,cannedbeansandlentils,August 2021,144.1,139.0,0,1.29
54,cannedbeansandlentils,September 2021,144.4,138.9,1,1.29
55,cannedbeansandlentils,October 2021,145.7,146.0,1,1.27
56,cannedbeansandlentils,November 2021,146.0,145.8,0,1.39
57,cannedbeansandlentils,December 2021,146.0,140.0,1,1.38
58,cannedbeansandlentils,January 2022,147.4,146.6,1,1.3
59,cannedbeansandlentils,February 2022,148.8,156.8,1,1.32
60,cannedbeansandlentils,March 2022,150.8,175.2,0,1.37
61,cannedbeansandlentils,April 2022,151.6,173.8,1,1.43
62,cannedbeansandlentils,May 2022,153.7,194.8,1,1.47
63,cannedbeansandlentils,June 2022,154.4,207.2,0,1.42
64,cannedbeansandlentils,July 2022,154.6,187.8,1,1.43
65,cannedbeansandlentils,August 2022,154.1,169.6,0,1.49
66,cannedbeansandlentils,September 2022,154.1,156.4,1,1.42
67,cannedbeansandlentils,October 2022,155.2,171.5,1,1.34
68,cannedbeansandlentils,November 2022,155.4,165.3,0,1.45
69,cannedbeansandlentils,December 2022,154.8,143.6,1,1.53
70,cannedbeansandlentils,January 2023,155.7,150.3,1,1.54
71,cannedbeansandlentils,February 2023,156.4,148.5,1,1.55
72,cannedbeansandlentils,March 2023,157.3,150.3,0,1.59
73,cannedbeansandlentils,April 2023,157.9,160.1,1,1.67
74,cannedbeansandlentils,May 2023,158.5,158.8,1,1.6
75,cannedbeansandlentils,June 2023,158.4,161.6,0,1.66
76,cannedbeansandlentils,July 2023,159.6,163.1,1,1.67
77,cannedbeansandlentils,August 2023,159.9,170.6,0,1.58
78,cannedbeansandlentils,September 2023,159.7,168.3,1,1.42
79,cannedbeansandlentils,October 2023,160.3,157.4,1,1.62
80,cannedbeansandlentils,November 2023,160.6,152.2,0,1.7
81,cannedbeansandlentils,December 2023,160.0,145.4,1,1.76
82,cannedbeansandlentils,January 2024,159.9,144.1,1,1.64
83,cannedbeansandlentils,February 2024,160.2,149.9,1,1.5
84,cannedbeansandlentils,March 2024,161.4,157.3,0,1.62
85,cannedbeansandlentils,April 2024,162.2,169.8,1,1.63
86,cannedbeansandlentils,May 2024,163.2,167.6,1,1.63
87,cannedbeansandlentils,June 2024,163.1,162.4,0,1.66
88,cannedbeansandlentils,July 2024,163.9,166.5,1,1.66
89,cannedbeansandlentils,August 2024,163.3,162.1,0,1.63
90,cannedbeansandlentils,September 2024,162.8,150.3,1,1.49
91,cannedbeansandlentils,October 2024,163.5,151.6,1,1.66
92,cannedbeansandlentils,November 2024,163.5,151.4,0,1.61
93,cannedbeansandlentils,December 2024,162.7,150.5,1,1.63
94,cannedbeansandlentils,January 2025,162.6,156.7,1,1.64
95,cannedbeansandlentils,February 2025,164.6,157.7,1,1.6
96,cannedbeansandlentils,March 2025,165.1,154.8,0,1.45
97,cannedbeansandlentils,April 2025,164.8,139.2,1,1.59
98,cannedbeansandlentils,May 2025,165.9,141.7,1,1.63
99,cannedbeansandlentils,June 2025,166.0,140.7,0,1.65
100,cannedbeansandlentils,July 2025,166.5,139.6,1,1.66
101,cannedbeansandlentils,August 2025,166.0,141.6,0,1.6
