Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedcorn,April 2017,132.0,116.1,1,0.93
2,cannedcorn,May 2017,131.9,110.9,1,1.01
3,cannedcorn,June 2017,132.1,106.5,0,1.11
4,cannedcorn,July 2017,131.9,107.0,1,0.92
5,cannedcorn,August 2017,131.8,109.7,0,0.8
6,cannedcorn,September 2017,132.3,116.0,1,1.02
7,cannedcorn,October 2017,132.3,112.4,1,0.94
8,cannedcorn,November 2017,132.7,120.8,0,1.05
9,cannedcorn,December 2017,132.0,116.9,1,0.96
10,cannedcorn,January 2018,133.2,120.6,1,1.04
11,cannedcorn,February 2018,134.0,119.7,1,1.06
12,cannedcorn,March 2018,134.6,123.1,0,0.97
13,cannedcorn,April 2018,134.8,131.6,1,1.04
14,cannedcorn,May 2018,134.9,135.9,1,1.08
15,cannedcorn,June 2018,135.3,132.9,0,1.05
16,cannedcorn,July 2018,136.0,133.9,1,0.8
17,cannedcorn,August 2018,135.9,131.8,0,1.02
18,cannedcorn,September 2018,135.2,130.4,1,1.01
19,cannedcorn,October 2018,135.6,125.9,1,1.0
20,cannedcorn,November 2018,135.1,113.8,0,1.06
21,cannedcorn,December 2018,135.0,106.4,1,0.99
22,cannedcorn,January 2019,135.2,103.1,1,1.05
23,cannedcorn,February 2019,136.0,105.1,1,1.1
24,cannedcorn,March 2019,137.0,117.7,0,1.15
25,cannedcorn,April 2019,137.4,129.5,1,1.05
26,cannedcorn,May 2019,138.1,130.7,1,1.11
27,cannedcorn,June 2019,138.0,119.9,0,1.1
28,cannedcorn,July 2019,138.8,124.4,1,1.12
29,cannedcorn,August 2019,138.5,117.9,0,1.12
30,cannedcorn,September 2019,137.5,116.9,1,1.16
31,cannedcorn,October 2019,137.9,117.2,1,1.05
32,cannedcorn,November 2019,137.7,115.0,0,1.17
33,cannedcorn,December 2019,137.8,114.5,1,1.1
34,cannedcorn,January 2020,138.0,114.6,1,1.18
35,cannedcorn,February 2020,138.7,112.2,1,1.1
36,cannedcorn,March 2020,137.9,91.3,0,1.19
37,cannedcorn,April 2020,137.3,77.8,1,1.33
38,cannedcorn,May 2020,137.5,91.4,1,1.43
39,cannedcorn,June 2020,138.6,101.0,0,1.37
40,cannedcorn,July 2020,138.8,105.5,1,1.42
41,cannedcorn,August 2020,138.6,104.6,0,1.35
42,cannedcorn,September 2020,138.3,104.1,1,1.31
43,cannedcorn,October 2020,138.9,102.6,1,1.21
44,cannedcorn,November 2020,139.0,101.1,0,1.27
45,cannedcorn,December 2020,138.8,104.4,1,1.14
46,cannedcorn,January 2021,139.5,111.0,1,1.26
47,cannedcorn,February 2021,140.2,118.2,1,1.31
48,cannedcorn,March 2021,141.0,125.0,0,1.32
49,cannedcorn,April 2021,141.8,127.5,1,1.36
50,cannedcorn,May 2021,142.6,131.5,1,1.32
51,cannedcorn,June 2021,143.1,133.7,0,1.34
52,cannedcorn,July 2021,143.7,138.4,1,1.35
53,cannedcorn,August 2021,144.1,139.0,0,1.36
54,cannedcorn,September 2021,144.4,138.9,1,1.34
55,cannedcorn,October 2021,145.7,146.0,1,1.16
56,cannedcorn,November 2021,146.0,145.8,0,1.29
57,cannedcorn,December 2021,146.0,140.0,1,1.15
58,cannedcorn,January 2022,147.4,146.6,1,1.24
59,cannedcorn,February 2022,148.8,156.8,1,1.35
60,cannedcorn,March 2022,150.8,175.2,0,1.38
61,cannedcorn,April 2022,151.6,173.8,1,1.24
62,cannedcorn,May 2022,153.7,194.8,1,1.37
63,cannedcorn,June 2022,154.4,207.2,0,1.41
64,cannedcorn,July 2022,154.6,187.8,1,1.51
65,cannedcorn,August 2022,154.1,169.6,0,1.7
66,cannedcorn,September 2022,154.1,156.4,1,1.58
67,cannedcorn,October 2022,155.2,171.5,1,1.32
68,cannedcorn,November 2022,155.4,165.3,0,1.4
69,cannedcorn,December 2022,154.8,143.6,1,1.31
70,cannedcorn,January 2023,155.7,150.3,1,1.51
71,cannedcorn,February 2023,156.4,148.5,1,1.68
72,cannedcorn,March 2023,157.3,150.3,0,1.52
73,cannedcorn,April 2023,157.9,160.1,1,1.45
74,cannedcorn,May 2023,158.5,158.8,1,1.55
75,cannedcorn,June 2023,158.4,161.6,0,1.67
76,cannedcorn,July 2023,159.6,163.1,1,1.6
77,cannedcorn,August 2023,159.9,170.6,0,1.59
78,cannedcorn,September 2023,159.7,168.3,1,1.34
79,cannedcorn,October 2023,160.3,157.4,1,1.44
80,cannedcorn,November 2023,160.6,152.2,0,1.59
81,cannedcorn,December 2023,160.0,145.4,1,1.48
82,cannedcorn,January 2024,159.9,144.1,1,1.51
83,cannedcorn,February 2024,160.2,149.9,1,1.61
84,cannedcorn,March 2024,161.4,157.3,0,1.52
85,cannedcorn,April 2024,162.2,169.8,1,1.61
86,cannedcorn,May 2024,163.2,167.6,1,1.52
87,cannedcorn,June 2024,163.1,162.4,0,1.61
88,cannedcorn,July 2024,163.9,166.5,1,1.61
89,cannedcorn,August 2024,163.3,162.1,0,1.59
90,cannedcorn,September 2024,162.8,150.3,1,1.47
91,cannedcorn,October 2024,163.5,151.6,1,1.53
92,cannedcorn,November 2024,163.5,151.4,0,1.51
93,cannedcorn,December 2024,162.7,150.5,1,1.59
94,cannedcorn,January 2025,162.6,156.7,1,1.57
95,cannedcorn,February 2025,164.6,157.7,1,1.59
96,cannedcorn,March 2025,165.1,154.8,0,1.56
97,cannedcorn,April 2025,164.8,139.2,1,1.52
98,cannedcorn,May 2025,165.9,141.7,1,1.55
99,cannedcorn,June 2025,166.0,140.7,0,1.54
100,cannedcorn,July 2025,166.5,139.6,1,1.56
101,cannedcorn,August 2025,166.0,141.6,0,1.54
