Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedpeach,April 2017,132.0,116.1,1,2.27
2,cannedpeach,May 2017,131.9,110.9,1,2.1
3,cannedpeach,June 2017,132.1,106.5,0,1.9
4,cannedpeach,July 2017,131.9,107.0,1,2.02
5,cannedpeach,August 2017,131.8,109.7,0,2.07
6,cannedpeach,September 2017,132.3,116.0,1,1.99
7,cannedpeach,October 2017,132.3,112.4,1,2.2
8,cannedpeach,November 2017,132.7,120.8,0,1.88
9,cannedpeach,December 2017,132.0,116.9,1,1.81
10,cannedpeach,January 2018,133.2,120.6,1,2.01
11,cannedpeach,February 2018,134.0,119.7,1,2.15
12,cannedpeach,March 2018,134.6,123.1,0,2.13
13,cannedpeach,April 2018,134.8,131.6,1,2.09
14,cannedpeach,May 2018,134.9,135.9,1,2.25
15,cannedpeach,June 2018,135.3,132.9,0,2.23
16,cannedpeach,July 2018,136.0,133.9,1,2.16
17,cannedpeach,August 2018,135.9,131.8,0,2.16
18,cannedpeach,September 2018,135.2,130.4,1,2.22
19,cannedpeach,October 2018,135.6,125.9,1,2.14
20,cannedpeach,November 2018,135.1,113.8,0,2.1
21,cannedpeach,December 2018,135.0,106.4,1,2.17
22,cannedpeach,January 2019,135.2,103.1,1,2.2
23,cannedpeach,February 2019,136.0,105.1,1,1.53
24,cannedpeach,March 2019,137.0,117.7,0,1.96
25,cannedpeach,April 2019,137.4,129.5,1,2.05
26,cannedpeach,May 2019,138.1,130.7,1,2.11
27,cannedpeach,June 2019,138.0,119.9,0,2.08
28,cannedpeach,July 2019,138.8,124.4,1,2.17
29,cannedpeach,August 2019,138.5,117.9,0,2.25
30,cannedpeach,September 2019,137.5,116.9,1,2.16
31,cannedpeach,October 2019,137.9,117.2,1,2.19
32,cannedpeach,November 2019,137.7,115.0,0,1.87
33,cannedpeach,December 2019,137.8,114.5,1,2.26
34,cannedpeach,January 2020,138.0,114.6,1,2.3
35,cannedpeach,February 2020,138.7,112.2,1,1.79
36,cannedpeach,March 2020,137.9,91.3,0,2.36
37,cannedpeach,April 2020,137.3,77.8,1,2.01
38,cannedpeach,May 2020,137.5,91.4,1,1.99
39,cannedpeach,June 2020,138.6,101.0,0,2.11
40,cannedpeach,July 2020,138.8,105.5,1,1.6
41,cannedpeach,August 2020,138.6,104.6,0,2.17
42,cannedpeach,September 2020,138.3,104.1,1,2.23
43,cannedpeach,October 2020,138.9,102.6,1,1.74
44,cannedpeach,November 2020,139.0,101.1,0,2.17
45,cannedpeach,December 2020,138.8,104.4,1,2.21
46,cannedpeach,January 2021,139.5,111.0,1,2.09
47,cannedpeach,February 2021,140.2,118.2,1,2.16
48,cannedpeach,March 2021,141.0,125.0,0,1.86
49,cannedpeach,April 2021,141.8,127.5,1,2.17
50,cannedpeach,May 2021,142.6,131.5,1,2.2
51,cannedpeach,June 2021,143.1,133.7,0,2.21
52,cannedpeach,July 2021,143.7,138.4,1,2.13
53,cannedpeach,August 2021,144.1,139.0,0,2.17
54,cannedpeach,September 2021,144.4,138.9,1,2.07
55,cannedpeach,October 2021,145.7,146.0,1,2.09
56,cannedpeach,November 2021,146.0,145.8,0,2.17
57,cannedpeach,December 2021,146.0,140.0,1,2.05
58,cannedpeach,January 2022,147.4,146.6,1,2.16
59,cannedpeach,February 2022,148.8,156.8,1,2.17
60,cannedpeach,March 2022,150.8,175.2,0,2.15
61,cannedpeach,April 2022,151.6,173.8,1,2.16
62,cannedpeach,May 2022,153.7,194.8,1,2.09
63,cannedpeach,June 2022,154.4,207.2,0,2.28
64,cannedpeach,July 2022,154.6,187.8,1,2.25
65,cannedpeach,August 2022,154.1,169.6,0,2.3
66,cannedpeach,September 2022,154.1,156.4,1,2.33
67,cannedpeach,October 2022,155.2,171.5,1,2.23
68,cannedpeach,November 2022,155.4,165.3,0,2.32
69,cannedpeach,December 2022,154.8,143.6,1,2.2
70,cannedpeach,January 2023,155.7,150.3,1,2.34
71,cannedpeach,February 2023,156.4,148.5,1,2.53
72,cannedpeach,March 2023,157.3,150.3,0,2.78
73,cannedpeach,April 2023,157.9,160.1,1,2.7
74,cannedpeach,May 2023,158.5,158.8,1,2.62
75,cannedpeach,June 2023,158.4,161.6,0,2.63
76,cannedpeach,July 2023,159.6,163.1,1,2.61
77,cannedpeach,August 2023,159.9,170.6,0,2.63
78,cannedpeach,September 2023,159.7,168.3,1,2.58
79,cannedpeach,October 2023,160.3,157.4,1,2.62
80,cannedpeach,November 2023,160.6,152.2,0,2.58
81,cannedpeach,December 2023,160.0,145.4,1,2.51
82,cannedpeach,January 2024,159.9,144.1,1,2.5
83,cannedpeach,February 2024,160.2,149.9,1,2.46
84,cannedpeach,March 2024,161.4,157.3,0,2.33
85,cannedpeach,April 2024,162.2,169.8,1,2.4
86,cannedpeach,May 2024,163.2,167.6,1,2.45
