Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedpear,April 2017,132.0,116.1,1,2.09
2,cannedpear,May 2017,131.9,110.9,1,1.98
3,cannedpear,June 2017,132.1,106.5,0,1.8
4,cannedpear,July 2017,131.9,107.0,1,2.0
5,cannedpear,August 2017,131.8,109.7,0,2.03
6,cannedpear,September 2017,132.3,116.0,1,1.99
7,cannedpear,October 2017,132.3,112.4,1,2.03
8,cannedpear,November 2017,132.7,120.8,0,2.08
9,cannedpear,December 2017,132.0,116.9,1,1.96
10,cannedpear,January 2018,133.2,120.6,1,2.09
11,cannedpear,February 2018,134.0,119.7,1,2.11
12,cannedpear,March 2018,134.6,123.1,0,2.09
13,cannedpear,April 2018,134.8,131.6,1,2.1
14,cannedpear,May 2018,134.9,135.9,1,2.2
15,cannedpear,June 2018,135.3,132.9,0,2.18
16,cannedpear,July 2018,136.0,133.9,1,2.13
17,cannedpear,August 2018,135.9,131.8,0,2.1
18,cannedpear,September 2018,135.2,130.4,1,2.13
19,cannedpear,October 2018,135.6,125.9,1,2.12
20,cannedpear,November 2018,135.1,113.8,0,2.11
21,cannedpear,December 2018,135.0,106.4,1,2.2
22,cannedpear,January 2019,135.2,103.1,1,2.19
23,cannedpear,February 2019,136.0,105.1,1,2.12
24,cannedpear,March 2019,137.0,117.7,0,2.06
25,cannedpear,April 2019,137.4,129.5,1,2.11
26,cannedpear,May 2019,138.1,130.7,1,2.05
27,cannedpear,June 2019,138.0,119.9,0,2.13
28,cannedpear,July 2019,138.8,124.4,1,2.09
29,cannedpear,August 2019,138.5,117.9,0,2.13
30,cannedpear,September 2019,137.5,116.9,1,2.14
31,cannedpear,October 2019,137.9,117.2,1,2.22
32,cannedpear,November 2019,137.7,115.0,0,2.11
33,cannedpear,December 2019,137.8,114.5,1,2.29
34,cannedpear,January 2020,138.0,114.6,1,2.28
35,cannedpear,February 2020,138.7,112.2,1,2.23
36,cannedpear,March 2020,137.9,91.3,0,2.47
37,cannedpear,April 2020,137.3,77.8,1,2.35
38,cannedpear,May 2020,137.5,91.4,1,2.55
39,cannedpear,June 2020,138.6,101.0,0,2.47
40,cannedpear,July 2020,138.8,105.5,1,2.49
41,cannedpear,August 2020,138.6,104.6,0,2.47
42,cannedpear,September 2020,138.3,104.1,1,2.39
43,cannedpear,October 2020,138.9,102.6,1,2.29
44,cannedpear,November 2020,139.0,101.1,0,2.22
45,cannedpear,December 2020,138.8,104.4,1,2.32
46,cannedpear,January 2021,139.5,111.0,1,2.3
47,cannedpear,February 2021,140.2,118.2,1,2.32
48,cannedpear,March 2021,141.0,125.0,0,2.32
49,cannedpear,April 2021,141.8,127.5,1,2.27
50,cannedpear,May 2021,142.6,131.5,1,2.32
51,cannedpear,June 2021,143.1,133.7,0,2.35
52,cannedpear,July 2021,143.7,138.4,1,2.3
53,cannedpear,August 2021,144.1,139.0,0,2.33
54,cannedpear,September 2021,144.4,138.9,1,2.12
55,cannedpear,October 2021,145.7,146.0,1,2.11
56,cannedpear,November 2021,146.0,145.8,0,2.23
57,cannedpear,December 2021,146.0,140.0,1,2.16
58,cannedpear,January 2022,147.4,146.6,1,2.29
59,cannedpear,February 2022,148.8,156.8,1,2.3
60,cannedpear,March 2022,150.8,175.2,0,2.27
61,cannedpear,April 2022,151.6,173.8,1,2.29
62,cannedpear,May 2022,153.7,194.8,1,2.3
63,cannedpear,June 2022,154.4,207.2,0,2.41
64,cannedpear,July 2022,154.6,187.8,1,2.43
65,cannedpear,August 2022,154.1,169.6,0,2.46
66,cannedpear,September 2022,154.1,156.4,1,2.41
67,cannedpear,October 2022,155.2,171.5,1,2.47
68,cannedpear,November 2022,155.4,165.3,0,2.47
69,cannedpear,December 2022,154.8,143.6,1,2.37
70,cannedpear,January 2023,155.7,150.3,1,2.49
71,cannedpear,February 2023,156.4,148.5,1,2.58
72,cannedpear,March 2023,157.3,150.3,0,2.51
73,cannedpear,April 2023,157.9,160.1,1,2.57
74,cannedpear,May 2023,158.5,158.8,1,2.69
75,cannedpear,June 2023,158.4,161.6,0,2.74
76,cannedpear,July 2023,159.6,163.1,1,2.67
77,cannedpear,August 2023,159.9,170.6,0,2.68
78,cannedpear,September 2023,159.7,168.3,1,2.71
79,cannedpear,October 2023,160.3,157.4,1,2.64
80,cannedpear,November 2023,160.6,152.2,0,2.51
81,cannedpear,December 2023,160.0,145.4,1,2.6
82,cannedpear,January 2024,159.9,144.1,1,2.7
83,cannedpear,February 2024,160.2,149.9,1,2.68
84,cannedpear,March 2024,161.4,157.3,0,2.42
85,cannedpear,April 2024,162.2,169.8,1,2.64
86,cannedpear,May 2024,163.2,167.6,1,2.72
87,cannedpear,June 2024,163.1,162.4,0,2.8
88,cannedpear,July 2024,163.9,166.5,1,2.71
89,cannedpear,August 2024,163.3,162.1,0,2.77
90,cannedpear,September 2024,162.8,150.3,1,2.78
91,cannedpear,October 2024,163.5,151.6,1,2.75
92,cannedpear,November 2024,163.5,151.4,0,2.73
93,cannedpear,December 2024,162.7,150.5,1,2.67
94,cannedpear,January 2025,162.6,156.7,1,2.69
95,cannedpear,February 2025,164.6,157.7,1,2.85
96,cannedpear,March 2025,165.1,154.8,0,2.77
97,cannedpear,April 2025,164.8,139.2,1,2.8
98,cannedpear,May 2025,165.9,141.7,1,2.78
99,cannedpear,June 2025,166.0,140.7,0,2.72
100,cannedpear,July 2025,166.5,139.6,1,2.78
101,cannedpear,August 2025,166.0,141.6,0,2.95
