Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedsalmon,April 2017,132.0,116.1,1,3.15
2,cannedsalmon,May 2017,131.9,110.9,1,3.29
3,cannedsalmon,June 2017,132.1,106.5,0,2.64
4,cannedsalmon,July 2017,131.9,107.0,1,3.21
5,cannedsalmon,August 2017,131.8,109.7,0,3.18
6,cannedsalmon,September 2017,132.3,116.0,1,3.23
7,cannedsalmon,October 2017,132.3,112.4,1,3.35
8,cannedsalmon,November 2017,132.7,120.8,0,3.05
9,cannedsalmon,December 2017,132.0,116.9,1,3.23
10,cannedsalmon,January 2018,133.2,120.6,1,3.12
11,cannedsalmon,February 2018,134.0,119.7,1,2.79
12,cannedsalmon,March 2018,134.6,123.1,0,3.23
13,cannedsalmon,April 2018,134.8,131.6,1,3.15
14,cannedsalmon,May 2018,134.9,135.9,1,3.26
15,cannedsalmon,June 2018,135.3,132.9,0,3.31
16,cannedsalmon,July 2018,136.0,133.9,1,3.08
17,cannedsalmon,August 2018,135.9,131.8,0,3.07
18,cannedsalmon,September 2018,135.2,130.4,1,3.0
19,cannedsalmon,October 2018,135.6,125.9,1,3.3
20,cannedsalmon,November 2018,135.1,113.8,0,3.75
21,cannedsalmon,December 2018,135.0,106.4,1,4.11
22,cannedsalmon,January 2019,135.2,103.1,1,3.76
23,cannedsalmon,February 2019,136.0,105.1,1,4.64
24,cannedsalmon,March 2019,137.0,117.7,0,4.71
25,cannedsalmon,April 2019,137.4,129.5,1,4.44
26,cannedsalmon,May 2019,138.1,130.7,1,4.67
27,cannedsalmon,June 2019,138.0,119.9,0,4.55
28,cannedsalmon,July 2019,138.8,124.4,1,4.45
29,cannedsalmon,August 2019,138.5,117.9,0,4.35
30,cannedsalmon,September 2019,137.5,116.9,1,4.36
31,cannedsalmon,October 2019,137.9,117.2,1,4.73
32,cannedsalmon,November 2019,137.7,115.0,0,4.72
33,cannedsalmon,December 2019,137.8,114.5,1,4.23
34,cannedsalmon,January 2020,138.0,114.6,1,4.51
35,cannedsalmon,February 2020,138.7,112.2,1,4.26
36,cannedsalmon,March 2020,137.9,91.3,0,4.79
37,cannedsalmon,April 2020,137.3,77.8,1,4.98
38,cannedsalmon,May 2020,137.5,91.4,1,4.7
39,cannedsalmon,June 2020,138.6,101.0,0,4.89
40,cannedsalmon,July 2020,138.8,105.5,1,5.09
41,cannedsalmon,August 2020,138.6,104.6,0,4.58
42,cannedsalmon,September 2020,138.3,104.1,1,4.8
43,cannedsalmon,October 2020,138.9,102.6,1,5.12
44,cannedsalmon,November 2020,139.0,101.1,0,4.71
45,cannedsalmon,December 2020,138.8,104.4,1,4.69
46,cannedsalmon,January 2021,139.5,111.0,1,4.84
47,cannedsalmon,February 2021,140.2,118.2,1,4.6
48,cannedsalmon,March 2021,141.0,125.0,0,4.81
49,cannedsalmon,April 2021,141.8,127.5,1,4.45
