Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedsoup,April 2017,132.0,116.1,1,0.97
2,cannedsoup,May 2017,131.9,110.9,1,1.12
3,cannedsoup,June 2017,132.1,106.5,0,1.18
4,cannedsoup,July 2017,131.9,107.0,1,1.08
5,cannedsoup,August 2017,131.8,109.7,0,0.9
6,cannedsoup,September 2017,132.3,116.0,1,0.87
7,cannedsoup,October 2017,132.3,112.4,1,0.99
8,cannedsoup,November 2017,132.7,120.8,0,0.96
9,cannedsoup,December 2017,132.0,116.9,1,1.13
10,cannedsoup,January 2018,133.2,120.6,1,1.0
11,cannedsoup,February 2018,134.0,119.7,1,0.75
12,cannedsoup,March 2018,134.6,123.1,0,0.99
13,cannedsoup,April 2018,134.8,131.6,1,0.98
14,cannedsoup,May 2018,134.9,135.9,1,1.18
15,cannedsoup,June 2018,135.3,132.9,0,1.01
16,cannedsoup,July 2018,136.0,133.9,1,0.93
17,cannedsoup,August 2018,135.9,131.8,0,0.99
18,cannedsoup,September 2018,135.2,130.4,1,0.81
19,cannedsoup,October 2018,135.6,125.9,1,1.01
20,cannedsoup,November 2018,135.1,113.8,0,0.96
21,cannedsoup,December 2018,135.0,106.4,1,1.14
22,cannedsoup,January 2019,135.2,103.1,1,0.98
23,cannedsoup,February 2019,136.0,105.1,1,0.79
24,cannedsoup,March 2019,137.0,117.7,0,1.01
25,cannedsoup,April 2019,137.4,129.5,1,1.06
26,cannedsoup,May 2019,138.1,130.7,1,1.27
27,cannedsoup,June 2019,138.0,119.9,0,1.24
28,cannedsoup,July 2019,138.8,124.4,1,1.14
29,cannedsoup,August 2019,138.5,117.9,0,0.89
30,cannedsoup,September 2019,137.5,116.9,1,0.77
31,cannedsoup,October 2019,137.9,117.2,1,1.08
32,cannedsoup,November 2019,137.7,115.0,0,1.0
33,cannedsoup,December 2019,137.8,114.5,1,1.19
34,cannedsoup,January 2020,138.0,114.6,1,1.07
35,cannedsoup,February 2020,138.7,112.2,1,0.79
36,cannedsoup,March 2020,137.9,91.3,0,1.17
37,cannedsoup,April 2020,137.3,77.8,1,1.46
38,cannedsoup,May 2020,137.5,91.4,1,1.29
39,cannedsoup,June 2020,138.6,101.0,0,1.33
40,cannedsoup,July 2020,138.8,105.5,1,1.4
41,cannedsoup,August 2020,138.6,104.6,0,0.89
42,cannedsoup,September 2020,138.3,104.1,1,0.79
43,cannedsoup,October 2020,138.9,102.6,1,1.27
44,cannedsoup,November 2020,139.0,101.1,0,1.2
45,cannedsoup,December 2020,138.8,104.4,1,1.25
46,cannedsoup,January 2021,139.5,111.0,1,1.27
47,cannedsoup,February 2021,140.2,118.2,1,1.14
48,cannedsoup,March 2021,141.0,125.0,0,1.28
49,cannedsoup,April 2021,141.8,127.5,1,1.03
50,cannedsoup,May 2021,142.6,131.5,1,0.97
51,cannedsoup,June 2021,143.1,133.7,0,1.14
52,cannedsoup,July 2021,143.7,138.4,1,1.1
53,cannedsoup,August 2021,144.1,139.0,0,0.84
54,cannedsoup,September 2021,144.4,138.9,1,1.01
55,cannedsoup,October 2021,145.7,146.0,1,1.3
56,cannedsoup,November 2021,146.0,145.8,0,1.12
57,cannedsoup,December 2021,146.0,140.0,1,1.34
58,cannedsoup,January 2022,147.4,146.6,1,1.24
59,cannedsoup,February 2022,148.8,156.8,1,1.1
60,cannedsoup,March 2022,150.8,175.2,0,1.43
61,cannedsoup,April 2022,151.6,173.8,1,1.15
62,cannedsoup,May 2022,153.7,194.8,1,1.1
63,cannedsoup,June 2022,154.4,207.2,0,1.45
64,cannedsoup,July 2022,154.6,187.8,1,1.44
65,cannedsoup,August 2022,154.1,169.6,0,1.22
66,cannedsoup,September 2022,154.1,156.4,1,1.12
67,cannedsoup,October 2022,155.2,171.5,1,1.62
68,cannedsoup,November 2022,155.4,165.3,0,1.11
69,cannedsoup,December 2022,154.8,143.6,1,1.65
70,cannedsoup,January 2023,155.7,150.3,1,1.52
71,cannedsoup,February 2023,156.4,148.5,1,1.75
72,cannedsoup,March 2023,157.3,150.3,0,1.64
73,cannedsoup,April 2023,157.9,160.1,1,1.81
74,cannedsoup,May 2023,158.5,158.8,1,1.37
75,cannedsoup,June 2023,158.4,161.6,0,1.36
76,cannedsoup,July 2023,159.6,163.1,1,1.67
77,cannedsoup,August 2023,159.9,170.6,0,1.27
78,cannedsoup,September 2023,159.7,168.3,1,1.21
79,cannedsoup,October 2023,160.3,157.4,1,1.56
80,cannedsoup,November 2023,160.6,152.2,0,1.54
81,cannedsoup,December 2023,160.0,145.4,1,1.82
82,cannedsoup,January 2024,159.9,144.1,1,1.47
83,cannedsoup,February 2024,160.2,149.9,1,1.3
84,cannedsoup,March 2024,161.4,157.3,0,1.4
85,cannedsoup,April 2024,162.2,169.8,1,1.39
86,cannedsoup,May 2024,163.2,167.6,1,1.54
87,cannedsoup,June 2024,163.1,162.4,0,1.69
88,cannedsoup,July 2024,163.9,166.5,1,1.38
89,cannedsoup,August 2024,163.3,162.1,0,1.31
90,cannedsoup,September 2024,162.8,150.3,1,1.28
91,cannedsoup,October 2024,163.5,151.6,1,1.34
92,cannedsoup,November 2024,163.5,151.4,0,1.32
