Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedtomatoes,April 2017,132.0,116.1,1,1.22
2,cannedtomatoes,May 2017,131.9,110.9,1,1.25
3,cannedtomatoes,June 2017,132.1,106.5,0,1.33
4,cannedtomatoes,July 2017,131.9,107.0,1,1.33
5,cannedtomatoes,August 2017,131.8,109.7,0,1.13
6,cannedtomatoes,September 2017,132.3,116.0,1,1.27
7,cannedtomatoes,October 2017,132.3,112.4,1,1.22
8,cannedtomatoes,November 2017,132.7,120.8,0,1.22
9,cannedtomatoes,December 2017,132.0,116.9,1,1.36
10,cannedtomatoes,January 2018,133.2,120.6,1,1.26
11,cannedtomatoes,February 2018,134.0,119.7,1,1.24
12,cannedtomatoes,March 2018,134.6,123.1,0,1.3
13,cannedtomatoes,April 2018,134.8,131.6,1,1.2
14,cannedtomatoes,May 2018,134.9,135.9,1,1.25
15,cannedtomatoes,June 2018,135.3,132.9,0,1.2
16,cannedtomatoes,July 2018,136.0,133.9,1,1.24
17,cannedtomatoes,August 2018,135.9,131.8,0,1.32
18,cannedtomatoes,September 2018,135.2,130.4,1,1.2
19,cannedtomatoes,October 2018,135.6,125.9,1,1.27
20,cannedtomatoes,November 2018,135.1,113.8,0,1.32
21,cannedtomatoes,December 2018,135.0,106.4,1,1.31
22,cannedtomatoes,January 2019,135.2,103.1,1,1.3
23,cannedtomatoes,February 2019,136.0,105.1,1,1.34
24,cannedtomatoes,March 2019,137.0,117.7,0,1.36
25,cannedtomatoes,April 2019,137.4,129.5,1,1.41
26,cannedtomatoes,May 2019,138.1,130.7,1,1.25
27,cannedtomatoes,June 2019,138.0,119.9,0,1.3
28,cannedtomatoes,July 2019,138.8,124.4,1,1.32
29,cannedtomatoes,August 2019,138.5,117.9,0,1.35
30,cannedtomatoes,September 2019,137.5,116.9,1,1.33
31,cannedtomatoes,October 2019,137.9,117.2,1,1.41
32,cannedtomatoes,November 2019,137.7,115.0,0,1.33
33,cannedtomatoes,December 2019,137.8,114.5,1,1.33
34,cannedtomatoes,January 2020,138.0,114.6,1,1.3
35,cannedtomatoes,February 2020,138.7,112.2,1,1.36
36,cannedtomatoes,March 2020,137.9,91.3,0,1.59
37,cannedtomatoes,April 2020,137.3,77.8,1,1.6
38,cannedtomatoes,May 2020,137.5,91.4,1,1.59
39,cannedtomatoes,June 2020,138.6,101.0,0,1.62
40,cannedtomatoes,July 2020,138.8,105.5,1,1.58
41,cannedtomatoes,August 2020,138.6,104.6,0,1.27
42,cannedtomatoes,September 2020,138.3,104.1,1,1.42
43,cannedtomatoes,October 2020,138.9,102.6,1,1.41
44,cannedtomatoes,November 2020,139.0,101.1,0,1.39
45,cannedtomatoes,December 2020,138.8,104.4,1,1.43
46,cannedtomatoes,January 2021,139.5,111.0,1,1.45
47,cannedtomatoes,February 2021,140.2,118.2,1,1.42
48,cannedtomatoes,March 2021,141.0,125.0,0,1.58
49,cannedtomatoes,April 2021,141.8,127.5,1,1.62
50,cannedtomatoes,May 2021,142.6,131.5,1,1.62
51,cannedtomatoes,June 2021,143.1,133.7,0,1.58
52,cannedtomatoes,July 2021,143.7,138.4,1,1.47
53,cannedtomatoes,August 2021,144.1,139.0,0,1.63
54,cannedtomatoes,September 2021,144.4,138.9,1,1.5
55,cannedtomatoes,October 2021,145.7,146.0,1,1.47
56,cannedtomatoes,November 2021,146.0,145.8,0,1.49
57,cannedtomatoes,December 2021,146.0,140.0,1,1.56
58,cannedtomatoes,January 2022,147.4,146.6,1,1.4
59,cannedtomatoes,February 2022,148.8,156.8,1,1.49
60,cannedtomatoes,March 2022,150.8,175.2,0,1.48
61,cannedtomatoes,April 2022,151.6,173.8,1,1.39
62,cannedtomatoes,May 2022,153.7,194.8,1,1.45
63,cannedtomatoes,June 2022,154.4,207.2,0,1.61
64,cannedtomatoes,July 2022,154.6,187.8,1,1.62
65,cannedtomatoes,August 2022,154.1,169.6,0,1.74
66,cannedtomatoes,September 2022,154.1,156.4,1,1.58
67,cannedtomatoes,October 2022,155.2,171.5,1,1.51
68,cannedtomatoes,November 2022,155.4,165.3,0,1.61
69,cannedtomatoes,December 2022,154.8,143.6,1,1.83
70,cannedtomatoes,January 2023,155.7,150.3,1,1.79
71,cannedtomatoes,February 2023,156.4,148.5,1,1.91
72,cannedtomatoes,March 2023,157.3,150.3,0,1.93
73,cannedtomatoes,April 2023,157.9,160.1,1,2.01
74,cannedtomatoes,May 2023,158.5,158.8,1,2.13
75,cannedtomatoes,June 2023,158.4,161.6,0,2.08
76,cannedtomatoes,July 2023,159.6,163.1,1,2.01
77,cannedtomatoes,August 2023,159.9,170.6,0,1.89
78,cannedtomatoes,September 2023,159.7,168.3,1,1.65
79,cannedtomatoes,October 2023,160.3,157.4,1,2.05
80,cannedtomatoes,November 2023,160.6,152.2,0,2.06
81,cannedtomatoes,December 2023,160.0,145.4,1,2.1
82,cannedtomatoes,January 2024,159.9,144.1,1,2.04
83,cannedtomatoes,February 2024,160.2,149.9,1,1.98
84,cannedtomatoes,March 2024,161.4,157.3,0,2.07
85,cannedtomatoes,April 2024,162.2,169.8,1,2.06
86,cannedtomatoes,May 2024,163.2,167.6,1,2.03
87,cannedtomatoes,June 2024,163.1,162.4,0,2.17
88,cannedtomatoes,July 2024,163.9,166.5,1,2.05
89,cannedtomatoes,August 2024,163.3,162.1,0,1.88
90,cannedtomatoes,September 2024,162.8,150.3,1,1.93
91,cannedtomatoes,October 2024,163.5,151.6,1,2.1
92,cannedtomatoes,November 2024,163.5,151.4,0,2.03
93,cannedtomatoes,December 2024,162.7,150.5,1,2.13
94,cannedtomatoes,January 2025,162.6,156.7,1,2.13
95,cannedtomatoes,February 2025,164.6,157.7,1,1.97
96,cannedtomatoes,March 2025,165.1,154.8,0,2.06
97,cannedtomatoes,April 2025,164.8,139.2,1,2.13
98,cannedtomatoes,May 2025,165.9,141.7,1,2.17
99,cannedtomatoes,June 2025,166.0,140.7,0,2.15
100,cannedtomatoes,July 2025,166.5,139.6,1,2.22
101,cannedtomatoes,August 2025,166.0,141.6,0,1.87
