Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cannedtuna,April 2017,132.0,116.1,1,1.54
2,cannedtuna,May 2017,131.9,110.9,1,1.51
3,cannedtuna,June 2017,132.1,106.5,0,1.56
4,cannedtuna,July 2017,131.9,107.0,1,1.57
5,cannedtuna,August 2017,131.8,109.7,0,1.51
6,cannedtuna,September 2017,132.3,116.0,1,1.5
7,cannedtuna,October 2017,132.3,112.4,1,1.51
8,cannedtuna,November 2017,132.7,120.8,0,1.64
9,cannedtuna,December 2017,132.0,116.9,1,1.78
10,cannedtuna,January 2018,133.2,120.6,1,1.58
11,cannedtuna,February 2018,134.0,119.7,1,1.86
12,cannedtuna,March 2018,134.6,123.1,0,1.7
13,cannedtuna,April 2018,134.8,131.6,1,1.61
14,cannedtuna,May 2018,134.9,135.9,1,1.7
15,cannedtuna,June 2018,135.3,132.9,0,1.67
16,cannedtuna,July 2018,136.0,133.9,1,1.57
17,cannedtuna,August 2018,135.9,131.8,0,1.66
18,cannedtuna,September 2018,135.2,130.4,1,1.77
19,cannedtuna,October 2018,135.6,125.9,1,1.67
20,cannedtuna,November 2018,135.1,113.8,0,1.72
21,cannedtuna,December 2018,135.0,106.4,1,1.83
22,cannedtuna,January 2019,135.2,103.1,1,1.76
23,cannedtuna,February 2019,136.0,105.1,1,1.69
24,cannedtuna,March 2019,137.0,117.7,0,1.67
25,cannedtuna,April 2019,137.4,129.5,1,1.54
26,cannedtuna,May 2019,138.1,130.7,1,1.53
27,cannedtuna,June 2019,138.0,119.9,0,1.89
28,cannedtuna,July 2019,138.8,124.4,1,1.56
29,cannedtuna,August 2019,138.5,117.9,0,1.78
30,cannedtuna,September 2019,137.5,116.9,1,1.63
31,cannedtuna,October 2019,137.9,117.2,1,1.58
32,cannedtuna,November 2019,137.7,115.0,0,1.51
33,cannedtuna,December 2019,137.8,114.5,1,1.71
34,cannedtuna,January 2020,138.0,114.6,1,1.59
35,cannedtuna,February 2020,138.7,112.2,1,1.6
36,cannedtuna,March 2020,137.9,91.3,0,1.86
37,cannedtuna,April 2020,137.3,77.8,1,1.97
38,cannedtuna,May 2020,137.5,91.4,1,1.83
39,cannedtuna,June 2020,138.6,101.0,0,1.78
40,cannedtuna,July 2020,138.8,105.5,1,1.75
41,cannedtuna,August 2020,138.6,104.6,0,1.52
42,cannedtuna,September 2020,138.3,104.1,1,1.71
43,cannedtuna,October 2020,138.9,102.6,1,1.71
44,cannedtuna,November 2020,139.0,101.1,0,1.64
45,cannedtuna,December 2020,138.8,104.4,1,1.93
46,cannedtuna,January 2021,139.5,111.0,1,1.62
47,cannedtuna,February 2021,140.2,118.2,1,1.65
48,cannedtuna,March 2021,141.0,125.0,0,1.75
49,cannedtuna,April 2021,141.8,127.5,1,1.61
50,cannedtuna,May 2021,142.6,131.5,1,1.81
51,cannedtuna,June 2021,143.1,133.7,0,1.72
52,cannedtuna,July 2021,143.7,138.4,1,1.63
53,cannedtuna,August 2021,144.1,139.0,0,1.66
54,cannedtuna,September 2021,144.4,138.9,1,1.68
55,cannedtuna,October 2021,145.7,146.0,1,1.69
56,cannedtuna,November 2021,146.0,145.8,0,1.58
57,cannedtuna,December 2021,146.0,140.0,1,1.91
58,cannedtuna,January 2022,147.4,146.6,1,1.63
59,cannedtuna,February 2022,148.8,156.8,1,1.68
60,cannedtuna,March 2022,150.8,175.2,0,1.77
61,cannedtuna,April 2022,151.6,173.8,1,1.88
62,cannedtuna,May 2022,153.7,194.8,1,1.78
63,cannedtuna,June 2022,154.4,207.2,0,1.81
64,cannedtuna,July 2022,154.6,187.8,1,1.61
65,cannedtuna,August 2022,154.1,169.6,0,1.76
66,cannedtuna,September 2022,154.1,156.4,1,1.73
67,cannedtuna,October 2022,155.2,171.5,1,1.62
68,cannedtuna,November 2022,155.4,165.3,0,1.63
69,cannedtuna,December 2022,154.8,143.6,1,1.8
70,cannedtuna,January 2023,155.7,150.3,1,1.85
71,cannedtuna,February 2023,156.4,148.5,1,1.9
72,cannedtuna,March 2023,157.3,150.3,0,1.85
73,cannedtuna,April 2023,157.9,160.1,1,1.77
74,cannedtuna,May 2023,158.5,158.8,1,1.92
75,cannedtuna,June 2023,158.4,161.6,0,2.01
76,cannedtuna,July 2023,159.6,163.1,1,1.6
77,cannedtuna,August 2023,159.9,170.6,0,2.07
78,cannedtuna,September 2023,159.7,168.3,1,1.98
79,cannedtuna,October 2023,160.3,157.4,1,1.58
80,cannedtuna,November 2023,160.6,152.2,0,1.93
81,cannedtuna,December 2023,160.0,145.4,1,1.92
82,cannedtuna,January 2024,159.9,144.1,1,1.61
83,cannedtuna,February 2024,160.2,149.9,1,1.69
84,cannedtuna,March 2024,161.4,157.3,0,1.71
85,cannedtuna,April 2024,162.2,169.8,1,1.57
86,cannedtuna,May 2024,163.2,167.6,1,1.83
87,cannedtuna,June 2024,163.1,162.4,0,1.58
88,cannedtuna,July 2024,163.9,166.5,1,1.68
89,cannedtuna,August 2024,163.3,162.1,0,1.59
90,cannedtuna,September 2024,162.8,150.3,1,1.76
91,cannedtuna,October 2024,163.5,151.6,1,1.47
92,cannedtuna,November 2024,163.5,151.4,0,1.62
93,cannedtuna,December 2024,162.7,150.5,1,1.73
94,cannedtuna,January 2025,162.6,156.7,1,1.6
95,cannedtuna,February 2025,164.6,157.7,1,1.69
96,cannedtuna,March 2025,165.1,154.8,0,1.51
97,cannedtuna,April 2025,164.8,139.2,1,1.74
98,cannedtuna,May 2025,165.9,141.7,1,1.66
99,cannedtuna,June 2025,166.0,140.7,0,1.77
100,cannedtuna,July 2025,166.5,139.6,1,1.87
101,cannedtuna,August 2025,166.0,141.6,0,1.65
