Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,canolaoil,April 2017,132.0,116.1,1,7.91
2,canolaoil,May 2017,131.9,110.9,1,7.12
3,canolaoil,June 2017,132.1,106.5,0,8.2
4,canolaoil,July 2017,131.9,107.0,1,8.26
5,canolaoil,August 2017,131.8,109.7,0,8.48
6,canolaoil,September 2017,132.3,116.0,1,6.93
7,canolaoil,October 2017,132.3,112.4,1,7.66
8,canolaoil,November 2017,132.7,120.8,0,6.85
9,canolaoil,December 2017,132.0,116.9,1,7.11
10,canolaoil,January 2018,133.2,120.6,1,5.99
11,canolaoil,February 2018,134.0,119.7,1,7.19
12,canolaoil,March 2018,134.6,123.1,0,8.18
13,canolaoil,April 2018,134.8,131.6,1,5.85
14,canolaoil,May 2018,134.9,135.9,1,6.59
15,canolaoil,June 2018,135.3,132.9,0,6.99
16,canolaoil,July 2018,136.0,133.9,1,7.38
17,canolaoil,August 2018,135.9,131.8,0,6.92
18,canolaoil,September 2018,135.2,130.4,1,7.1
19,canolaoil,October 2018,135.6,125.9,1,7.23
20,canolaoil,November 2018,135.1,113.8,0,7.13
21,canolaoil,December 2018,135.0,106.4,1,7.25
22,canolaoil,January 2019,135.2,103.1,1,7.23
23,canolaoil,February 2019,136.0,105.1,1,7.82
24,canolaoil,March 2019,137.0,117.7,0,7.58
25,canolaoil,April 2019,137.4,129.5,1,7.74
26,canolaoil,May 2019,138.1,130.7,1,7.17
27,canolaoil,June 2019,138.0,119.9,0,8.22
28,canolaoil,July 2019,138.8,124.4,1,7.65
29,canolaoil,August 2019,138.5,117.9,0,7.44
30,canolaoil,September 2019,137.5,116.9,1,7.3
31,canolaoil,October 2019,137.9,117.2,1,8.5
32,canolaoil,November 2019,137.7,115.0,0,8.44
33,canolaoil,December 2019,137.8,114.5,1,8.52
34,canolaoil,January 2020,138.0,114.6,1,6.98
35,canolaoil,February 2020,138.7,112.2,1,7.74
36,canolaoil,March 2020,137.9,91.3,0,8.61
37,canolaoil,April 2020,137.3,77.8,1,7.85
38,canolaoil,May 2020,137.5,91.4,1,7.75
39,canolaoil,June 2020,138.6,101.0,0,8.08
40,canolaoil,July 2020,138.8,105.5,1,8.16
41,canolaoil,August 2020,138.6,104.6,0,8.3
42,canolaoil,September 2020,138.3,104.1,1,8.3
43,canolaoil,October 2020,138.9,102.6,1,8.23
44,canolaoil,November 2020,139.0,101.1,0,8.15
45,canolaoil,December 2020,138.8,104.4,1,8.43
46,canolaoil,January 2021,139.5,111.0,1,7.11
47,canolaoil,February 2021,140.2,118.2,1,6.87
48,canolaoil,March 2021,141.0,125.0,0,7.9
49,canolaoil,April 2021,141.8,127.5,1,8.28
50,canolaoil,May 2021,142.6,131.5,1,8.36
51,canolaoil,June 2021,143.1,133.7,0,8.9
52,canolaoil,July 2021,143.7,138.4,1,9.0
53,canolaoil,August 2021,144.1,139.0,0,8.68
54,canolaoil,September 2021,144.4,138.9,1,9.39
55,canolaoil,October 2021,145.7,146.0,1,9.76
56,canolaoil,November 2021,146.0,145.8,0,10.39
57,canolaoil,December 2021,146.0,140.0,1,10.56
58,canolaoil,January 2022,147.4,146.6,1,8.63
59,canolaoil,February 2022,148.8,156.8,1,11.32
60,canolaoil,March 2022,150.8,175.2,0,11.73
61,canolaoil,April 2022,151.6,173.8,1,12.52
62,canolaoil,May 2022,153.7,194.8,1,12.82
63,canolaoil,June 2022,154.4,207.2,0,12.67
64,canolaoil,July 2022,154.6,187.8,1,12.49
65,canolaoil,August 2022,154.1,169.6,0,12.4
66,canolaoil,September 2022,154.1,156.4,1,13.79
67,canolaoil,October 2022,155.2,171.5,1,12.71
68,canolaoil,November 2022,155.4,165.3,0,12.95
69,canolaoil,December 2022,154.8,143.6,1,13.62
70,canolaoil,January 2023,155.7,150.3,1,12.15
71,canolaoil,February 2023,156.4,148.5,1,12.97
72,canolaoil,March 2023,157.3,150.3,0,13.36
73,canolaoil,April 2023,157.9,160.1,1,14.07
74,canolaoil,May 2023,158.5,158.8,1,14.19
75,canolaoil,June 2023,158.4,161.6,0,13.08
76,canolaoil,July 2023,159.6,163.1,1,13.35
77,canolaoil,August 2023,159.9,170.6,0,11.96
78,canolaoil,September 2023,159.7,168.3,1,13.23
79,canolaoil,October 2023,160.3,157.4,1,13.32
80,canolaoil,November 2023,160.6,152.2,0,12.89
81,canolaoil,December 2023,160.0,145.4,1,13.3
82,canolaoil,January 2024,159.9,144.1,1,11.34
83,canolaoil,February 2024,160.2,149.9,1,11.33
84,canolaoil,March 2024,161.4,157.3,0,11.29
85,canolaoil,April 2024,162.2,169.8,1,11.12
86,canolaoil,May 2024,163.2,167.6,1,12.16
87,canolaoil,June 2024,163.1,162.4,0,9.09
88,canolaoil,July 2024,163.9,166.5,1,9.12
89,canolaoil,August 2024,163.3,162.1,0,10.92
90,canolaoil,September 2024,162.8,150.3,1,9.36
91,canolaoil,October 2024,163.5,151.6,1,9.36
92,canolaoil,November 2024,163.5,151.4,0,10.01
93,canolaoil,December 2024,162.7,150.5,1,11.0
94,canolaoil,January 2025,162.6,156.7,1,10.21
95,canolaoil,February 2025,164.6,157.7,1,9.03
96,canolaoil,March 2025,165.1,154.8,0,10.36
97,canolaoil,April 2025,164.8,139.2,1,9.22
98,canolaoil,May 2025,165.9,141.7,1,10.6
99,canolaoil,June 2025,166.0,140.7,0,10.12
100,canolaoil,July 2025,166.5,139.6,1,9.28
101,canolaoil,August 2025,166.0,141.6,0,10.84
