Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cantaloupe,April 2017,132.0,116.1,1,2.43
2,cantaloupe,May 2017,131.9,110.9,1,2.09
3,cantaloupe,June 2017,132.1,106.5,0,2.67
4,cantaloupe,July 2017,131.9,107.0,1,3.02
5,cantaloupe,August 2017,131.8,109.7,0,2.02
6,cantaloupe,September 2017,132.3,116.0,1,2.0
7,cantaloupe,October 2017,132.3,112.4,1,2.1
8,cantaloupe,November 2017,132.7,120.8,0,2.65
9,cantaloupe,December 2017,132.0,116.9,1,2.59
10,cantaloupe,January 2018,133.2,120.6,1,2.6
11,cantaloupe,February 2018,134.0,119.7,1,1.77
12,cantaloupe,March 2018,134.6,123.1,0,1.6
13,cantaloupe,April 2018,134.8,131.6,1,2.33
14,cantaloupe,May 2018,134.9,135.9,1,2.27
15,cantaloupe,June 2018,135.3,132.9,0,3.32
16,cantaloupe,July 2018,136.0,133.9,1,2.94
17,cantaloupe,August 2018,135.9,131.8,0,1.78
18,cantaloupe,September 2018,135.2,130.4,1,2.2
19,cantaloupe,October 2018,135.6,125.9,1,2.44
20,cantaloupe,November 2018,135.1,113.8,0,3.05
21,cantaloupe,December 2018,135.0,106.4,1,3.02
22,cantaloupe,January 2019,135.2,103.1,1,2.62
23,cantaloupe,February 2019,136.0,105.1,1,2.77
24,cantaloupe,March 2019,137.0,117.7,0,2.52
25,cantaloupe,April 2019,137.4,129.5,1,2.68
26,cantaloupe,May 2019,138.1,130.7,1,2.69
27,cantaloupe,June 2019,138.0,119.9,0,3.66
28,cantaloupe,July 2019,138.8,124.4,1,2.03
29,cantaloupe,August 2019,138.5,117.9,0,2.2
30,cantaloupe,September 2019,137.5,116.9,1,2.47
31,cantaloupe,October 2019,137.9,117.2,1,2.87
32,cantaloupe,November 2019,137.7,115.0,0,3.62
33,cantaloupe,December 2019,137.8,114.5,1,3.24
34,cantaloupe,January 2020,138.0,114.6,1,2.51
35,cantaloupe,February 2020,138.7,112.2,1,1.79
36,cantaloupe,March 2020,137.9,91.3,0,1.82
37,cantaloupe,April 2020,137.3,77.8,1,2.67
38,cantaloupe,May 2020,137.5,91.4,1,3.18
39,cantaloupe,June 2020,138.6,101.0,0,3.02
40,cantaloupe,July 2020,138.8,105.5,1,3.12
41,cantaloupe,August 2020,138.6,104.6,0,2.02
42,cantaloupe,September 2020,138.3,104.1,1,2.61
43,cantaloupe,October 2020,138.9,102.6,1,3.67
44,cantaloupe,November 2020,139.0,101.1,0,2.86
45,cantaloupe,December 2020,138.8,104.4,1,2.96
46,cantaloupe,January 2021,139.5,111.0,1,3.85
47,cantaloupe,February 2021,140.2,118.2,1,3.35
48,cantaloupe,March 2021,141.0,125.0,0,2.65
49,cantaloupe,April 2021,141.8,127.5,1,2.42
50,cantaloupe,May 2021,142.6,131.5,1,2.66
51,cantaloupe,June 2021,143.1,133.7,0,3.36
52,cantaloupe,July 2021,143.7,138.4,1,3.14
53,cantaloupe,August 2021,144.1,139.0,0,2.47
54,cantaloupe,September 2021,144.4,138.9,1,2.84
55,cantaloupe,October 2021,145.7,146.0,1,3.38
56,cantaloupe,November 2021,146.0,145.8,0,3.7
57,cantaloupe,December 2021,146.0,140.0,1,2.89
58,cantaloupe,January 2022,147.4,146.6,1,2.86
