Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,carrotskilograms,April 2017,132.0,116.1,1,2.44
2,carrotskilograms,May 2017,131.9,110.9,1,2.77
3,carrotskilograms,June 2017,132.1,106.5,0,2.99
4,carrotskilograms,July 2017,131.9,107.0,1,2.97
5,carrotskilograms,August 2017,131.8,109.7,0,2.51
6,carrotskilograms,September 2017,132.3,116.0,1,2.24
7,carrotskilograms,October 2017,132.3,112.4,1,2.03
8,carrotskilograms,November 2017,132.7,120.8,0,1.82
9,carrotskilograms,December 2017,132.0,116.9,1,2.19
10,carrotskilograms,January 2018,133.2,120.6,1,2.21
11,carrotskilograms,February 2018,134.0,119.7,1,2.53
12,carrotskilograms,March 2018,134.6,123.1,0,2.81
13,carrotskilograms,April 2018,134.8,131.6,1,3.04
14,carrotskilograms,May 2018,134.9,135.9,1,2.89
15,carrotskilograms,June 2018,135.3,132.9,0,3.15
16,carrotskilograms,July 2018,136.0,133.9,1,3.15
17,carrotskilograms,August 2018,135.9,131.8,0,2.87
18,carrotskilograms,September 2018,135.2,130.4,1,2.17
19,carrotskilograms,October 2018,135.6,125.9,1,1.88
20,carrotskilograms,November 2018,135.1,113.8,0,2.16
21,carrotskilograms,December 2018,135.0,106.4,1,2.33
22,carrotskilograms,January 2019,135.2,103.1,1,2.74
23,carrotskilograms,February 2019,136.0,105.1,1,2.77
24,carrotskilograms,March 2019,137.0,117.7,0,3.01
25,carrotskilograms,April 2019,137.4,129.5,1,3.05
26,carrotskilograms,May 2019,138.1,130.7,1,3.64
27,carrotskilograms,June 2019,138.0,119.9,0,3.66
28,carrotskilograms,July 2019,138.8,124.4,1,3.24
29,carrotskilograms,August 2019,138.5,117.9,0,2.94
30,carrotskilograms,September 2019,137.5,116.9,1,2.4
31,carrotskilograms,October 2019,137.9,117.2,1,2.09
32,carrotskilograms,November 2019,137.7,115.0,0,2.2
33,carrotskilograms,December 2019,137.8,114.5,1,2.49
34,carrotskilograms,January 2020,138.0,114.6,1,2.44
35,carrotskilograms,February 2020,138.7,112.2,1,2.59
36,carrotskilograms,March 2020,137.9,91.3,0,2.81
37,carrotskilograms,April 2020,137.3,77.8,1,3.28
38,carrotskilograms,May 2020,137.5,91.4,1,3.49
39,carrotskilograms,June 2020,138.6,101.0,0,3.64
40,carrotskilograms,July 2020,138.8,105.5,1,3.38
41,carrotskilograms,August 2020,138.6,104.6,0,2.66
42,carrotskilograms,September 2020,138.3,104.1,1,2.82
43,carrotskilograms,October 2020,138.9,102.6,1,2.63
44,carrotskilograms,November 2020,139.0,101.1,0,2.81
45,carrotskilograms,December 2020,138.8,104.4,1,2.72
46,carrotskilograms,January 2021,139.5,111.0,1,2.94
47,carrotskilograms,February 2021,140.2,118.2,1,2.97
48,carrotskilograms,March 2021,141.0,125.0,0,3.15
49,carrotskilograms,April 2021,141.8,127.5,1,2.95
50,carrotskilograms,May 2021,142.6,131.5,1,3.02
51,carrotskilograms,June 2021,143.1,133.7,0,3.26
52,carrotskilograms,July 2021,143.7,138.4,1,3.2
53,carrotskilograms,August 2021,144.1,139.0,0,2.92
54,carrotskilograms,September 2021,144.4,138.9,1,2.94
55,carrotskilograms,October 2021,145.7,146.0,1,2.58
56,carrotskilograms,November 2021,146.0,145.8,0,2.59
57,carrotskilograms,December 2021,146.0,140.0,1,2.61
58,carrotskilograms,January 2022,147.4,146.6,1,2.66
59,carrotskilograms,February 2022,148.8,156.8,1,3.02
60,carrotskilograms,March 2022,150.8,175.2,0,3.4
