Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,celery,April 2017,132.0,116.1,1,2.3
2,celery,May 2017,131.9,110.9,1,2.99
3,celery,June 2017,132.1,106.5,0,3.55
4,celery,July 2017,131.9,107.0,1,2.57
5,celery,August 2017,131.8,109.7,0,1.86
6,celery,September 2017,132.3,116.0,1,1.43
7,celery,October 2017,132.3,112.4,1,1.52
8,celery,November 2017,132.7,120.8,0,2.16
9,celery,December 2017,132.0,116.9,1,2.47
10,celery,January 2018,133.2,120.6,1,2.48
11,celery,February 2018,134.0,119.7,1,2.4
12,celery,March 2018,134.6,123.1,0,2.45
13,celery,April 2018,134.8,131.6,1,2.42
14,celery,May 2018,134.9,135.9,1,2.63
15,celery,June 2018,135.3,132.9,0,2.77
16,celery,July 2018,136.0,133.9,1,2.61
17,celery,August 2018,135.9,131.8,0,2.12
18,celery,September 2018,135.2,130.4,1,1.85
19,celery,October 2018,135.6,125.9,1,2.03
20,celery,November 2018,135.1,113.8,0,2.53
21,celery,December 2018,135.0,106.4,1,3.23
22,celery,January 2019,135.2,103.1,1,3.23
23,celery,February 2019,136.0,105.1,1,3.71
24,celery,March 2019,137.0,117.7,0,4.23
25,celery,April 2019,137.4,129.5,1,4.85
26,celery,May 2019,138.1,130.7,1,5.37
27,celery,June 2019,138.0,119.9,0,5.02
28,celery,July 2019,138.8,124.4,1,3.61
29,celery,August 2019,138.5,117.9,0,2.52
30,celery,September 2019,137.5,116.9,1,2.07
31,celery,October 2019,137.9,117.2,1,2.35
32,celery,November 2019,137.7,115.0,0,2.8
33,celery,December 2019,137.8,114.5,1,3.07
34,celery,January 2020,138.0,114.6,1,3.06
35,celery,February 2020,138.7,112.2,1,2.84
36,celery,March 2020,137.9,91.3,0,2.62
37,celery,April 2020,137.3,77.8,1,2.76
38,celery,May 2020,137.5,91.4,1,2.74
39,celery,June 2020,138.6,101.0,0,2.76
40,celery,July 2020,138.8,105.5,1,2.63
41,celery,August 2020,138.6,104.6,0,2.17
42,celery,September 2020,138.3,104.1,1,2.38
43,celery,October 2020,138.9,102.6,1,2.46
44,celery,November 2020,139.0,101.1,0,2.57
45,celery,December 2020,138.8,104.4,1,2.51
46,celery,January 2021,139.5,111.0,1,2.86
47,celery,February 2021,140.2,118.2,1,2.81
48,celery,March 2021,141.0,125.0,0,2.65
49,celery,April 2021,141.8,127.5,1,2.53
50,celery,May 2021,142.6,131.5,1,2.67
51,celery,June 2021,143.1,133.7,0,2.7
52,celery,July 2021,143.7,138.4,1,2.46
53,celery,August 2021,144.1,139.0,0,2.27
54,celery,September 2021,144.4,138.9,1,2.09
55,celery,October 2021,145.7,146.0,1,2.28
56,celery,November 2021,146.0,145.8,0,2.58
57,celery,December 2021,146.0,140.0,1,2.68
58,celery,January 2022,147.4,146.6,1,2.82
59,celery,February 2022,148.8,156.8,1,2.89
60,celery,March 2022,150.8,175.2,0,3.17
61,celery,April 2022,151.6,173.8,1,3.11
62,celery,May 2022,153.7,194.8,1,3.23
63,celery,June 2022,154.4,207.2,0,3.37
64,celery,July 2022,154.6,187.8,1,2.89
65,celery,August 2022,154.1,169.6,0,2.53
66,celery,September 2022,154.1,156.4,1,2.49
67,celery,October 2022,155.2,171.5,1,2.46
68,celery,November 2022,155.4,165.3,0,3.07
69,celery,December 2022,154.8,143.6,1,3.65
70,celery,January 2023,155.7,150.3,1,4.29
71,celery,February 2023,156.4,148.5,1,4.04
72,celery,March 2023,157.3,150.3,0,3.53
73,celery,April 2023,157.9,160.1,1,3.45
74,celery,May 2023,158.5,158.8,1,3.67
75,celery,June 2023,158.4,161.6,0,3.96
76,celery,July 2023,159.6,163.1,1,3.38
77,celery,August 2023,159.9,170.6,0,2.99
78,celery,September 2023,159.7,168.3,1,2.89
79,celery,October 2023,160.3,157.4,1,3.2
80,celery,November 2023,160.6,152.2,0,3.54
81,celery,December 2023,160.0,145.4,1,3.49
82,celery,January 2024,159.9,144.1,1,3.53
83,celery,February 2024,160.2,149.9,1,3.32
84,celery,March 2024,161.4,157.3,0,3.26
85,celery,April 2024,162.2,169.8,1,2.97
86,celery,May 2024,163.2,167.6,1,3.45
87,celery,June 2024,163.1,162.4,0,3.35
88,celery,July 2024,163.9,166.5,1,3.29
89,celery,August 2024,163.3,162.1,0,2.8
90,celery,September 2024,162.8,150.3,1,2.56
91,celery,October 2024,163.5,151.6,1,3.07
92,celery,November 2024,163.5,151.4,0,3.38
93,celery,December 2024,162.7,150.5,1,3.45
94,celery,January 2025,162.6,156.7,1,3.62
95,celery,February 2025,164.6,157.7,1,3.55
96,celery,March 2025,165.1,154.8,0,3.32
97,celery,April 2025,164.8,139.2,1,3.32
98,celery,May 2025,165.9,141.7,1,3.35
99,celery,June 2025,166.0,140.7,0,3.33
100,celery,July 2025,166.5,139.6,1,3.29
101,celery,August 2025,166.0,141.6,0,2.54
