Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cereal,April 2017,132.0,116.1,1,3.13
2,cereal,May 2017,131.9,110.9,1,3.04
3,cereal,June 2017,132.1,106.5,0,3.09
4,cereal,July 2017,131.9,107.0,1,3.09
5,cereal,August 2017,131.8,109.7,0,3.09
6,cereal,September 2017,132.3,116.0,1,2.97
7,cereal,October 2017,132.3,112.4,1,3.1
8,cereal,November 2017,132.7,120.8,0,3.01
9,cereal,December 2017,132.0,116.9,1,3.03
10,cereal,January 2018,133.2,120.6,1,2.9
11,cereal,February 2018,134.0,119.7,1,2.99
12,cereal,March 2018,134.6,123.1,0,3.01
13,cereal,April 2018,134.8,131.6,1,3.07
14,cereal,May 2018,134.9,135.9,1,3.01
15,cereal,June 2018,135.3,132.9,0,3.13
16,cereal,July 2018,136.0,133.9,1,3.07
17,cereal,August 2018,135.9,131.8,0,2.97
18,cereal,September 2018,135.2,130.4,1,3.08
19,cereal,October 2018,135.6,125.9,1,2.97
20,cereal,November 2018,135.1,113.8,0,3.04
21,cereal,December 2018,135.0,106.4,1,3.19
22,cereal,January 2019,135.2,103.1,1,3.01
23,cereal,February 2019,136.0,105.1,1,3.11
24,cereal,March 2019,137.0,117.7,0,3.11
25,cereal,April 2019,137.4,129.5,1,3.06
26,cereal,May 2019,138.1,130.7,1,3.08
27,cereal,June 2019,138.0,119.9,0,3.04
28,cereal,July 2019,138.8,124.4,1,3.08
29,cereal,August 2019,138.5,117.9,0,2.96
30,cereal,September 2019,137.5,116.9,1,3.02
31,cereal,October 2019,137.9,117.2,1,3.03
32,cereal,November 2019,137.7,115.0,0,3.09
33,cereal,December 2019,137.8,114.5,1,3.05
34,cereal,January 2020,138.0,114.6,1,3.0
35,cereal,February 2020,138.7,112.2,1,3.07
36,cereal,March 2020,137.9,91.3,0,3.2
37,cereal,April 2020,137.3,77.8,1,3.28
38,cereal,May 2020,137.5,91.4,1,3.21
39,cereal,June 2020,138.6,101.0,0,3.19
40,cereal,July 2020,138.8,105.5,1,3.33
41,cereal,August 2020,138.6,104.6,0,3.21
42,cereal,September 2020,138.3,104.1,1,3.17
43,cereal,October 2020,138.9,102.6,1,3.08
44,cereal,November 2020,139.0,101.1,0,3.14
45,cereal,December 2020,138.8,104.4,1,3.23
46,cereal,January 2021,139.5,111.0,1,3.12
47,cereal,February 2021,140.2,118.2,1,3.26
48,cereal,March 2021,141.0,125.0,0,3.26
49,cereal,April 2021,141.8,127.5,1,3.2
50,cereal,May 2021,142.6,131.5,1,3.29
51,cereal,June 2021,143.1,133.7,0,3.34
52,cereal,July 2021,143.7,138.4,1,3.39
53,cereal,August 2021,144.1,139.0,0,3.33
54,cereal,September 2021,144.4,138.9,1,3.23
55,cereal,October 2021,145.7,146.0,1,3.37
56,cereal,November 2021,146.0,145.8,0,3.38
57,cereal,December 2021,146.0,140.0,1,3.54
58,cereal,January 2022,147.4,146.6,1,3.39
59,cereal,February 2022,148.8,156.8,1,3.66
60,cereal,March 2022,150.8,175.2,0,3.9
61,cereal,April 2022,151.6,173.8,1,3.86
62,cereal,May 2022,153.7,194.8,1,3.83
63,cereal,June 2022,154.4,207.2,0,3.76
64,cereal,July 2022,154.6,187.8,1,3.87
65,cereal,August 2022,154.1,169.6,0,3.85
66,cereal,September 2022,154.1,156.4,1,3.95
67,cereal,October 2022,155.2,171.5,1,4.02
68,cereal,November 2022,155.4,165.3,0,4.04
69,cereal,December 2022,154.8,143.6,1,4.14
70,cereal,January 2023,155.7,150.3,1,3.94
71,cereal,February 2023,156.4,148.5,1,4.06
72,cereal,March 2023,157.3,150.3,0,4.08
73,cereal,April 2023,157.9,160.1,1,4.16
74,cereal,May 2023,158.5,158.8,1,4.23
75,cereal,June 2023,158.4,161.6,0,4.17
76,cereal,July 2023,159.6,163.1,1,4.22
77,cereal,August 2023,159.9,170.6,0,4.17
78,cereal,September 2023,159.7,168.3,1,4.06
79,cereal,October 2023,160.3,157.4,1,4.16
80,cereal,November 2023,160.6,152.2,0,4.19
81,cereal,December 2023,160.0,145.4,1,4.16
82,cereal,January 2024,159.9,144.1,1,4.16
83,cereal,February 2024,160.2,149.9,1,4.21
84,cereal,March 2024,161.4,157.3,0,4.2
85,cereal,April 2024,162.2,169.8,1,4.15
86,cereal,May 2024,163.2,167.6,1,4.12
87,cereal,June 2024,163.1,162.4,0,4.1
88,cereal,July 2024,163.9,166.5,1,4.28
89,cereal,August 2024,163.3,162.1,0,4.15
90,cereal,September 2024,162.8,150.3,1,4.07
91,cereal,October 2024,163.5,151.6,1,4.28
92,cereal,November 2024,163.5,151.4,0,4.14
93,cereal,December 2024,162.7,150.5,1,4.24
94,cereal,January 2025,162.6,156.7,1,4.1
95,cereal,February 2025,164.6,157.7,1,4.18
96,cereal,March 2025,165.1,154.8,0,4.07
97,cereal,April 2025,164.8,139.2,1,4.13
98,cereal,May 2025,165.9,141.7,1,4.15
99,cereal,June 2025,166.0,140.7,0,4.15
100,cereal,July 2025,166.5,139.6,1,4.2
101,cereal,August 2025,166.0,141.6,0,4.11
