Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,chickenbreasts,April 2017,132.0,116.1,1,10.49
2,chickenbreasts,May 2017,131.9,110.9,1,11.01
3,chickenbreasts,June 2017,132.1,106.5,0,10.37
4,chickenbreasts,July 2017,131.9,107.0,1,12.13
5,chickenbreasts,August 2017,131.8,109.7,0,11.78
6,chickenbreasts,September 2017,132.3,116.0,1,12.6
7,chickenbreasts,October 2017,132.3,112.4,1,11.8
8,chickenbreasts,November 2017,132.7,120.8,0,12.23
9,chickenbreasts,December 2017,132.0,116.9,1,12.28
10,chickenbreasts,January 2018,133.2,120.6,1,11.27
11,chickenbreasts,February 2018,134.0,119.7,1,11.39
12,chickenbreasts,March 2018,134.6,123.1,0,10.53
13,chickenbreasts,April 2018,134.8,131.6,1,12.21
14,chickenbreasts,May 2018,134.9,135.9,1,10.47
15,chickenbreasts,June 2018,135.3,132.9,0,11.36
16,chickenbreasts,July 2018,136.0,133.9,1,12.01
17,chickenbreasts,August 2018,135.9,131.8,0,10.73
18,chickenbreasts,September 2018,135.2,130.4,1,12.03
19,chickenbreasts,October 2018,135.6,125.9,1,11.18
20,chickenbreasts,November 2018,135.1,113.8,0,11.79
21,chickenbreasts,December 2018,135.0,106.4,1,10.14
22,chickenbreasts,January 2019,135.2,103.1,1,11.0
23,chickenbreasts,February 2019,136.0,105.1,1,10.2
24,chickenbreasts,March 2019,137.0,117.7,0,10.16
25,chickenbreasts,April 2019,137.4,129.5,1,10.76
26,chickenbreasts,May 2019,138.1,130.7,1,10.53
27,chickenbreasts,June 2019,138.0,119.9,0,11.12
28,chickenbreasts,July 2019,138.8,124.4,1,11.7
29,chickenbreasts,August 2019,138.5,117.9,0,11.43
30,chickenbreasts,September 2019,137.5,116.9,1,11.54
31,chickenbreasts,October 2019,137.9,117.2,1,10.85
32,chickenbreasts,November 2019,137.7,115.0,0,11.75
33,chickenbreasts,December 2019,137.8,114.5,1,12.21
34,chickenbreasts,January 2020,138.0,114.6,1,10.91
35,chickenbreasts,February 2020,138.7,112.2,1,12.41
36,chickenbreasts,March 2020,137.9,91.3,0,12.9
37,chickenbreasts,April 2020,137.3,77.8,1,12.66
38,chickenbreasts,May 2020,137.5,91.4,1,10.59
39,chickenbreasts,June 2020,138.6,101.0,0,11.18
40,chickenbreasts,July 2020,138.8,105.5,1,11.76
41,chickenbreasts,August 2020,138.6,104.6,0,11.28
42,chickenbreasts,September 2020,138.3,104.1,1,11.84
43,chickenbreasts,October 2020,138.9,102.6,1,12.83
44,chickenbreasts,November 2020,139.0,101.1,0,12.26
45,chickenbreasts,December 2020,138.8,104.4,1,12.19
46,chickenbreasts,January 2021,139.5,111.0,1,12.05
47,chickenbreasts,February 2021,140.2,118.2,1,12.19
48,chickenbreasts,March 2021,141.0,125.0,0,11.69
49,chickenbreasts,April 2021,141.8,127.5,1,13.24
