Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,chickendrumsticks,April 2017,132.0,116.1,1,6.54
2,chickendrumsticks,May 2017,131.9,110.9,1,6.62
3,chickendrumsticks,June 2017,132.1,106.5,0,4.84
4,chickendrumsticks,July 2017,131.9,107.0,1,5.31
5,chickendrumsticks,August 2017,131.8,109.7,0,5.3
6,chickendrumsticks,September 2017,132.3,116.0,1,6.49
7,chickendrumsticks,October 2017,132.3,112.4,1,5.76
8,chickendrumsticks,November 2017,132.7,120.8,0,6.19
9,chickendrumsticks,December 2017,132.0,116.9,1,5.84
10,chickendrumsticks,January 2018,133.2,120.6,1,5.34
11,chickendrumsticks,February 2018,134.0,119.7,1,5.84
12,chickendrumsticks,March 2018,134.6,123.1,0,5.27
13,chickendrumsticks,April 2018,134.8,131.6,1,5.41
14,chickendrumsticks,May 2018,134.9,135.9,1,5.99
15,chickendrumsticks,June 2018,135.3,132.9,0,5.95
16,chickendrumsticks,July 2018,136.0,133.9,1,5.54
17,chickendrumsticks,August 2018,135.9,131.8,0,5.96
18,chickendrumsticks,September 2018,135.2,130.4,1,6.53
19,chickendrumsticks,October 2018,135.6,125.9,1,6.12
20,chickendrumsticks,November 2018,135.1,113.8,0,7.64
21,chickendrumsticks,December 2018,135.0,106.4,1,6.42
22,chickendrumsticks,January 2019,135.2,103.1,1,5.84
23,chickendrumsticks,February 2019,136.0,105.1,1,7.09
24,chickendrumsticks,March 2019,137.0,117.7,0,6.03
25,chickendrumsticks,April 2019,137.4,129.5,1,7.0
26,chickendrumsticks,May 2019,138.1,130.7,1,6.31
27,chickendrumsticks,June 2019,138.0,119.9,0,6.21
28,chickendrumsticks,July 2019,138.8,124.4,1,5.6
29,chickendrumsticks,August 2019,138.5,117.9,0,5.43
30,chickendrumsticks,September 2019,137.5,116.9,1,6.46
31,chickendrumsticks,October 2019,137.9,117.2,1,5.08
32,chickendrumsticks,November 2019,137.7,115.0,0,6.45
33,chickendrumsticks,December 2019,137.8,114.5,1,5.0
34,chickendrumsticks,January 2020,138.0,114.6,1,6.93
35,chickendrumsticks,February 2020,138.7,112.2,1,7.29
36,chickendrumsticks,March 2020,137.9,91.3,0,5.71
37,chickendrumsticks,April 2020,137.3,77.8,1,6.95
38,chickendrumsticks,May 2020,137.5,91.4,1,6.76
39,chickendrumsticks,June 2020,138.6,101.0,0,6.6
40,chickendrumsticks,July 2020,138.8,105.5,1,6.91
41,chickendrumsticks,August 2020,138.6,104.6,0,6.53
42,chickendrumsticks,September 2020,138.3,104.1,1,5.77
43,chickendrumsticks,October 2020,138.9,102.6,1,5.7
44,chickendrumsticks,November 2020,139.0,101.1,0,7.17
45,chickendrumsticks,December 2020,138.8,104.4,1,5.74
46,chickendrumsticks,January 2021,139.5,111.0,1,6.77
47,chickendrumsticks,February 2021,140.2,118.2,1,7.51
48,chickendrumsticks,March 2021,141.0,125.0,0,5.5
49,chickendrumsticks,April 2021,141.8,127.5,1,7.27
50,chickendrumsticks,May 2021,142.6,131.5,1,5.61
51,chickendrumsticks,June 2021,143.1,133.7,0,6.4
52,chickendrumsticks,July 2021,143.7,138.4,1,5.83
53,chickendrumsticks,August 2021,144.1,139.0,0,6.23
54,chickendrumsticks,September 2021,144.4,138.9,1,6.27
55,chickendrumsticks,October 2021,145.7,146.0,1,7.72
56,chickendrumsticks,November 2021,146.0,145.8,0,5.71
57,chickendrumsticks,December 2021,146.0,140.0,1,7.63
58,chickendrumsticks,January 2022,147.4,146.6,1,6.46
59,chickendrumsticks,February 2022,148.8,156.8,1,6.9
60,chickendrumsticks,March 2022,150.8,175.2,0,5.48
61,chickendrumsticks,April 2022,151.6,173.8,1,8.34
62,chickendrumsticks,May 2022,153.7,194.8,1,5.98
63,chickendrumsticks,June 2022,154.4,207.2,0,6.32
64,chickendrumsticks,July 2022,154.6,187.8,1,6.22
65,chickendrumsticks,August 2022,154.1,169.6,0,6.85
66,chickendrumsticks,September 2022,154.1,156.4,1,6.74
67,chickendrumsticks,October 2022,155.2,171.5,1,8.4
68,chickendrumsticks,November 2022,155.4,165.3,0,6.2
69,chickendrumsticks,December 2022,154.8,143.6,1,5.83
70,chickendrumsticks,January 2023,155.7,150.3,1,6.01
71,chickendrumsticks,February 2023,156.4,148.5,1,6.67
72,chickendrumsticks,March 2023,157.3,150.3,0,5.83
73,chickendrumsticks,April 2023,157.9,160.1,1,5.88
74,chickendrumsticks,May 2023,158.5,158.8,1,6.19
75,chickendrumsticks,June 2023,158.4,161.6,0,5.71
76,chickendrumsticks,July 2023,159.6,163.1,1,6.51
77,chickendrumsticks,August 2023,159.9,170.6,0,7.25
78,chickendrumsticks,September 2023,159.7,168.3,1,5.46
79,chickendrumsticks,October 2023,160.3,157.4,1,8.82
80,chickendrumsticks,November 2023,160.6,152.2,0,7.03
81,chickendrumsticks,December 2023,160.0,145.4,1,8.09
82,chickendrumsticks,January 2024,159.9,144.1,1,8.29
83,chickendrumsticks,February 2024,160.2,149.9,1,7.16
84,chickendrumsticks,March 2024,161.4,157.3,0,5.35
85,chickendrumsticks,April 2024,162.2,169.8,1,7.62
86,chickendrumsticks,May 2024,163.2,167.6,1,5.75
87,chickendrumsticks,June 2024,163.1,162.4,0,5.77
88,chickendrumsticks,July 2024,163.9,166.5,1,7.53
89,chickendrumsticks,August 2024,163.3,162.1,0,5.47
90,chickendrumsticks,September 2024,162.8,150.3,1,7.58
91,chickendrumsticks,October 2024,163.5,151.6,1,6.38
92,chickendrumsticks,November 2024,163.5,151.4,0,5.88
93,chickendrumsticks,December 2024,162.7,150.5,1,7.9
94,chickendrumsticks,January 2025,162.6,156.7,1,7.77
95,chickendrumsticks,February 2025,164.6,157.7,1,6.05
96,chickendrumsticks,March 2025,165.1,154.8,0,5.98
97,chickendrumsticks,April 2025,164.8,139.2,1,6.32
98,chickendrumsticks,May 2025,165.9,141.7,1,7.97
99,chickendrumsticks,June 2025,166.0,140.7,0,6.59
100,chickendrumsticks,July 2025,166.5,139.6,1,6.38
101,chickendrumsticks,August 2025,166.0,141.6,0,6.32
