Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,chickenthigh,April 2017,132.0,116.1,1,9.17
2,chickenthigh,May 2017,131.9,110.9,1,9.35
3,chickenthigh,June 2017,132.1,106.5,0,8.08
4,chickenthigh,July 2017,131.9,107.0,1,7.94
5,chickenthigh,August 2017,131.8,109.7,0,8.42
6,chickenthigh,September 2017,132.3,116.0,1,9.24
7,chickenthigh,October 2017,132.3,112.4,1,8.33
8,chickenthigh,November 2017,132.7,120.8,0,8.95
9,chickenthigh,December 2017,132.0,116.9,1,8.34
10,chickenthigh,January 2018,133.2,120.6,1,7.65
11,chickenthigh,February 2018,134.0,119.7,1,8.49
12,chickenthigh,March 2018,134.6,123.1,0,7.86
13,chickenthigh,April 2018,134.8,131.6,1,7.89
14,chickenthigh,May 2018,134.9,135.9,1,8.55
15,chickenthigh,June 2018,135.3,132.9,0,8.41
16,chickenthigh,July 2018,136.0,133.9,1,7.92
17,chickenthigh,August 2018,135.9,131.8,0,8.63
18,chickenthigh,September 2018,135.2,130.4,1,9.34
19,chickenthigh,October 2018,135.6,125.9,1,8.94
20,chickenthigh,November 2018,135.1,113.8,0,10.7
21,chickenthigh,December 2018,135.0,106.4,1,9.57
22,chickenthigh,January 2019,135.2,103.1,1,8.48
23,chickenthigh,February 2019,136.0,105.1,1,10.27
24,chickenthigh,March 2019,137.0,117.7,0,9.0
25,chickenthigh,April 2019,137.4,129.5,1,10.21
26,chickenthigh,May 2019,138.1,130.7,1,9.29
27,chickenthigh,June 2019,138.0,119.9,0,9.08
28,chickenthigh,July 2019,138.8,124.4,1,8.31
29,chickenthigh,August 2019,138.5,117.9,0,8.06
30,chickenthigh,September 2019,137.5,116.9,1,10.15
31,chickenthigh,October 2019,137.9,117.2,1,7.73
32,chickenthigh,November 2019,137.7,115.0,0,10.06
33,chickenthigh,December 2019,137.8,114.5,1,7.39
34,chickenthigh,January 2020,138.0,114.6,1,10.82
35,chickenthigh,February 2020,138.7,112.2,1,10.93
36,chickenthigh,March 2020,137.9,91.3,0,8.5
37,chickenthigh,April 2020,137.3,77.8,1,10.62
38,chickenthigh,May 2020,137.5,91.4,1,10.05
39,chickenthigh,June 2020,138.6,101.0,0,10.26
40,chickenthigh,July 2020,138.8,105.5,1,10.1
41,chickenthigh,August 2020,138.6,104.6,0,9.98
42,chickenthigh,September 2020,138.3,104.1,1,8.96
43,chickenthigh,October 2020,138.9,102.6,1,9.06
44,chickenthigh,November 2020,139.0,101.1,0,11.27
45,chickenthigh,December 2020,138.8,104.4,1,8.75
46,chickenthigh,January 2021,139.5,111.0,1,10.44
47,chickenthigh,February 2021,140.2,118.2,1,11.06
48,chickenthigh,March 2021,141.0,125.0,0,8.85
49,chickenthigh,April 2021,141.8,127.5,1,10.87
50,chickenthigh,May 2021,142.6,131.5,1,8.87
51,chickenthigh,June 2021,143.1,133.7,0,9.92
52,chickenthigh,July 2021,143.7,138.4,1,8.98
53,chickenthigh,August 2021,144.1,139.0,0,9.96
54,chickenthigh,September 2021,144.4,138.9,1,9.83
55,chickenthigh,October 2021,145.7,146.0,1,11.86
56,chickenthigh,November 2021,146.0,145.8,0,9.17
57,chickenthigh,December 2021,146.0,140.0,1,11.96
58,chickenthigh,January 2022,147.4,146.6,1,10.12
59,chickenthigh,February 2022,148.8,156.8,1,10.64
60,chickenthigh,March 2022,150.8,175.2,0,10.44
61,chickenthigh,April 2022,151.6,173.8,1,12.73
62,chickenthigh,May 2022,153.7,194.8,1,12.12
63,chickenthigh,June 2022,154.4,207.2,0,10.34
64,chickenthigh,July 2022,154.6,187.8,1,11.74
65,chickenthigh,August 2022,154.1,169.6,0,12.62
66,chickenthigh,September 2022,154.1,156.4,1,12.84
67,chickenthigh,October 2022,155.2,171.5,1,12.56
68,chickenthigh,November 2022,155.4,165.3,0,12.58
69,chickenthigh,December 2022,154.8,143.6,1,11.93
70,chickenthigh,January 2023,155.7,150.3,1,12.73
71,chickenthigh,February 2023,156.4,148.5,1,10.85
72,chickenthigh,March 2023,157.3,150.3,0,13.14
73,chickenthigh,April 2023,157.9,160.1,1,13.33
74,chickenthigh,May 2023,158.5,158.8,1,12.81
75,chickenthigh,June 2023,158.4,161.6,0,13.58
76,chickenthigh,July 2023,159.6,163.1,1,12.44
77,chickenthigh,August 2023,159.9,170.6,0,13.44
78,chickenthigh,September 2023,159.7,168.3,1,13.72
79,chickenthigh,October 2023,160.3,157.4,1,13.32
80,chickenthigh,November 2023,160.6,152.2,0,10.95
81,chickenthigh,December 2023,160.0,145.4,1,12.46
82,chickenthigh,January 2024,159.9,144.1,1,12.66
83,chickenthigh,February 2024,160.2,149.9,1,11.8
84,chickenthigh,March 2024,161.4,157.3,0,9.89
85,chickenthigh,April 2024,162.2,169.8,1,11.97
86,chickenthigh,May 2024,163.2,167.6,1,10.74
87,chickenthigh,June 2024,163.1,162.4,0,8.72
88,chickenthigh,July 2024,163.9,166.5,1,10.81
89,chickenthigh,August 2024,163.3,162.1,0,8.86
90,chickenthigh,September 2024,162.8,150.3,1,11.04
91,chickenthigh,October 2024,163.5,151.6,1,12.47
92,chickenthigh,November 2024,163.5,151.4,0,11.3
93,chickenthigh,December 2024,162.7,150.5,1,11.95
94,chickenthigh,January 2025,162.6,156.7,1,12.28
95,chickenthigh,February 2025,164.6,157.7,1,11.12
96,chickenthigh,March 2025,165.1,154.8,0,10.01
97,chickenthigh,April 2025,164.8,139.2,1,12.69
98,chickenthigh,May 2025,165.9,141.7,1,12.93
99,chickenthigh,June 2025,166.0,140.7,0,10.59
100,chickenthigh,July 2025,166.5,139.6,1,12.25
101,chickenthigh,August 2025,166.0,141.6,0,11.82
