Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cookiesandsweetbiscuits,April 2017,132.0,116.1,1,2.29
2,cookiesandsweetbiscuits,May 2017,131.9,110.9,1,2.27
3,cookiesandsweetbiscuits,June 2017,132.1,106.5,0,2.21
4,cookiesandsweetbiscuits,July 2017,131.9,107.0,1,2.36
5,cookiesandsweetbiscuits,August 2017,131.8,109.7,0,2.24
6,cookiesandsweetbiscuits,September 2017,132.3,116.0,1,2.24
7,cookiesandsweetbiscuits,October 2017,132.3,112.4,1,2.29
8,cookiesandsweetbiscuits,November 2017,132.7,120.8,0,2.36
9,cookiesandsweetbiscuits,December 2017,132.0,116.9,1,2.16
10,cookiesandsweetbiscuits,January 2018,133.2,120.6,1,2.26
11,cookiesandsweetbiscuits,February 2018,134.0,119.7,1,2.32
12,cookiesandsweetbiscuits,March 2018,134.6,123.1,0,2.27
13,cookiesandsweetbiscuits,April 2018,134.8,131.6,1,2.41
14,cookiesandsweetbiscuits,May 2018,134.9,135.9,1,2.4
15,cookiesandsweetbiscuits,June 2018,135.3,132.9,0,2.45
16,cookiesandsweetbiscuits,July 2018,136.0,133.9,1,2.48
17,cookiesandsweetbiscuits,August 2018,135.9,131.8,0,2.49
18,cookiesandsweetbiscuits,September 2018,135.2,130.4,1,2.43
19,cookiesandsweetbiscuits,October 2018,135.6,125.9,1,2.64
20,cookiesandsweetbiscuits,November 2018,135.1,113.8,0,2.67
21,cookiesandsweetbiscuits,December 2018,135.0,106.4,1,2.58
22,cookiesandsweetbiscuits,January 2019,135.2,103.1,1,2.66
23,cookiesandsweetbiscuits,February 2019,136.0,105.1,1,2.67
24,cookiesandsweetbiscuits,March 2019,137.0,117.7,0,2.46
25,cookiesandsweetbiscuits,April 2019,137.4,129.5,1,2.46
26,cookiesandsweetbiscuits,May 2019,138.1,130.7,1,2.52
27,cookiesandsweetbiscuits,June 2019,138.0,119.9,0,2.51
28,cookiesandsweetbiscuits,July 2019,138.8,124.4,1,2.81
29,cookiesandsweetbiscuits,August 2019,138.5,117.9,0,2.63
30,cookiesandsweetbiscuits,September 2019,137.5,116.9,1,2.49
31,cookiesandsweetbiscuits,October 2019,137.9,117.2,1,2.54
32,cookiesandsweetbiscuits,November 2019,137.7,115.0,0,2.49
33,cookiesandsweetbiscuits,December 2019,137.8,114.5,1,2.45
34,cookiesandsweetbiscuits,January 2020,138.0,114.6,1,2.47
35,cookiesandsweetbiscuits,February 2020,138.7,112.2,1,2.56
36,cookiesandsweetbiscuits,March 2020,137.9,91.3,0,2.54
37,cookiesandsweetbiscuits,April 2020,137.3,77.8,1,2.63
38,cookiesandsweetbiscuits,May 2020,137.5,91.4,1,2.73
39,cookiesandsweetbiscuits,June 2020,138.6,101.0,0,2.75
40,cookiesandsweetbiscuits,July 2020,138.8,105.5,1,2.62
41,cookiesandsweetbiscuits,August 2020,138.6,104.6,0,2.67
42,cookiesandsweetbiscuits,September 2020,138.3,104.1,1,2.66
43,cookiesandsweetbiscuits,October 2020,138.9,102.6,1,2.68
44,cookiesandsweetbiscuits,November 2020,139.0,101.1,0,2.58
45,cookiesandsweetbiscuits,December 2020,138.8,104.4,1,2.7
46,cookiesandsweetbiscuits,January 2021,139.5,111.0,1,2.68
47,cookiesandsweetbiscuits,February 2021,140.2,118.2,1,2.73
48,cookiesandsweetbiscuits,March 2021,141.0,125.0,0,2.61
49,cookiesandsweetbiscuits,April 2021,141.8,127.5,1,2.58
50,cookiesandsweetbiscuits,May 2021,142.6,131.5,1,2.66
51,cookiesandsweetbiscuits,June 2021,143.1,133.7,0,2.59
52,cookiesandsweetbiscuits,July 2021,143.7,138.4,1,2.64
