Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,crackersandcrispbreads,April 2017,132.0,116.1,1,2.32
2,crackersandcrispbreads,May 2017,131.9,110.9,1,2.33
3,crackersandcrispbreads,June 2017,132.1,106.5,0,2.19
4,crackersandcrispbreads,July 2017,131.9,107.0,1,2.3
5,crackersandcrispbreads,August 2017,131.8,109.7,0,2.3
6,crackersandcrispbreads,September 2017,132.3,116.0,1,2.23
7,crackersandcrispbreads,October 2017,132.3,112.4,1,2.29
8,crackersandcrispbreads,November 2017,132.7,120.8,0,2.29
9,crackersandcrispbreads,December 2017,132.0,116.9,1,2.13
10,crackersandcrispbreads,January 2018,133.2,120.6,1,2.31
11,crackersandcrispbreads,February 2018,134.0,119.7,1,2.34
12,crackersandcrispbreads,March 2018,134.6,123.1,0,2.11
13,crackersandcrispbreads,April 2018,134.8,131.6,1,2.41
14,crackersandcrispbreads,May 2018,134.9,135.9,1,2.29
15,crackersandcrispbreads,June 2018,135.3,132.9,0,2.29
16,crackersandcrispbreads,July 2018,136.0,133.9,1,2.38
17,crackersandcrispbreads,August 2018,135.9,131.8,0,2.33
18,crackersandcrispbreads,September 2018,135.2,130.4,1,2.31
19,crackersandcrispbreads,October 2018,135.6,125.9,1,2.43
20,crackersandcrispbreads,November 2018,135.1,113.8,0,2.44
21,crackersandcrispbreads,December 2018,135.0,106.4,1,2.28
22,crackersandcrispbreads,January 2019,135.2,103.1,1,2.53
23,crackersandcrispbreads,February 2019,136.0,105.1,1,2.48
24,crackersandcrispbreads,March 2019,137.0,117.7,0,2.31
25,crackersandcrispbreads,April 2019,137.4,129.5,1,2.28
26,crackersandcrispbreads,May 2019,138.1,130.7,1,2.5
27,crackersandcrispbreads,June 2019,138.0,119.9,0,2.37
28,crackersandcrispbreads,July 2019,138.8,124.4,1,2.52
29,crackersandcrispbreads,August 2019,138.5,117.9,0,2.41
30,crackersandcrispbreads,September 2019,137.5,116.9,1,2.33
31,crackersandcrispbreads,October 2019,137.9,117.2,1,2.28
32,crackersandcrispbreads,November 2019,137.7,115.0,0,2.36
33,crackersandcrispbreads,December 2019,137.8,114.5,1,2.18
34,crackersandcrispbreads,January 2020,138.0,114.6,1,2.38
35,crackersandcrispbreads,February 2020,138.7,112.2,1,2.37
36,crackersandcrispbreads,March 2020,137.9,91.3,0,2.24
37,crackersandcrispbreads,April 2020,137.3,77.8,1,2.39
38,crackersandcrispbreads,May 2020,137.5,91.4,1,2.42
39,crackersandcrispbreads,June 2020,138.6,101.0,0,2.42
40,crackersandcrispbreads,July 2020,138.8,105.5,1,2.4
41,crackersandcrispbreads,August 2020,138.6,104.6,0,2.38
42,crackersandcrispbreads,September 2020,138.3,104.1,1,2.4
43,crackersandcrispbreads,October 2020,138.9,102.6,1,2.44
44,crackersandcrispbreads,November 2020,139.0,101.1,0,2.38
45,crackersandcrispbreads,December 2020,138.8,104.4,1,2.26
46,crackersandcrispbreads,January 2021,139.5,111.0,1,2.43
47,crackersandcrispbreads,February 2021,140.2,118.2,1,2.41
48,crackersandcrispbreads,March 2021,141.0,125.0,0,2.25
49,crackersandcrispbreads,April 2021,141.8,127.5,1,2.38
50,crackersandcrispbreads,May 2021,142.6,131.5,1,2.37
51,crackersandcrispbreads,June 2021,143.1,133.7,0,2.36
52,crackersandcrispbreads,July 2021,143.7,138.4,1,2.42
53,crackersandcrispbreads,August 2021,144.1,139.0,0,2.42
54,crackersandcrispbreads,September 2021,144.4,138.9,1,2.35
55,crackersandcrispbreads,October 2021,145.7,146.0,1,2.38
56,crackersandcrispbreads,November 2021,146.0,145.8,0,2.43
57,crackersandcrispbreads,December 2021,146.0,140.0,1,2.55
58,crackersandcrispbreads,January 2022,147.4,146.6,1,2.65
59,crackersandcrispbreads,February 2022,148.8,156.8,1,2.55
60,crackersandcrispbreads,March 2022,150.8,175.2,0,2.63
61,crackersandcrispbreads,April 2022,151.6,173.8,1,2.56
62,crackersandcrispbreads,May 2022,153.7,194.8,1,2.61
63,crackersandcrispbreads,June 2022,154.4,207.2,0,2.56
64,crackersandcrispbreads,July 2022,154.6,187.8,1,2.66
65,crackersandcrispbreads,August 2022,154.1,169.6,0,2.66
66,crackersandcrispbreads,September 2022,154.1,156.4,1,2.62
67,crackersandcrispbreads,October 2022,155.2,171.5,1,2.64
68,crackersandcrispbreads,November 2022,155.4,165.3,0,2.84
69,crackersandcrispbreads,December 2022,154.8,143.6,1,2.83
70,crackersandcrispbreads,January 2023,155.7,150.3,1,2.91
71,crackersandcrispbreads,February 2023,156.4,148.5,1,2.95
72,crackersandcrispbreads,March 2023,157.3,150.3,0,2.91
73,crackersandcrispbreads,April 2023,157.9,160.1,1,2.92
74,crackersandcrispbreads,May 2023,158.5,158.8,1,2.89
75,crackersandcrispbreads,June 2023,158.4,161.6,0,2.88
76,crackersandcrispbreads,July 2023,159.6,163.1,1,2.94
77,crackersandcrispbreads,August 2023,159.9,170.6,0,2.94
78,crackersandcrispbreads,September 2023,159.7,168.3,1,2.84
79,crackersandcrispbreads,October 2023,160.3,157.4,1,2.68
80,crackersandcrispbreads,November 2023,160.6,152.2,0,2.78
81,crackersandcrispbreads,December 2023,160.0,145.4,1,2.65
82,crackersandcrispbreads,January 2024,159.9,144.1,1,2.77
83,crackersandcrispbreads,February 2024,160.2,149.9,1,2.79
84,crackersandcrispbreads,March 2024,161.4,157.3,0,2.83
85,crackersandcrispbreads,April 2024,162.2,169.8,1,2.79
86,crackersandcrispbreads,May 2024,163.2,167.6,1,2.51
