Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cream,April 2017,132.0,116.1,1,2.95
2,cream,May 2017,131.9,110.9,1,3.47
3,cream,June 2017,132.1,106.5,0,3.37
4,cream,July 2017,131.9,107.0,1,3.55
5,cream,August 2017,131.8,109.7,0,3.38
6,cream,September 2017,132.3,116.0,1,3.36
7,cream,October 2017,132.3,112.4,1,3.08
8,cream,November 2017,132.7,120.8,0,3.45
9,cream,December 2017,132.0,116.9,1,3.07
10,cream,January 2018,133.2,120.6,1,3.57
11,cream,February 2018,134.0,119.7,1,3.52
12,cream,March 2018,134.6,123.1,0,3.14
13,cream,April 2018,134.8,131.6,1,3.33
14,cream,May 2018,134.9,135.9,1,3.34
15,cream,June 2018,135.3,132.9,0,3.24
16,cream,July 2018,136.0,133.9,1,3.49
17,cream,August 2018,135.9,131.8,0,3.65
18,cream,September 2018,135.2,130.4,1,3.61
19,cream,October 2018,135.6,125.9,1,3.51
20,cream,November 2018,135.1,113.8,0,3.53
21,cream,December 2018,135.0,106.4,1,3.5
22,cream,January 2019,135.2,103.1,1,3.75
23,cream,February 2019,136.0,105.1,1,3.86
24,cream,March 2019,137.0,117.7,0,3.46
25,cream,April 2019,137.4,129.5,1,3.17
26,cream,May 2019,138.1,130.7,1,3.43
27,cream,June 2019,138.0,119.9,0,3.51
28,cream,July 2019,138.8,124.4,1,3.73
29,cream,August 2019,138.5,117.9,0,3.87
30,cream,September 2019,137.5,116.9,1,3.82
31,cream,October 2019,137.9,117.2,1,3.21
32,cream,November 2019,137.7,115.0,0,3.64
33,cream,December 2019,137.8,114.5,1,3.45
34,cream,January 2020,138.0,114.6,1,3.78
35,cream,February 2020,138.7,112.2,1,3.89
36,cream,March 2020,137.9,91.3,0,3.72
37,cream,April 2020,137.3,77.8,1,3.59
38,cream,May 2020,137.5,91.4,1,3.48
39,cream,June 2020,138.6,101.0,0,3.69
40,cream,July 2020,138.8,105.5,1,3.58
41,cream,August 2020,138.6,104.6,0,3.64
42,cream,September 2020,138.3,104.1,1,3.52
43,cream,October 2020,138.9,102.6,1,3.44
44,cream,November 2020,139.0,101.1,0,3.47
45,cream,December 2020,138.8,104.4,1,3.45
46,cream,January 2021,139.5,111.0,1,3.73
47,cream,February 2021,140.2,118.2,1,3.92
48,cream,March 2021,141.0,125.0,0,3.89
49,cream,April 2021,141.8,127.5,1,3.75
50,cream,May 2021,142.6,131.5,1,3.84
51,cream,June 2021,143.1,133.7,0,3.73
52,cream,July 2021,143.7,138.4,1,3.99
53,cream,August 2021,144.1,139.0,0,4.04
54,cream,September 2021,144.4,138.9,1,3.86
55,cream,October 2021,145.7,146.0,1,3.63
56,cream,November 2021,146.0,145.8,0,3.64
57,cream,December 2021,146.0,140.0,1,3.72
58,cream,January 2022,147.4,146.6,1,3.77
59,cream,February 2022,148.8,156.8,1,4.02
60,cream,March 2022,150.8,175.2,0,4.28
61,cream,April 2022,151.6,173.8,1,3.85
62,cream,May 2022,153.7,194.8,1,4.16
63,cream,June 2022,154.4,207.2,0,4.06
64,cream,July 2022,154.6,187.8,1,4.33
65,cream,August 2022,154.1,169.6,0,4.34
66,cream,September 2022,154.1,156.4,1,4.12
67,cream,October 2022,155.2,171.5,1,3.63
68,cream,November 2022,155.4,165.3,0,4.0
69,cream,December 2022,154.8,143.6,1,3.63
70,cream,January 2023,155.7,150.3,1,4.23
71,cream,February 2023,156.4,148.5,1,4.44
72,cream,March 2023,157.3,150.3,0,4.29
73,cream,April 2023,157.9,160.1,1,4.17
74,cream,May 2023,158.5,158.8,1,4.51
75,cream,June 2023,158.4,161.6,0,4.62
76,cream,July 2023,159.6,163.1,1,4.58
77,cream,August 2023,159.9,170.6,0,4.76
78,cream,September 2023,159.7,168.3,1,4.34
79,cream,October 2023,160.3,157.4,1,4.31
80,cream,November 2023,160.6,152.2,0,4.21
81,cream,December 2023,160.0,145.4,1,4.17
82,cream,January 2024,159.9,144.1,1,4.21
83,cream,February 2024,160.2,149.9,1,4.18
84,cream,March 2024,161.4,157.3,0,3.96
85,cream,April 2024,162.2,169.8,1,4.29
86,cream,May 2024,163.2,167.6,1,4.31
87,cream,June 2024,163.1,162.4,0,4.41
88,cream,July 2024,163.9,166.5,1,4.53
89,cream,August 2024,163.3,162.1,0,4.51
90,cream,September 2024,162.8,150.3,1,4.44
91,cream,October 2024,163.5,151.6,1,4.3
92,cream,November 2024,163.5,151.4,0,4.31
93,cream,December 2024,162.7,150.5,1,4.15
94,cream,January 2025,162.6,156.7,1,4.43
95,cream,February 2025,164.6,157.7,1,4.49
96,cream,March 2025,165.1,154.8,0,4.52
97,cream,April 2025,164.8,139.2,1,4.16
98,cream,May 2025,165.9,141.7,1,4.62
99,cream,June 2025,166.0,140.7,0,4.57
100,cream,July 2025,166.5,139.6,1,4.52
101,cream,August 2025,166.0,141.6,0,4.62
