Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,cucumber,April 2017,132.0,116.1,1,1.03
2,cucumber,May 2017,131.9,110.9,1,0.99
3,cucumber,June 2017,132.1,106.5,0,1.0
4,cucumber,July 2017,131.9,107.0,1,1.05
5,cucumber,August 2017,131.8,109.7,0,1.02
6,cucumber,September 2017,132.3,116.0,1,1.1
7,cucumber,October 2017,132.3,112.4,1,1.21
8,cucumber,November 2017,132.7,120.8,0,1.55
9,cucumber,December 2017,132.0,116.9,1,1.66
10,cucumber,January 2018,133.2,120.6,1,1.61
11,cucumber,February 2018,134.0,119.7,1,1.43
12,cucumber,March 2018,134.6,123.1,0,1.23
13,cucumber,April 2018,134.8,131.6,1,1.01
14,cucumber,May 2018,134.9,135.9,1,1.14
15,cucumber,June 2018,135.3,132.9,0,1.09
16,cucumber,July 2018,136.0,133.9,1,1.19
17,cucumber,August 2018,135.9,131.8,0,1.14
18,cucumber,September 2018,135.2,130.4,1,1.25
19,cucumber,October 2018,135.6,125.9,1,1.55
20,cucumber,November 2018,135.1,113.8,0,1.72
21,cucumber,December 2018,135.0,106.4,1,1.66
22,cucumber,January 2019,135.2,103.1,1,1.73
23,cucumber,February 2019,136.0,105.1,1,1.71
24,cucumber,March 2019,137.0,117.7,0,1.26
25,cucumber,April 2019,137.4,129.5,1,1.08
26,cucumber,May 2019,138.1,130.7,1,1.19
27,cucumber,June 2019,138.0,119.9,0,1.2
28,cucumber,July 2019,138.8,124.4,1,1.21
29,cucumber,August 2019,138.5,117.9,0,1.35
30,cucumber,September 2019,137.5,116.9,1,1.47
31,cucumber,October 2019,137.9,117.2,1,1.6
32,cucumber,November 2019,137.7,115.0,0,1.72
33,cucumber,December 2019,137.8,114.5,1,1.89
34,cucumber,January 2020,138.0,114.6,1,1.87
35,cucumber,February 2020,138.7,112.2,1,1.59
36,cucumber,March 2020,137.9,91.3,0,1.37
37,cucumber,April 2020,137.3,77.8,1,1.22
38,cucumber,May 2020,137.5,91.4,1,1.21
39,cucumber,June 2020,138.6,101.0,0,1.23
40,cucumber,July 2020,138.8,105.5,1,1.27
41,cucumber,August 2020,138.6,104.6,0,1.37
42,cucumber,September 2020,138.3,104.1,1,1.43
43,cucumber,October 2020,138.9,102.6,1,1.56
44,cucumber,November 2020,139.0,101.1,0,1.66
45,cucumber,December 2020,138.8,104.4,1,1.56
46,cucumber,January 2021,139.5,111.0,1,1.75
47,cucumber,February 2021,140.2,118.2,1,1.64
48,cucumber,March 2021,141.0,125.0,0,1.28
49,cucumber,April 2021,141.8,127.5,1,1.16
50,cucumber,May 2021,142.6,131.5,1,1.2
51,cucumber,June 2021,143.1,133.7,0,1.35
52,cucumber,July 2021,143.7,138.4,1,1.41
53,cucumber,August 2021,144.1,139.0,0,1.41
54,cucumber,September 2021,144.4,138.9,1,1.42
55,cucumber,October 2021,145.7,146.0,1,1.63
56,cucumber,November 2021,146.0,145.8,0,1.86
57,cucumber,December 2021,146.0,140.0,1,1.82
58,cucumber,January 2022,147.4,146.6,1,1.9
59,cucumber,February 2022,148.8,156.8,1,1.82
60,cucumber,March 2022,150.8,175.2,0,1.31
61,cucumber,April 2022,151.6,173.8,1,1.21
62,cucumber,May 2022,153.7,194.8,1,1.23
63,cucumber,June 2022,154.4,207.2,0,1.25
64,cucumber,July 2022,154.6,187.8,1,1.25
65,cucumber,August 2022,154.1,169.6,0,1.31
66,cucumber,September 2022,154.1,156.4,1,1.46
67,cucumber,October 2022,155.2,171.5,1,1.7
68,cucumber,November 2022,155.4,165.3,0,1.57
69,cucumber,December 2022,154.8,143.6,1,1.79
70,cucumber,January 2023,155.7,150.3,1,1.96
71,cucumber,February 2023,156.4,148.5,1,2.19
72,cucumber,March 2023,157.3,150.3,0,1.58
73,cucumber,April 2023,157.9,160.1,1,1.4
74,cucumber,May 2023,158.5,158.8,1,1.31
75,cucumber,June 2023,158.4,161.6,0,1.29
76,cucumber,July 2023,159.6,163.1,1,1.37
77,cucumber,August 2023,159.9,170.6,0,1.45
78,cucumber,September 2023,159.7,168.3,1,1.57
79,cucumber,October 2023,160.3,157.4,1,1.72
80,cucumber,November 2023,160.6,152.2,0,1.66
81,cucumber,December 2023,160.0,145.4,1,1.72
82,cucumber,January 2024,159.9,144.1,1,1.99
83,cucumber,February 2024,160.2,149.9,1,1.81
84,cucumber,March 2024,161.4,157.3,0,1.53
85,cucumber,April 2024,162.2,169.8,1,1.43
86,cucumber,May 2024,163.2,167.6,1,1.14
87,cucumber,June 2024,163.1,162.4,0,1.32
88,cucumber,July 2024,163.9,166.5,1,1.3
89,cucumber,August 2024,163.3,162.1,0,1.5
90,cucumber,September 2024,162.8,150.3,1,1.63
91,cucumber,October 2024,163.5,151.6,1,1.64
92,cucumber,November 2024,163.5,151.4,0,1.71
93,cucumber,December 2024,162.7,150.5,1,1.83
94,cucumber,January 2025,162.6,156.7,1,1.87
95,cucumber,February 2025,164.6,157.7,1,1.76
96,cucumber,March 2025,165.1,154.8,0,1.36
97,cucumber,April 2025,164.8,139.2,1,1.22
98,cucumber,May 2025,165.9,141.7,1,1.26
99,cucumber,June 2025,166.0,140.7,0,1.23
100,cucumber,July 2025,166.5,139.6,1,1.27
101,cucumber,August 2025,166.0,141.6,0,1.45
