Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,deodorant,April 2017,132.0,116.1,1,4.86
2,deodorant,May 2017,131.9,110.9,1,4.73
3,deodorant,June 2017,132.1,106.5,0,4.81
4,deodorant,July 2017,131.9,107.0,1,4.67
5,deodorant,August 2017,131.8,109.7,0,4.55
6,deodorant,September 2017,132.3,116.0,1,4.31
7,deodorant,October 2017,132.3,112.4,1,4.78
8,deodorant,November 2017,132.7,120.8,0,4.56
9,deodorant,December 2017,132.0,116.9,1,4.8
10,deodorant,January 2018,133.2,120.6,1,4.82
11,deodorant,February 2018,134.0,119.7,1,4.74
12,deodorant,March 2018,134.6,123.1,0,4.79
13,deodorant,April 2018,134.8,131.6,1,4.72
14,deodorant,May 2018,134.9,135.9,1,4.71
15,deodorant,June 2018,135.3,132.9,0,4.69
16,deodorant,July 2018,136.0,133.9,1,4.91
17,deodorant,August 2018,135.9,131.8,0,4.79
18,deodorant,September 2018,135.2,130.4,1,4.74
19,deodorant,October 2018,135.6,125.9,1,4.74
20,deodorant,November 2018,135.1,113.8,0,4.56
21,deodorant,December 2018,135.0,106.4,1,4.85
22,deodorant,January 2019,135.2,103.1,1,4.86
23,deodorant,February 2019,136.0,105.1,1,4.73
24,deodorant,March 2019,137.0,117.7,0,4.85
25,deodorant,April 2019,137.4,129.5,1,4.94
26,deodorant,May 2019,138.1,130.7,1,4.96
27,deodorant,June 2019,138.0,119.9,0,4.89
28,deodorant,July 2019,138.8,124.4,1,5.0
29,deodorant,August 2019,138.5,117.9,0,4.9
30,deodorant,September 2019,137.5,116.9,1,4.76
31,deodorant,October 2019,137.9,117.2,1,4.69
32,deodorant,November 2019,137.7,115.0,0,4.86
33,deodorant,December 2019,137.8,114.5,1,4.73
34,deodorant,January 2020,138.0,114.6,1,5.14
35,deodorant,February 2020,138.7,112.2,1,4.81
36,deodorant,March 2020,137.9,91.3,0,5.15
37,deodorant,April 2020,137.3,77.8,1,5.28
38,deodorant,May 2020,137.5,91.4,1,4.96
39,deodorant,June 2020,138.6,101.0,0,4.89
40,deodorant,July 2020,138.8,105.5,1,5.15
41,deodorant,August 2020,138.6,104.6,0,4.81
42,deodorant,September 2020,138.3,104.1,1,4.97
43,deodorant,October 2020,138.9,102.6,1,5.08
44,deodorant,November 2020,139.0,101.1,0,5.06
45,deodorant,December 2020,138.8,104.4,1,5.06
46,deodorant,January 2021,139.5,111.0,1,5.14
47,deodorant,February 2021,140.2,118.2,1,4.99
48,deodorant,March 2021,141.0,125.0,0,5.23
49,deodorant,April 2021,141.8,127.5,1,5.37
50,deodorant,May 2021,142.6,131.5,1,5.36
51,deodorant,June 2021,143.1,133.7,0,5.08
52,deodorant,July 2021,143.7,138.4,1,5.36
53,deodorant,August 2021,144.1,139.0,0,5.41
54,deodorant,September 2021,144.4,138.9,1,5.61
55,deodorant,October 2021,145.7,146.0,1,5.84
56,deodorant,November 2021,146.0,145.8,0,5.81
57,deodorant,December 2021,146.0,140.0,1,5.94
58,deodorant,January 2022,147.4,146.6,1,5.95
59,deodorant,February 2022,148.8,156.8,1,5.62
60,deodorant,March 2022,150.8,175.2,0,6.05
61,deodorant,April 2022,151.6,173.8,1,6.32
62,deodorant,May 2022,153.7,194.8,1,6.46
63,deodorant,June 2022,154.4,207.2,0,6.22
64,deodorant,July 2022,154.6,187.8,1,6.42
65,deodorant,August 2022,154.1,169.6,0,6.1
66,deodorant,September 2022,154.1,156.4,1,6.42
67,deodorant,October 2022,155.2,171.5,1,6.4
68,deodorant,November 2022,155.4,165.3,0,6.54
69,deodorant,December 2022,154.8,143.6,1,6.7
70,deodorant,January 2023,155.7,150.3,1,6.69
71,deodorant,February 2023,156.4,148.5,1,6.67
72,deodorant,March 2023,157.3,150.3,0,7.07
73,deodorant,April 2023,157.9,160.1,1,7.47
74,deodorant,May 2023,158.5,158.8,1,7.36
75,deodorant,June 2023,158.4,161.6,0,7.45
76,deodorant,July 2023,159.6,163.1,1,7.27
77,deodorant,August 2023,159.9,170.6,0,7.29
78,deodorant,September 2023,159.7,168.3,1,7.35
79,deodorant,October 2023,160.3,157.4,1,7.03
80,deodorant,November 2023,160.6,152.2,0,7.2
81,deodorant,December 2023,160.0,145.4,1,7.42
82,deodorant,January 2024,159.9,144.1,1,7.46
83,deodorant,February 2024,160.2,149.9,1,7.23
84,deodorant,March 2024,161.4,157.3,0,7.09
85,deodorant,April 2024,162.2,169.8,1,7.32
86,deodorant,May 2024,163.2,167.6,1,7.36
87,deodorant,June 2024,163.1,162.4,0,7.6
88,deodorant,July 2024,163.9,166.5,1,7.52
89,deodorant,August 2024,163.3,162.1,0,7.58
90,deodorant,September 2024,162.8,150.3,1,7.61
91,deodorant,October 2024,163.5,151.6,1,7.64
92,deodorant,November 2024,163.5,151.4,0,7.34
93,deodorant,December 2024,162.7,150.5,1,7.58
94,deodorant,January 2025,162.6,156.7,1,7.58
95,deodorant,February 2025,164.6,157.7,1,7.67
96,deodorant,March 2025,165.1,154.8,0,7.42
97,deodorant,April 2025,164.8,139.2,1,7.59
98,deodorant,May 2025,165.9,141.7,1,7.71
99,deodorant,June 2025,166.0,140.7,0,8.09
100,deodorant,July 2025,166.5,139.6,1,8.01
101,deodorant,August 2025,166.0,141.6,0,7.12
