Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,driedlentils,April 2017,132.0,116.1,1,2.95
2,driedlentils,May 2017,131.9,110.9,1,3.02
3,driedlentils,June 2017,132.1,106.5,0,2.98
4,driedlentils,July 2017,131.9,107.0,1,3.01
5,driedlentils,August 2017,131.8,109.7,0,2.96
6,driedlentils,September 2017,132.3,116.0,1,2.99
7,driedlentils,October 2017,132.3,112.4,1,2.97
8,driedlentils,November 2017,132.7,120.8,0,2.98
9,driedlentils,December 2017,132.0,116.9,1,2.82
10,driedlentils,January 2018,133.2,120.6,1,3.06
11,driedlentils,February 2018,134.0,119.7,1,3.03
12,driedlentils,March 2018,134.6,123.1,0,2.94
13,driedlentils,April 2018,134.8,131.6,1,3.0
14,driedlentils,May 2018,134.9,135.9,1,2.98
15,driedlentils,June 2018,135.3,132.9,0,2.98
16,driedlentils,July 2018,136.0,133.9,1,3.0
17,driedlentils,August 2018,135.9,131.8,0,2.97
18,driedlentils,September 2018,135.2,130.4,1,2.97
19,driedlentils,October 2018,135.6,125.9,1,3.01
20,driedlentils,November 2018,135.1,113.8,0,2.96
21,driedlentils,December 2018,135.0,106.4,1,2.97
22,driedlentils,January 2019,135.2,103.1,1,3.18
23,driedlentils,February 2019,136.0,105.1,1,3.18
24,driedlentils,March 2019,137.0,117.7,0,3.02
25,driedlentils,April 2019,137.4,129.5,1,3.02
26,driedlentils,May 2019,138.1,130.7,1,3.01
27,driedlentils,June 2019,138.0,119.9,0,3.03
28,driedlentils,July 2019,138.8,124.4,1,2.88
29,driedlentils,August 2019,138.5,117.9,0,2.92
30,driedlentils,September 2019,137.5,116.9,1,2.99
31,driedlentils,October 2019,137.9,117.2,1,3.06
32,driedlentils,November 2019,137.7,115.0,0,3.09
33,driedlentils,December 2019,137.8,114.5,1,3.08
34,driedlentils,January 2020,138.0,114.6,1,3.22
35,driedlentils,February 2020,138.7,112.2,1,3.22
36,driedlentils,March 2020,137.9,91.3,0,3.09
37,driedlentils,April 2020,137.3,77.8,1,3.27
38,driedlentils,May 2020,137.5,91.4,1,3.2
39,driedlentils,June 2020,138.6,101.0,0,3.14
40,driedlentils,July 2020,138.8,105.5,1,3.0
41,driedlentils,August 2020,138.6,104.6,0,2.95
42,driedlentils,September 2020,138.3,104.1,1,3.04
43,driedlentils,October 2020,138.9,102.6,1,3.01
44,driedlentils,November 2020,139.0,101.1,0,3.09
45,driedlentils,December 2020,138.8,104.4,1,3.08
46,driedlentils,January 2021,139.5,111.0,1,3.19
47,driedlentils,February 2021,140.2,118.2,1,3.17
48,driedlentils,March 2021,141.0,125.0,0,3.12
49,driedlentils,April 2021,141.8,127.5,1,3.13
50,driedlentils,May 2021,142.6,131.5,1,3.15
51,driedlentils,June 2021,143.1,133.7,0,3.02
52,driedlentils,July 2021,143.7,138.4,1,3.08
53,driedlentils,August 2021,144.1,139.0,0,3.13
54,driedlentils,September 2021,144.4,138.9,1,3.18
55,driedlentils,October 2021,145.7,146.0,1,3.01
56,driedlentils,November 2021,146.0,145.8,0,2.95
57,driedlentils,December 2021,146.0,140.0,1,3.07
58,driedlentils,January 2022,147.4,146.6,1,3.22
59,driedlentils,February 2022,148.8,156.8,1,3.32
60,driedlentils,March 2022,150.8,175.2,0,3.32
61,driedlentils,April 2022,151.6,173.8,1,3.42
62,driedlentils,May 2022,153.7,194.8,1,3.43
63,driedlentils,June 2022,154.4,207.2,0,3.55
64,driedlentils,July 2022,154.6,187.8,1,3.67
65,driedlentils,August 2022,154.1,169.6,0,3.65
66,driedlentils,September 2022,154.1,156.4,1,3.62
67,driedlentils,October 2022,155.2,171.5,1,3.6
68,driedlentils,November 2022,155.4,165.3,0,3.6
69,driedlentils,December 2022,154.8,143.6,1,3.66
70,driedlentils,January 2023,155.7,150.3,1,3.83
71,driedlentils,February 2023,156.4,148.5,1,3.83
72,driedlentils,March 2023,157.3,150.3,0,3.7
73,driedlentils,April 2023,157.9,160.1,1,3.84
74,driedlentils,May 2023,158.5,158.8,1,3.79
75,driedlentils,June 2023,158.4,161.6,0,3.74
76,driedlentils,July 2023,159.6,163.1,1,3.81
77,driedlentils,August 2023,159.9,170.6,0,3.68
78,driedlentils,September 2023,159.7,168.3,1,3.81
79,driedlentils,October 2023,160.3,157.4,1,3.82
80,driedlentils,November 2023,160.6,152.2,0,3.91
81,driedlentils,December 2023,160.0,145.4,1,3.95
82,driedlentils,January 2024,159.9,144.1,1,3.78
83,driedlentils,February 2024,160.2,149.9,1,3.77
84,driedlentils,March 2024,161.4,157.3,0,3.69
85,driedlentils,April 2024,162.2,169.8,1,3.67
86,driedlentils,May 2024,163.2,167.6,1,3.68
87,driedlentils,June 2024,163.1,162.4,0,3.61
88,driedlentils,July 2024,163.9,166.5,1,3.74
89,driedlentils,August 2024,163.3,162.1,0,3.72
90,driedlentils,September 2024,162.8,150.3,1,3.73
91,driedlentils,October 2024,163.5,151.6,1,3.63
92,driedlentils,November 2024,163.5,151.4,0,3.65
93,driedlentils,December 2024,162.7,150.5,1,3.58
94,driedlentils,January 2025,162.6,156.7,1,3.68
95,driedlentils,February 2025,164.6,157.7,1,3.65
96,driedlentils,March 2025,165.1,154.8,0,3.65
97,driedlentils,April 2025,164.8,139.2,1,3.64
98,driedlentils,May 2025,165.9,141.7,1,3.53
99,driedlentils,June 2025,166.0,140.7,0,3.41
100,driedlentils,July 2025,166.5,139.6,1,3.34
101,driedlentils,August 2025,166.0,141.6,0,3.5
