Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,drybeansandlegumes,April 2017,132.0,116.1,1,2.72
2,drybeansandlegumes,May 2017,131.9,110.9,1,2.76
3,drybeansandlegumes,June 2017,132.1,106.5,0,2.8
4,drybeansandlegumes,July 2017,131.9,107.0,1,2.79
5,drybeansandlegumes,August 2017,131.8,109.7,0,2.77
6,drybeansandlegumes,September 2017,132.3,116.0,1,2.71
7,drybeansandlegumes,October 2017,132.3,112.4,1,2.74
8,drybeansandlegumes,November 2017,132.7,120.8,0,2.69
9,drybeansandlegumes,December 2017,132.0,116.9,1,2.57
10,drybeansandlegumes,January 2018,133.2,120.6,1,2.73
11,drybeansandlegumes,February 2018,134.0,119.7,1,2.79
12,drybeansandlegumes,March 2018,134.6,123.1,0,2.74
13,drybeansandlegumes,April 2018,134.8,131.6,1,2.71
14,drybeansandlegumes,May 2018,134.9,135.9,1,2.72
15,drybeansandlegumes,June 2018,135.3,132.9,0,2.7
16,drybeansandlegumes,July 2018,136.0,133.9,1,2.72
17,drybeansandlegumes,August 2018,135.9,131.8,0,2.68
18,drybeansandlegumes,September 2018,135.2,130.4,1,2.67
19,drybeansandlegumes,October 2018,135.6,125.9,1,2.68
20,drybeansandlegumes,November 2018,135.1,113.8,0,2.7
21,drybeansandlegumes,December 2018,135.0,106.4,1,2.68
22,drybeansandlegumes,January 2019,135.2,103.1,1,2.86
23,drybeansandlegumes,February 2019,136.0,105.1,1,2.88
24,drybeansandlegumes,March 2019,137.0,117.7,0,2.75
25,drybeansandlegumes,April 2019,137.4,129.5,1,2.76
26,drybeansandlegumes,May 2019,138.1,130.7,1,2.71
27,drybeansandlegumes,June 2019,138.0,119.9,0,2.78
28,drybeansandlegumes,July 2019,138.8,124.4,1,2.66
29,drybeansandlegumes,August 2019,138.5,117.9,0,2.63
30,drybeansandlegumes,September 2019,137.5,116.9,1,2.7
31,drybeansandlegumes,October 2019,137.9,117.2,1,2.72
32,drybeansandlegumes,November 2019,137.7,115.0,0,2.7
33,drybeansandlegumes,December 2019,137.8,114.5,1,2.67
34,drybeansandlegumes,January 2020,138.0,114.6,1,2.84
35,drybeansandlegumes,February 2020,138.7,112.2,1,2.87
36,drybeansandlegumes,March 2020,137.9,91.3,0,2.78
37,drybeansandlegumes,April 2020,137.3,77.8,1,2.92
38,drybeansandlegumes,May 2020,137.5,91.4,1,2.97
39,drybeansandlegumes,June 2020,138.6,101.0,0,2.91
40,drybeansandlegumes,July 2020,138.8,105.5,1,2.73
41,drybeansandlegumes,August 2020,138.6,104.6,0,2.7
42,drybeansandlegumes,September 2020,138.3,104.1,1,2.78
43,drybeansandlegumes,October 2020,138.9,102.6,1,2.73
44,drybeansandlegumes,November 2020,139.0,101.1,0,2.79
45,drybeansandlegumes,December 2020,138.8,104.4,1,2.89
46,drybeansandlegumes,January 2021,139.5,111.0,1,2.87
47,drybeansandlegumes,February 2021,140.2,118.2,1,2.89
48,drybeansandlegumes,March 2021,141.0,125.0,0,2.88
49,drybeansandlegumes,April 2021,141.8,127.5,1,2.86
50,drybeansandlegumes,May 2021,142.6,131.5,1,2.84
51,drybeansandlegumes,June 2021,143.1,133.7,0,2.81
52,drybeansandlegumes,July 2021,143.7,138.4,1,2.83
53,drybeansandlegumes,August 2021,144.1,139.0,0,2.87
54,drybeansandlegumes,September 2021,144.4,138.9,1,2.88
55,drybeansandlegumes,October 2021,145.7,146.0,1,2.72
56,drybeansandlegumes,November 2021,146.0,145.8,0,2.75
57,drybeansandlegumes,December 2021,146.0,140.0,1,2.94
58,drybeansandlegumes,January 2022,147.4,146.6,1,3.05
59,drybeansandlegumes,February 2022,148.8,156.8,1,3.21
60,drybeansandlegumes,March 2022,150.8,175.2,0,3.27
61,drybeansandlegumes,April 2022,151.6,173.8,1,3.28
62,drybeansandlegumes,May 2022,153.7,194.8,1,3.28
63,drybeansandlegumes,June 2022,154.4,207.2,0,3.42
64,drybeansandlegumes,July 2022,154.6,187.8,1,3.54
65,drybeansandlegumes,August 2022,154.1,169.6,0,3.48
66,drybeansandlegumes,September 2022,154.1,156.4,1,3.57
67,drybeansandlegumes,October 2022,155.2,171.5,1,3.31
68,drybeansandlegumes,November 2022,155.4,165.3,0,3.29
69,drybeansandlegumes,December 2022,154.8,143.6,1,3.57
70,drybeansandlegumes,January 2023,155.7,150.3,1,3.58
71,drybeansandlegumes,February 2023,156.4,148.5,1,3.57
72,drybeansandlegumes,March 2023,157.3,150.3,0,3.57
73,drybeansandlegumes,April 2023,157.9,160.1,1,3.58
74,drybeansandlegumes,May 2023,158.5,158.8,1,3.58
75,drybeansandlegumes,June 2023,158.4,161.6,0,3.56
76,drybeansandlegumes,July 2023,159.6,163.1,1,3.57
77,drybeansandlegumes,August 2023,159.9,170.6,0,3.54
78,drybeansandlegumes,September 2023,159.7,168.3,1,3.57
79,drybeansandlegumes,October 2023,160.3,157.4,1,3.62
80,drybeansandlegumes,November 2023,160.6,152.2,0,3.63
81,drybeansandlegumes,December 2023,160.0,145.4,1,3.67
82,drybeansandlegumes,January 2024,159.9,144.1,1,3.52
83,drybeansandlegumes,February 2024,160.2,149.9,1,3.4
84,drybeansandlegumes,March 2024,161.4,157.3,0,3.33
85,drybeansandlegumes,April 2024,162.2,169.8,1,3.32
86,drybeansandlegumes,May 2024,163.2,167.6,1,3.39
87,drybeansandlegumes,June 2024,163.1,162.4,0,3.37
88,drybeansandlegumes,July 2024,163.9,166.5,1,3.39
89,drybeansandlegumes,August 2024,163.3,162.1,0,3.43
90,drybeansandlegumes,September 2024,162.8,150.3,1,3.42
91,drybeansandlegumes,October 2024,163.5,151.6,1,3.45
92,drybeansandlegumes,November 2024,163.5,151.4,0,3.44
93,drybeansandlegumes,December 2024,162.7,150.5,1,3.43
94,drybeansandlegumes,January 2025,162.6,156.7,1,3.52
95,drybeansandlegumes,February 2025,164.6,157.7,1,3.5
96,drybeansandlegumes,March 2025,165.1,154.8,0,3.49
97,drybeansandlegumes,April 2025,164.8,139.2,1,3.52
98,drybeansandlegumes,May 2025,165.9,141.7,1,3.46
99,drybeansandlegumes,June 2025,166.0,140.7,0,3.42
100,drybeansandlegumes,July 2025,166.5,139.6,1,3.36
101,drybeansandlegumes,August 2025,166.0,141.6,0,3.55
