Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,dryorfreshpasta,April 2017,132.0,116.1,1,2.45
2,dryorfreshpasta,May 2017,131.9,110.9,1,2.34
3,dryorfreshpasta,June 2017,132.1,106.5,0,2.47
4,dryorfreshpasta,July 2017,131.9,107.0,1,2.31
5,dryorfreshpasta,August 2017,131.8,109.7,0,2.44
6,dryorfreshpasta,September 2017,132.3,116.0,1,2.4
7,dryorfreshpasta,October 2017,132.3,112.4,1,2.16
8,dryorfreshpasta,November 2017,132.7,120.8,0,2.43
9,dryorfreshpasta,December 2017,132.0,116.9,1,2.56
10,dryorfreshpasta,January 2018,133.2,120.6,1,2.25
11,dryorfreshpasta,February 2018,134.0,119.7,1,2.29
12,dryorfreshpasta,March 2018,134.6,123.1,0,2.38
13,dryorfreshpasta,April 2018,134.8,131.6,1,2.34
14,dryorfreshpasta,May 2018,134.9,135.9,1,2.26
15,dryorfreshpasta,June 2018,135.3,132.9,0,2.25
16,dryorfreshpasta,July 2018,136.0,133.9,1,2.25
17,dryorfreshpasta,August 2018,135.9,131.8,0,2.38
18,dryorfreshpasta,September 2018,135.2,130.4,1,2.43
19,dryorfreshpasta,October 2018,135.6,125.9,1,2.33
20,dryorfreshpasta,November 2018,135.1,113.8,0,2.31
21,dryorfreshpasta,December 2018,135.0,106.4,1,2.44
22,dryorfreshpasta,January 2019,135.2,103.1,1,2.28
23,dryorfreshpasta,February 2019,136.0,105.1,1,2.48
24,dryorfreshpasta,March 2019,137.0,117.7,0,2.22
25,dryorfreshpasta,April 2019,137.4,129.5,1,2.38
26,dryorfreshpasta,May 2019,138.1,130.7,1,2.5
27,dryorfreshpasta,June 2019,138.0,119.9,0,2.37
28,dryorfreshpasta,July 2019,138.8,124.4,1,2.41
29,dryorfreshpasta,August 2019,138.5,117.9,0,2.38
30,dryorfreshpasta,September 2019,137.5,116.9,1,2.34
31,dryorfreshpasta,October 2019,137.9,117.2,1,2.22
32,dryorfreshpasta,November 2019,137.7,115.0,0,2.34
33,dryorfreshpasta,December 2019,137.8,114.5,1,2.54
34,dryorfreshpasta,January 2020,138.0,114.6,1,2.36
35,dryorfreshpasta,February 2020,138.7,112.2,1,2.22
36,dryorfreshpasta,March 2020,137.9,91.3,0,2.35
37,dryorfreshpasta,April 2020,137.3,77.8,1,2.47
38,dryorfreshpasta,May 2020,137.5,91.4,1,2.68
39,dryorfreshpasta,June 2020,138.6,101.0,0,2.56
40,dryorfreshpasta,July 2020,138.8,105.5,1,2.62
41,dryorfreshpasta,August 2020,138.6,104.6,0,2.58
42,dryorfreshpasta,September 2020,138.3,104.1,1,2.52
43,dryorfreshpasta,October 2020,138.9,102.6,1,2.12
44,dryorfreshpasta,November 2020,139.0,101.1,0,2.56
45,dryorfreshpasta,December 2020,138.8,104.4,1,2.64
46,dryorfreshpasta,January 2021,139.5,111.0,1,2.6
47,dryorfreshpasta,February 2021,140.2,118.2,1,2.59
48,dryorfreshpasta,March 2021,141.0,125.0,0,2.6
49,dryorfreshpasta,April 2021,141.8,127.5,1,2.56
50,dryorfreshpasta,May 2021,142.6,131.5,1,2.56
51,dryorfreshpasta,June 2021,143.1,133.7,0,2.59
52,dryorfreshpasta,July 2021,143.7,138.4,1,2.57
53,dryorfreshpasta,August 2021,144.1,139.0,0,2.66
54,dryorfreshpasta,September 2021,144.4,138.9,1,2.69
55,dryorfreshpasta,October 2021,145.7,146.0,1,2.56
56,dryorfreshpasta,November 2021,146.0,145.8,0,2.81
57,dryorfreshpasta,December 2021,146.0,140.0,1,2.77
58,dryorfreshpasta,January 2022,147.4,146.6,1,2.92
59,dryorfreshpasta,February 2022,148.8,156.8,1,2.96
60,dryorfreshpasta,March 2022,150.8,175.2,0,3.15
61,dryorfreshpasta,April 2022,151.6,173.8,1,2.93
62,dryorfreshpasta,May 2022,153.7,194.8,1,3.01
63,dryorfreshpasta,June 2022,154.4,207.2,0,3.17
64,dryorfreshpasta,July 2022,154.6,187.8,1,3.09
65,dryorfreshpasta,August 2022,154.1,169.6,0,3.14
66,dryorfreshpasta,September 2022,154.1,156.4,1,3.27
67,dryorfreshpasta,October 2022,155.2,171.5,1,3.26
68,dryorfreshpasta,November 2022,155.4,165.3,0,3.48
69,dryorfreshpasta,December 2022,154.8,143.6,1,3.56
70,dryorfreshpasta,January 2023,155.7,150.3,1,3.57
71,dryorfreshpasta,February 2023,156.4,148.5,1,3.78
72,dryorfreshpasta,March 2023,157.3,150.3,0,3.7
73,dryorfreshpasta,April 2023,157.9,160.1,1,3.67
74,dryorfreshpasta,May 2023,158.5,158.8,1,3.54
75,dryorfreshpasta,June 2023,158.4,161.6,0,3.27
76,dryorfreshpasta,July 2023,159.6,163.1,1,3.54
77,dryorfreshpasta,August 2023,159.9,170.6,0,3.49
78,dryorfreshpasta,September 2023,159.7,168.3,1,3.37
79,dryorfreshpasta,October 2023,160.3,157.4,1,3.41
80,dryorfreshpasta,November 2023,160.6,152.2,0,3.31
81,dryorfreshpasta,December 2023,160.0,145.4,1,3.49
82,dryorfreshpasta,January 2024,159.9,144.1,1,3.17
83,dryorfreshpasta,February 2024,160.2,149.9,1,2.96
84,dryorfreshpasta,March 2024,161.4,157.3,0,3.07
85,dryorfreshpasta,April 2024,162.2,169.8,1,3.05
86,dryorfreshpasta,May 2024,163.2,167.6,1,3.35
87,dryorfreshpasta,June 2024,163.1,162.4,0,3.07
88,dryorfreshpasta,July 2024,163.9,166.5,1,3.18
89,dryorfreshpasta,August 2024,163.3,162.1,0,3.21
90,dryorfreshpasta,September 2024,162.8,150.3,1,3.02
91,dryorfreshpasta,October 2024,163.5,151.6,1,3.12
92,dryorfreshpasta,November 2024,163.5,151.4,0,3.08
93,dryorfreshpasta,December 2024,162.7,150.5,1,3.0
94,dryorfreshpasta,January 2025,162.6,156.7,1,3.06
95,dryorfreshpasta,February 2025,164.6,157.7,1,3.12
96,dryorfreshpasta,March 2025,165.1,154.8,0,3.27
97,dryorfreshpasta,April 2025,164.8,139.2,1,3.23
98,dryorfreshpasta,May 2025,165.9,141.7,1,3.26
99,dryorfreshpasta,June 2025,166.0,140.7,0,3.19
100,dryorfreshpasta,July 2025,166.5,139.6,1,3.33
101,dryorfreshpasta,August 2025,166.0,141.6,0,3.16
