Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,eggs,April 2017,132.0,116.1,1,2.73
2,eggs,May 2017,131.9,110.9,1,2.77
3,eggs,June 2017,132.1,106.5,0,2.79
4,eggs,July 2017,131.9,107.0,1,2.71
5,eggs,August 2017,131.8,109.7,0,2.75
6,eggs,September 2017,132.3,116.0,1,2.78
7,eggs,October 2017,132.3,112.4,1,2.88
8,eggs,November 2017,132.7,120.8,0,3.01
9,eggs,December 2017,132.0,116.9,1,3.05
10,eggs,January 2018,133.2,120.6,1,3.11
11,eggs,February 2018,134.0,119.7,1,3.11
12,eggs,March 2018,134.6,123.1,0,3.09
13,eggs,April 2018,134.8,131.6,1,2.92
14,eggs,May 2018,134.9,135.9,1,3.06
15,eggs,June 2018,135.3,132.9,0,3.11
16,eggs,July 2018,136.0,133.9,1,2.98
17,eggs,August 2018,135.9,131.8,0,3.12
18,eggs,September 2018,135.2,130.4,1,3.12
19,eggs,October 2018,135.6,125.9,1,3.02
20,eggs,November 2018,135.1,113.8,0,3.14
21,eggs,December 2018,135.0,106.4,1,3.17
22,eggs,January 2019,135.2,103.1,1,3.16
23,eggs,February 2019,136.0,105.1,1,3.21
24,eggs,March 2019,137.0,117.7,0,3.12
25,eggs,April 2019,137.4,129.5,1,3.2
26,eggs,May 2019,138.1,130.7,1,3.25
27,eggs,June 2019,138.0,119.9,0,3.21
28,eggs,July 2019,138.8,124.4,1,3.14
29,eggs,August 2019,138.5,117.9,0,3.16
30,eggs,September 2019,137.5,116.9,1,3.32
31,eggs,October 2019,137.9,117.2,1,3.23
32,eggs,November 2019,137.7,115.0,0,3.23
33,eggs,December 2019,137.8,114.5,1,3.44
34,eggs,January 2020,138.0,114.6,1,3.34
35,eggs,February 2020,138.7,112.2,1,3.38
36,eggs,March 2020,137.9,91.3,0,3.43
37,eggs,April 2020,137.3,77.8,1,3.53
38,eggs,May 2020,137.5,91.4,1,3.53
39,eggs,June 2020,138.6,101.0,0,3.52
40,eggs,July 2020,138.8,105.5,1,3.62
41,eggs,August 2020,138.6,104.6,0,3.68
42,eggs,September 2020,138.3,104.1,1,3.71
43,eggs,October 2020,138.9,102.6,1,3.75
44,eggs,November 2020,139.0,101.1,0,3.76
45,eggs,December 2020,138.8,104.4,1,3.75
46,eggs,January 2021,139.5,111.0,1,3.77
47,eggs,February 2021,140.2,118.2,1,3.8
48,eggs,March 2021,141.0,125.0,0,3.97
49,eggs,April 2021,141.8,127.5,1,3.97
50,eggs,May 2021,142.6,131.5,1,3.92
51,eggs,June 2021,143.1,133.7,0,3.94
52,eggs,July 2021,143.7,138.4,1,3.91
53,eggs,August 2021,144.1,139.0,0,4.06
54,eggs,September 2021,144.4,138.9,1,3.94
55,eggs,October 2021,145.7,146.0,1,4.09
56,eggs,November 2021,146.0,145.8,0,4.06
57,eggs,December 2021,146.0,140.0,1,4.06
58,eggs,January 2022,147.4,146.6,1,4.11
59,eggs,February 2022,148.8,156.8,1,4.09
60,eggs,March 2022,150.8,175.2,0,4.24
61,eggs,April 2022,151.6,173.8,1,4.33
62,eggs,May 2022,153.7,194.8,1,4.35
63,eggs,June 2022,154.4,207.2,0,4.37
64,eggs,July 2022,154.6,187.8,1,4.46
65,eggs,August 2022,154.1,169.6,0,4.53
66,eggs,September 2022,154.1,156.4,1,4.58
67,eggs,October 2022,155.2,171.5,1,4.69
68,eggs,November 2022,155.4,165.3,0,4.57
69,eggs,December 2022,154.8,143.6,1,4.56
70,eggs,January 2023,155.7,150.3,1,4.62
71,eggs,February 2023,156.4,148.5,1,4.64
72,eggs,March 2023,157.3,150.3,0,4.66
73,eggs,April 2023,157.9,160.1,1,4.67
74,eggs,May 2023,158.5,158.8,1,4.55
75,eggs,June 2023,158.4,161.6,0,4.67
76,eggs,July 2023,159.6,163.1,1,4.75
77,eggs,August 2023,159.9,170.6,0,4.75
78,eggs,September 2023,159.7,168.3,1,4.52
79,eggs,October 2023,160.3,157.4,1,4.8
80,eggs,November 2023,160.6,152.2,0,4.74
81,eggs,December 2023,160.0,145.4,1,4.85
82,eggs,January 2024,159.9,144.1,1,4.66
83,eggs,February 2024,160.2,149.9,1,4.7
84,eggs,March 2024,161.4,157.3,0,4.53
85,eggs,April 2024,162.2,169.8,1,4.76
86,eggs,May 2024,163.2,167.6,1,4.79
87,eggs,June 2024,163.1,162.4,0,4.53
88,eggs,July 2024,163.9,166.5,1,4.73
89,eggs,August 2024,163.3,162.1,0,4.82
90,eggs,September 2024,162.8,150.3,1,4.85
91,eggs,October 2024,163.5,151.6,1,4.87
92,eggs,November 2024,163.5,151.4,0,4.81
93,eggs,December 2024,162.7,150.5,1,4.8
94,eggs,January 2025,162.6,156.7,1,4.87
95,eggs,February 2025,164.6,157.7,1,4.83
96,eggs,March 2025,165.1,154.8,0,4.83
97,eggs,April 2025,164.8,139.2,1,4.82
98,eggs,May 2025,165.9,141.7,1,4.83
99,eggs,June 2025,166.0,140.7,0,4.84
100,eggs,July 2025,166.5,139.6,1,4.85
101,eggs,August 2025,166.0,141.6,0,4.85
