Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,flatbreadandpita,April 2017,132.0,116.1,1,2.44
2,flatbreadandpita,May 2017,131.9,110.9,1,2.57
3,flatbreadandpita,June 2017,132.1,106.5,0,2.6
4,flatbreadandpita,July 2017,131.9,107.0,1,2.6
5,flatbreadandpita,August 2017,131.8,109.7,0,2.68
6,flatbreadandpita,September 2017,132.3,116.0,1,2.65
7,flatbreadandpita,October 2017,132.3,112.4,1,2.6
8,flatbreadandpita,November 2017,132.7,120.8,0,2.66
9,flatbreadandpita,December 2017,132.0,116.9,1,2.62
10,flatbreadandpita,January 2018,133.2,120.6,1,2.55
11,flatbreadandpita,February 2018,134.0,119.7,1,2.27
12,flatbreadandpita,March 2018,134.6,123.1,0,2.43
13,flatbreadandpita,April 2018,134.8,131.6,1,2.45
14,flatbreadandpita,May 2018,134.9,135.9,1,2.49
15,flatbreadandpita,June 2018,135.3,132.9,0,2.58
16,flatbreadandpita,July 2018,136.0,133.9,1,2.67
17,flatbreadandpita,August 2018,135.9,131.8,0,2.57
18,flatbreadandpita,September 2018,135.2,130.4,1,2.68
19,flatbreadandpita,October 2018,135.6,125.9,1,2.55
20,flatbreadandpita,November 2018,135.1,113.8,0,2.63
21,flatbreadandpita,December 2018,135.0,106.4,1,2.72
22,flatbreadandpita,January 2019,135.2,103.1,1,2.72
23,flatbreadandpita,February 2019,136.0,105.1,1,2.6
24,flatbreadandpita,March 2019,137.0,117.7,0,2.58
25,flatbreadandpita,April 2019,137.4,129.5,1,2.63
26,flatbreadandpita,May 2019,138.1,130.7,1,2.6
27,flatbreadandpita,June 2019,138.0,119.9,0,2.56
28,flatbreadandpita,July 2019,138.8,124.4,1,2.64
29,flatbreadandpita,August 2019,138.5,117.9,0,2.56
30,flatbreadandpita,September 2019,137.5,116.9,1,2.66
31,flatbreadandpita,October 2019,137.9,117.2,1,2.48
32,flatbreadandpita,November 2019,137.7,115.0,0,2.71
33,flatbreadandpita,December 2019,137.8,114.5,1,2.81
34,flatbreadandpita,January 2020,138.0,114.6,1,2.76
35,flatbreadandpita,February 2020,138.7,112.2,1,2.67
36,flatbreadandpita,March 2020,137.9,91.3,0,2.67
37,flatbreadandpita,April 2020,137.3,77.8,1,2.68
38,flatbreadandpita,May 2020,137.5,91.4,1,2.71
39,flatbreadandpita,June 2020,138.6,101.0,0,2.57
40,flatbreadandpita,July 2020,138.8,105.5,1,2.65
41,flatbreadandpita,August 2020,138.6,104.6,0,2.83
42,flatbreadandpita,September 2020,138.3,104.1,1,2.6
43,flatbreadandpita,October 2020,138.9,102.6,1,2.6
44,flatbreadandpita,November 2020,139.0,101.1,0,2.63
45,flatbreadandpita,December 2020,138.8,104.4,1,2.86
46,flatbreadandpita,January 2021,139.5,111.0,1,2.91
47,flatbreadandpita,February 2021,140.2,118.2,1,2.72
48,flatbreadandpita,March 2021,141.0,125.0,0,2.69
49,flatbreadandpita,April 2021,141.8,127.5,1,2.75
50,flatbreadandpita,May 2021,142.6,131.5,1,2.81
51,flatbreadandpita,June 2021,143.1,133.7,0,2.7
52,flatbreadandpita,July 2021,143.7,138.4,1,2.8
53,flatbreadandpita,August 2021,144.1,139.0,0,2.88
54,flatbreadandpita,September 2021,144.4,138.9,1,2.91
55,flatbreadandpita,October 2021,145.7,146.0,1,2.79
56,flatbreadandpita,November 2021,146.0,145.8,0,2.82
57,flatbreadandpita,December 2021,146.0,140.0,1,2.96
58,flatbreadandpita,January 2022,147.4,146.6,1,3.02
59,flatbreadandpita,February 2022,148.8,156.8,1,3.07
60,flatbreadandpita,March 2022,150.8,175.2,0,3.04
61,flatbreadandpita,April 2022,151.6,173.8,1,3.15
62,flatbreadandpita,May 2022,153.7,194.8,1,3.16
63,flatbreadandpita,June 2022,154.4,207.2,0,3.17
64,flatbreadandpita,July 2022,154.6,187.8,1,3.28
65,flatbreadandpita,August 2022,154.1,169.6,0,3.4
66,flatbreadandpita,September 2022,154.1,156.4,1,3.42
67,flatbreadandpita,October 2022,155.2,171.5,1,3.45
68,flatbreadandpita,November 2022,155.4,165.3,0,3.54
69,flatbreadandpita,December 2022,154.8,143.6,1,3.65
70,flatbreadandpita,January 2023,155.7,150.3,1,3.67
71,flatbreadandpita,February 2023,156.4,148.5,1,3.8
72,flatbreadandpita,March 2023,157.3,150.3,0,3.63
73,flatbreadandpita,April 2023,157.9,160.1,1,3.79
74,flatbreadandpita,May 2023,158.5,158.8,1,3.75
75,flatbreadandpita,June 2023,158.4,161.6,0,3.9
76,flatbreadandpita,July 2023,159.6,163.1,1,4.01
77,flatbreadandpita,August 2023,159.9,170.6,0,3.84
78,flatbreadandpita,September 2023,159.7,168.3,1,3.91
79,flatbreadandpita,October 2023,160.3,157.4,1,3.76
80,flatbreadandpita,November 2023,160.6,152.2,0,3.66
81,flatbreadandpita,December 2023,160.0,145.4,1,3.88
82,flatbreadandpita,January 2024,159.9,144.1,1,3.24
83,flatbreadandpita,February 2024,160.2,149.9,1,3.12
84,flatbreadandpita,March 2024,161.4,157.3,0,3.05
85,flatbreadandpita,April 2024,162.2,169.8,1,3.1
86,flatbreadandpita,May 2024,163.2,167.6,1,3.33
87,flatbreadandpita,June 2024,163.1,162.4,0,3.31
88,flatbreadandpita,July 2024,163.9,166.5,1,3.3
89,flatbreadandpita,August 2024,163.3,162.1,0,3.26
90,flatbreadandpita,September 2024,162.8,150.3,1,3.31
91,flatbreadandpita,October 2024,163.5,151.6,1,3.12
92,flatbreadandpita,November 2024,163.5,151.4,0,3.26
93,flatbreadandpita,December 2024,162.7,150.5,1,3.29
94,flatbreadandpita,January 2025,162.6,156.7,1,3.32
95,flatbreadandpita,February 2025,164.6,157.7,1,3.41
96,flatbreadandpita,March 2025,165.1,154.8,0,3.09
97,flatbreadandpita,April 2025,164.8,139.2,1,3.18
98,flatbreadandpita,May 2025,165.9,141.7,1,3.16
99,flatbreadandpita,June 2025,166.0,140.7,0,3.13
100,flatbreadandpita,July 2025,166.5,139.6,1,3.18
101,flatbreadandpita,August 2025,166.0,141.6,0,3.17
