Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenbroccoli,April 2017,132.0,116.1,1,2.7
2,frozenbroccoli,May 2017,131.9,110.9,1,3.07
3,frozenbroccoli,June 2017,132.1,106.5,0,3.11
4,frozenbroccoli,July 2017,131.9,107.0,1,3.26
5,frozenbroccoli,August 2017,131.8,109.7,0,3.22
6,frozenbroccoli,September 2017,132.3,116.0,1,2.95
7,frozenbroccoli,October 2017,132.3,112.4,1,2.98
8,frozenbroccoli,November 2017,132.7,120.8,0,2.98
9,frozenbroccoli,December 2017,132.0,116.9,1,2.92
10,frozenbroccoli,January 2018,133.2,120.6,1,3.12
11,frozenbroccoli,February 2018,134.0,119.7,1,2.9
12,frozenbroccoli,March 2018,134.6,123.1,0,2.81
13,frozenbroccoli,April 2018,134.8,131.6,1,3.04
14,frozenbroccoli,May 2018,134.9,135.9,1,2.95
15,frozenbroccoli,June 2018,135.3,132.9,0,2.97
16,frozenbroccoli,July 2018,136.0,133.9,1,3.06
17,frozenbroccoli,August 2018,135.9,131.8,0,2.97
18,frozenbroccoli,September 2018,135.2,130.4,1,2.84
19,frozenbroccoli,October 2018,135.6,125.9,1,2.94
20,frozenbroccoli,November 2018,135.1,113.8,0,2.95
21,frozenbroccoli,December 2018,135.0,106.4,1,2.64
22,frozenbroccoli,January 2019,135.2,103.1,1,3.11
23,frozenbroccoli,February 2019,136.0,105.1,1,2.94
24,frozenbroccoli,March 2019,137.0,117.7,0,3.16
25,frozenbroccoli,April 2019,137.4,129.5,1,2.72
26,frozenbroccoli,May 2019,138.1,130.7,1,3.14
27,frozenbroccoli,June 2019,138.0,119.9,0,3.09
28,frozenbroccoli,July 2019,138.8,124.4,1,3.15
29,frozenbroccoli,August 2019,138.5,117.9,0,2.98
30,frozenbroccoli,September 2019,137.5,116.9,1,2.91
31,frozenbroccoli,October 2019,137.9,117.2,1,2.81
32,frozenbroccoli,November 2019,137.7,115.0,0,2.99
33,frozenbroccoli,December 2019,137.8,114.5,1,2.77
34,frozenbroccoli,January 2020,138.0,114.6,1,2.96
35,frozenbroccoli,February 2020,138.7,112.2,1,3.12
36,frozenbroccoli,March 2020,137.9,91.3,0,3.35
37,frozenbroccoli,April 2020,137.3,77.8,1,3.2
38,frozenbroccoli,May 2020,137.5,91.4,1,3.32
39,frozenbroccoli,June 2020,138.6,101.0,0,3.31
40,frozenbroccoli,July 2020,138.8,105.5,1,3.5
41,frozenbroccoli,August 2020,138.6,104.6,0,3.29
42,frozenbroccoli,September 2020,138.3,104.1,1,2.97
43,frozenbroccoli,October 2020,138.9,102.6,1,2.94
44,frozenbroccoli,November 2020,139.0,101.1,0,3.09
45,frozenbroccoli,December 2020,138.8,104.4,1,2.91
46,frozenbroccoli,January 2021,139.5,111.0,1,2.88
47,frozenbroccoli,February 2021,140.2,118.2,1,3.23
48,frozenbroccoli,March 2021,141.0,125.0,0,3.39
49,frozenbroccoli,April 2021,141.8,127.5,1,3.49
50,frozenbroccoli,May 2021,142.6,131.5,1,3.54
51,frozenbroccoli,June 2021,143.1,133.7,0,3.59
52,frozenbroccoli,July 2021,143.7,138.4,1,3.78
53,frozenbroccoli,August 2021,144.1,139.0,0,3.65
54,frozenbroccoli,September 2021,144.4,138.9,1,3.2
55,frozenbroccoli,October 2021,145.7,146.0,1,3.16
56,frozenbroccoli,November 2021,146.0,145.8,0,3.41
57,frozenbroccoli,December 2021,146.0,140.0,1,3.15
58,frozenbroccoli,January 2022,147.4,146.6,1,3.46
59,frozenbroccoli,February 2022,148.8,156.8,1,3.38
60,frozenbroccoli,March 2022,150.8,175.2,0,3.79
61,frozenbroccoli,April 2022,151.6,173.8,1,3.16
62,frozenbroccoli,May 2022,153.7,194.8,1,3.63
63,frozenbroccoli,June 2022,154.4,207.2,0,3.48
64,frozenbroccoli,July 2022,154.6,187.8,1,3.71
65,frozenbroccoli,August 2022,154.1,169.6,0,3.81
66,frozenbroccoli,September 2022,154.1,156.4,1,3.7
67,frozenbroccoli,October 2022,155.2,171.5,1,3.71
68,frozenbroccoli,November 2022,155.4,165.3,0,3.8
69,frozenbroccoli,December 2022,154.8,143.6,1,3.34
70,frozenbroccoli,January 2023,155.7,150.3,1,3.83
71,frozenbroccoli,February 2023,156.4,148.5,1,3.84
72,frozenbroccoli,March 2023,157.3,150.3,0,4.05
73,frozenbroccoli,April 2023,157.9,160.1,1,3.79
74,frozenbroccoli,May 2023,158.5,158.8,1,4.12
75,frozenbroccoli,June 2023,158.4,161.6,0,4.07
76,frozenbroccoli,July 2023,159.6,163.1,1,3.99
77,frozenbroccoli,August 2023,159.9,170.6,0,4.15
78,frozenbroccoli,September 2023,159.7,168.3,1,4.08
79,frozenbroccoli,October 2023,160.3,157.4,1,3.77
80,frozenbroccoli,November 2023,160.6,152.2,0,3.92
81,frozenbroccoli,December 2023,160.0,145.4,1,3.6
82,frozenbroccoli,January 2024,159.9,144.1,1,3.75
83,frozenbroccoli,February 2024,160.2,149.9,1,3.86
84,frozenbroccoli,March 2024,161.4,157.3,0,3.34
85,frozenbroccoli,April 2024,162.2,169.8,1,3.84
86,frozenbroccoli,May 2024,163.2,167.6,1,3.82
87,frozenbroccoli,June 2024,163.1,162.4,0,3.7
88,frozenbroccoli,July 2024,163.9,166.5,1,3.85
89,frozenbroccoli,August 2024,163.3,162.1,0,3.71
90,frozenbroccoli,September 2024,162.8,150.3,1,3.58
91,frozenbroccoli,October 2024,163.5,151.6,1,3.44
92,frozenbroccoli,November 2024,163.5,151.4,0,3.47
93,frozenbroccoli,December 2024,162.7,150.5,1,3.22
94,frozenbroccoli,January 2025,162.6,156.7,1,3.54
95,frozenbroccoli,February 2025,164.6,157.7,1,3.69
96,frozenbroccoli,March 2025,165.1,154.8,0,3.53
97,frozenbroccoli,April 2025,164.8,139.2,1,3.34
98,frozenbroccoli,May 2025,165.9,141.7,1,3.64
99,frozenbroccoli,June 2025,166.0,140.7,0,3.68
100,frozenbroccoli,July 2025,166.5,139.6,1,3.75
101,frozenbroccoli,August 2025,166.0,141.6,0,3.7
