Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozencorn,April 2017,132.0,116.1,1,2.44
2,frozencorn,May 2017,131.9,110.9,1,2.9
3,frozencorn,June 2017,132.1,106.5,0,2.84
4,frozencorn,July 2017,131.9,107.0,1,2.95
5,frozencorn,August 2017,131.8,109.7,0,2.94
6,frozencorn,September 2017,132.3,116.0,1,2.63
7,frozencorn,October 2017,132.3,112.4,1,2.57
8,frozencorn,November 2017,132.7,120.8,0,2.75
9,frozencorn,December 2017,132.0,116.9,1,2.52
10,frozencorn,January 2018,133.2,120.6,1,2.82
11,frozencorn,February 2018,134.0,119.7,1,2.78
12,frozencorn,March 2018,134.6,123.1,0,2.52
13,frozencorn,April 2018,134.8,131.6,1,2.76
14,frozencorn,May 2018,134.9,135.9,1,2.81
15,frozencorn,June 2018,135.3,132.9,0,2.91
16,frozencorn,July 2018,136.0,133.9,1,2.88
17,frozencorn,August 2018,135.9,131.8,0,2.81
18,frozencorn,September 2018,135.2,130.4,1,2.67
19,frozencorn,October 2018,135.6,125.9,1,2.66
20,frozencorn,November 2018,135.1,113.8,0,2.82
21,frozencorn,December 2018,135.0,106.4,1,2.58
22,frozencorn,January 2019,135.2,103.1,1,2.94
23,frozencorn,February 2019,136.0,105.1,1,2.86
24,frozencorn,March 2019,137.0,117.7,0,2.99
25,frozencorn,April 2019,137.4,129.5,1,2.75
26,frozencorn,May 2019,138.1,130.7,1,2.96
27,frozencorn,June 2019,138.0,119.9,0,2.98
28,frozencorn,July 2019,138.8,124.4,1,3.0
29,frozencorn,August 2019,138.5,117.9,0,2.93
30,frozencorn,September 2019,137.5,116.9,1,2.86
31,frozencorn,October 2019,137.9,117.2,1,2.76
32,frozencorn,November 2019,137.7,115.0,0,2.9
33,frozencorn,December 2019,137.8,114.5,1,2.6
34,frozencorn,January 2020,138.0,114.6,1,2.92
35,frozencorn,February 2020,138.7,112.2,1,2.9
36,frozencorn,March 2020,137.9,91.3,0,3.09
37,frozencorn,April 2020,137.3,77.8,1,3.06
38,frozencorn,May 2020,137.5,91.4,1,3.13
39,frozencorn,June 2020,138.6,101.0,0,3.11
40,frozencorn,July 2020,138.8,105.5,1,3.16
41,frozencorn,August 2020,138.6,104.6,0,3.07
42,frozencorn,September 2020,138.3,104.1,1,2.83
43,frozencorn,October 2020,138.9,102.6,1,2.71
44,frozencorn,November 2020,139.0,101.1,0,2.93
45,frozencorn,December 2020,138.8,104.4,1,2.58
46,frozencorn,January 2021,139.5,111.0,1,2.68
47,frozencorn,February 2021,140.2,118.2,1,3.09
48,frozencorn,March 2021,141.0,125.0,0,3.21
49,frozencorn,April 2021,141.8,127.5,1,3.24
50,frozencorn,May 2021,142.6,131.5,1,3.27
51,frozencorn,June 2021,143.1,133.7,0,3.26
52,frozencorn,July 2021,143.7,138.4,1,3.26
53,frozencorn,August 2021,144.1,139.0,0,3.16
54,frozencorn,September 2021,144.4,138.9,1,3.01
55,frozencorn,October 2021,145.7,146.0,1,2.84
56,frozencorn,November 2021,146.0,145.8,0,3.15
57,frozencorn,December 2021,146.0,140.0,1,3.0
58,frozencorn,January 2022,147.4,146.6,1,3.3
59,frozencorn,February 2022,148.8,156.8,1,3.17
60,frozencorn,March 2022,150.8,175.2,0,3.25
61,frozencorn,April 2022,151.6,173.8,1,2.93
62,frozencorn,May 2022,153.7,194.8,1,3.21
63,frozencorn,June 2022,154.4,207.2,0,3.16
64,frozencorn,July 2022,154.6,187.8,1,3.23
65,frozencorn,August 2022,154.1,169.6,0,3.16
66,frozencorn,September 2022,154.1,156.4,1,3.12
67,frozencorn,October 2022,155.2,171.5,1,3.16
68,frozencorn,November 2022,155.4,165.3,0,3.31
69,frozencorn,December 2022,154.8,143.6,1,3.12
70,frozencorn,January 2023,155.7,150.3,1,3.27
71,frozencorn,February 2023,156.4,148.5,1,3.42
72,frozencorn,March 2023,157.3,150.3,0,3.57
73,frozencorn,April 2023,157.9,160.1,1,3.39
74,frozencorn,May 2023,158.5,158.8,1,3.59
75,frozencorn,June 2023,158.4,161.6,0,3.56
76,frozencorn,July 2023,159.6,163.1,1,3.51
77,frozencorn,August 2023,159.9,170.6,0,3.54
78,frozencorn,September 2023,159.7,168.3,1,3.43
79,frozencorn,October 2023,160.3,157.4,1,3.37
80,frozencorn,November 2023,160.6,152.2,0,3.64
81,frozencorn,December 2023,160.0,145.4,1,3.45
82,frozencorn,January 2024,159.9,144.1,1,3.47
83,frozencorn,February 2024,160.2,149.9,1,3.55
84,frozencorn,March 2024,161.4,157.3,0,3.16
85,frozencorn,April 2024,162.2,169.8,1,3.44
86,frozencorn,May 2024,163.2,167.6,1,3.52
87,frozencorn,June 2024,163.1,162.4,0,3.52
88,frozencorn,July 2024,163.9,166.5,1,3.56
89,frozencorn,August 2024,163.3,162.1,0,3.41
90,frozencorn,September 2024,162.8,150.3,1,3.39
91,frozencorn,October 2024,163.5,151.6,1,3.29
92,frozencorn,November 2024,163.5,151.4,0,3.43
93,frozencorn,December 2024,162.7,150.5,1,3.13
94,frozencorn,January 2025,162.6,156.7,1,3.41
95,frozencorn,February 2025,164.6,157.7,1,3.46
96,frozencorn,March 2025,165.1,154.8,0,3.44
97,frozencorn,April 2025,164.8,139.2,1,3.17
98,frozencorn,May 2025,165.9,141.7,1,3.5
99,frozencorn,June 2025,166.0,140.7,0,3.49
100,frozencorn,July 2025,166.5,139.6,1,3.6
101,frozencorn,August 2025,166.0,141.6,0,3.54
