Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenfrenchfriedpotatoes,April 2017,132.0,116.1,1,2.03
2,frozenfrenchfriedpotatoes,May 2017,131.9,110.9,1,2.04
3,frozenfrenchfriedpotatoes,June 2017,132.1,106.5,0,1.98
4,frozenfrenchfriedpotatoes,July 2017,131.9,107.0,1,2.05
5,frozenfrenchfriedpotatoes,August 2017,131.8,109.7,0,2.07
6,frozenfrenchfriedpotatoes,September 2017,132.3,116.0,1,2.0
7,frozenfrenchfriedpotatoes,October 2017,132.3,112.4,1,2.03
8,frozenfrenchfriedpotatoes,November 2017,132.7,120.8,0,2.06
9,frozenfrenchfriedpotatoes,December 2017,132.0,116.9,1,2.04
10,frozenfrenchfriedpotatoes,January 2018,133.2,120.6,1,1.98
11,frozenfrenchfriedpotatoes,February 2018,134.0,119.7,1,1.94
12,frozenfrenchfriedpotatoes,March 2018,134.6,123.1,0,1.97
13,frozenfrenchfriedpotatoes,April 2018,134.8,131.6,1,2.13
14,frozenfrenchfriedpotatoes,May 2018,134.9,135.9,1,2.09
15,frozenfrenchfriedpotatoes,June 2018,135.3,132.9,0,2.07
16,frozenfrenchfriedpotatoes,July 2018,136.0,133.9,1,1.98
17,frozenfrenchfriedpotatoes,August 2018,135.9,131.8,0,2.11
18,frozenfrenchfriedpotatoes,September 2018,135.2,130.4,1,2.04
19,frozenfrenchfriedpotatoes,October 2018,135.6,125.9,1,2.08
20,frozenfrenchfriedpotatoes,November 2018,135.1,113.8,0,2.08
21,frozenfrenchfriedpotatoes,December 2018,135.0,106.4,1,2.14
22,frozenfrenchfriedpotatoes,January 2019,135.2,103.1,1,2.15
23,frozenfrenchfriedpotatoes,February 2019,136.0,105.1,1,2.12
24,frozenfrenchfriedpotatoes,March 2019,137.0,117.7,0,2.14
25,frozenfrenchfriedpotatoes,April 2019,137.4,129.5,1,2.14
26,frozenfrenchfriedpotatoes,May 2019,138.1,130.7,1,2.24
27,frozenfrenchfriedpotatoes,June 2019,138.0,119.9,0,2.16
28,frozenfrenchfriedpotatoes,July 2019,138.8,124.4,1,2.12
29,frozenfrenchfriedpotatoes,August 2019,138.5,117.9,0,2.19
30,frozenfrenchfriedpotatoes,September 2019,137.5,116.9,1,2.11
31,frozenfrenchfriedpotatoes,October 2019,137.9,117.2,1,2.25
