Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozengreenbeans,April 2017,132.0,116.1,1,3.13
2,frozengreenbeans,May 2017,131.9,110.9,1,3.4
3,frozengreenbeans,June 2017,132.1,106.5,0,3.34
4,frozengreenbeans,July 2017,131.9,107.0,1,3.44
5,frozengreenbeans,August 2017,131.8,109.7,0,3.45
6,frozengreenbeans,September 2017,132.3,116.0,1,3.24
7,frozengreenbeans,October 2017,132.3,112.4,1,3.07
8,frozengreenbeans,November 2017,132.7,120.8,0,3.18
9,frozengreenbeans,December 2017,132.0,116.9,1,2.98
10,frozengreenbeans,January 2018,133.2,120.6,1,3.29
11,frozengreenbeans,February 2018,134.0,119.7,1,3.22
12,frozengreenbeans,March 2018,134.6,123.1,0,2.94
13,frozengreenbeans,April 2018,134.8,131.6,1,3.14
14,frozengreenbeans,May 2018,134.9,135.9,1,3.1
15,frozengreenbeans,June 2018,135.3,132.9,0,3.18
16,frozengreenbeans,July 2018,136.0,133.9,1,3.17
17,frozengreenbeans,August 2018,135.9,131.8,0,3.08
18,frozengreenbeans,September 2018,135.2,130.4,1,3.12
19,frozengreenbeans,October 2018,135.6,125.9,1,3.1
20,frozengreenbeans,November 2018,135.1,113.8,0,3.26
21,frozengreenbeans,December 2018,135.0,106.4,1,3.08
22,frozengreenbeans,January 2019,135.2,103.1,1,3.42
23,frozengreenbeans,February 2019,136.0,105.1,1,3.38
24,frozengreenbeans,March 2019,137.0,117.7,0,3.47
25,frozengreenbeans,April 2019,137.4,129.5,1,3.31
26,frozengreenbeans,May 2019,138.1,130.7,1,3.45
27,frozengreenbeans,June 2019,138.0,119.9,0,3.42
28,frozengreenbeans,July 2019,138.8,124.4,1,3.38
29,frozengreenbeans,August 2019,138.5,117.9,0,3.25
30,frozengreenbeans,September 2019,137.5,116.9,1,3.32
31,frozengreenbeans,October 2019,137.9,117.2,1,3.22
32,frozengreenbeans,November 2019,137.7,115.0,0,3.35
33,frozengreenbeans,December 2019,137.8,114.5,1,3.11
34,frozengreenbeans,January 2020,138.0,114.6,1,3.38
35,frozengreenbeans,February 2020,138.7,112.2,1,3.32
36,frozengreenbeans,March 2020,137.9,91.3,0,3.57
37,frozengreenbeans,April 2020,137.3,77.8,1,3.47
38,frozengreenbeans,May 2020,137.5,91.4,1,3.43
39,frozengreenbeans,June 2020,138.6,101.0,0,3.54
40,frozengreenbeans,July 2020,138.8,105.5,1,3.43
41,frozengreenbeans,August 2020,138.6,104.6,0,3.46
42,frozengreenbeans,September 2020,138.3,104.1,1,3.31
43,frozengreenbeans,October 2020,138.9,102.6,1,3.2
44,frozengreenbeans,November 2020,139.0,101.1,0,3.43
45,frozengreenbeans,December 2020,138.8,104.4,1,3.13
46,frozengreenbeans,January 2021,139.5,111.0,1,3.15
47,frozengreenbeans,February 2021,140.2,118.2,1,3.6
48,frozengreenbeans,March 2021,141.0,125.0,0,3.67
49,frozengreenbeans,April 2021,141.8,127.5,1,3.66
50,frozengreenbeans,May 2021,142.6,131.5,1,3.64
51,frozengreenbeans,June 2021,143.1,133.7,0,3.55
52,frozengreenbeans,July 2021,143.7,138.4,1,3.55
53,frozengreenbeans,August 2021,144.1,139.0,0,3.51
54,frozengreenbeans,September 2021,144.4,138.9,1,3.37
55,frozengreenbeans,October 2021,145.7,146.0,1,3.24
56,frozengreenbeans,November 2021,146.0,145.8,0,3.45
57,frozengreenbeans,December 2021,146.0,140.0,1,3.32
58,frozengreenbeans,January 2022,147.4,146.6,1,3.5
59,frozengreenbeans,February 2022,148.8,156.8,1,3.46
60,frozengreenbeans,March 2022,150.8,175.2,0,3.51
61,frozengreenbeans,April 2022,151.6,173.8,1,3.28
62,frozengreenbeans,May 2022,153.7,194.8,1,3.55
63,frozengreenbeans,June 2022,154.4,207.2,0,3.45
64,frozengreenbeans,July 2022,154.6,187.8,1,3.6
65,frozengreenbeans,August 2022,154.1,169.6,0,3.64
66,frozengreenbeans,September 2022,154.1,156.4,1,3.6
67,frozengreenbeans,October 2022,155.2,171.5,1,3.58
68,frozengreenbeans,November 2022,155.4,165.3,0,3.63
69,frozengreenbeans,December 2022,154.8,143.6,1,3.51
70,frozengreenbeans,January 2023,155.7,150.3,1,3.6
71,frozengreenbeans,February 2023,156.4,148.5,1,3.81
72,frozengreenbeans,March 2023,157.3,150.3,0,3.98
73,frozengreenbeans,April 2023,157.9,160.1,1,3.81
74,frozengreenbeans,May 2023,158.5,158.8,1,3.98
75,frozengreenbeans,June 2023,158.4,161.6,0,3.93
76,frozengreenbeans,July 2023,159.6,163.1,1,3.9
77,frozengreenbeans,August 2023,159.9,170.6,0,3.89
78,frozengreenbeans,September 2023,159.7,168.3,1,3.85
79,frozengreenbeans,October 2023,160.3,157.4,1,3.8
80,frozengreenbeans,November 2023,160.6,152.2,0,4.03
81,frozengreenbeans,December 2023,160.0,145.4,1,3.99
82,frozengreenbeans,January 2024,159.9,144.1,1,4.0
83,frozengreenbeans,February 2024,160.2,149.9,1,4.01
84,frozengreenbeans,March 2024,161.4,157.3,0,3.86
85,frozengreenbeans,April 2024,162.2,169.8,1,4.16
86,frozengreenbeans,May 2024,163.2,167.6,1,4.15
87,frozengreenbeans,June 2024,163.1,162.4,0,4.08
88,frozengreenbeans,July 2024,163.9,166.5,1,4.08
89,frozengreenbeans,August 2024,163.3,162.1,0,3.94
90,frozengreenbeans,September 2024,162.8,150.3,1,3.94
91,frozengreenbeans,October 2024,163.5,151.6,1,3.93
92,frozengreenbeans,November 2024,163.5,151.4,0,3.97
93,frozengreenbeans,December 2024,162.7,150.5,1,3.81
94,frozengreenbeans,January 2025,162.6,156.7,1,3.92
95,frozengreenbeans,February 2025,164.6,157.7,1,4.01
96,frozengreenbeans,March 2025,165.1,154.8,0,4.02
97,frozengreenbeans,April 2025,164.8,139.2,1,3.93
98,frozengreenbeans,May 2025,165.9,141.7,1,4.2
99,frozengreenbeans,June 2025,166.0,140.7,0,4.25
100,frozengreenbeans,July 2025,166.5,139.6,1,4.36
101,frozengreenbeans,August 2025,166.0,141.6,0,4.36
