Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenmixedvegetables,April 2017,132.0,116.1,1,2.77
2,frozenmixedvegetables,May 2017,131.9,110.9,1,3.05
3,frozenmixedvegetables,June 2017,132.1,106.5,0,2.9
4,frozenmixedvegetables,July 2017,131.9,107.0,1,3.04
5,frozenmixedvegetables,August 2017,131.8,109.7,0,3.04
6,frozenmixedvegetables,September 2017,132.3,116.0,1,2.84
7,frozenmixedvegetables,October 2017,132.3,112.4,1,2.82
8,frozenmixedvegetables,November 2017,132.7,120.8,0,2.86
9,frozenmixedvegetables,December 2017,132.0,116.9,1,2.75
10,frozenmixedvegetables,January 2018,133.2,120.6,1,2.93
11,frozenmixedvegetables,February 2018,134.0,119.7,1,2.93
12,frozenmixedvegetables,March 2018,134.6,123.1,0,2.77
13,frozenmixedvegetables,April 2018,134.8,131.6,1,2.92
14,frozenmixedvegetables,May 2018,134.9,135.9,1,2.86
15,frozenmixedvegetables,June 2018,135.3,132.9,0,2.93
16,frozenmixedvegetables,July 2018,136.0,133.9,1,2.92
17,frozenmixedvegetables,August 2018,135.9,131.8,0,2.88
18,frozenmixedvegetables,September 2018,135.2,130.4,1,2.84
19,frozenmixedvegetables,October 2018,135.6,125.9,1,2.86
20,frozenmixedvegetables,November 2018,135.1,113.8,0,2.99
21,frozenmixedvegetables,December 2018,135.0,106.4,1,2.8
22,frozenmixedvegetables,January 2019,135.2,103.1,1,3.0
23,frozenmixedvegetables,February 2019,136.0,105.1,1,2.95
24,frozenmixedvegetables,March 2019,137.0,117.7,0,3.08
25,frozenmixedvegetables,April 2019,137.4,129.5,1,2.89
26,frozenmixedvegetables,May 2019,138.1,130.7,1,2.96
27,frozenmixedvegetables,June 2019,138.0,119.9,0,2.98
28,frozenmixedvegetables,July 2019,138.8,124.4,1,2.96
29,frozenmixedvegetables,August 2019,138.5,117.9,0,2.95
30,frozenmixedvegetables,September 2019,137.5,116.9,1,2.95
31,frozenmixedvegetables,October 2019,137.9,117.2,1,2.88
32,frozenmixedvegetables,November 2019,137.7,115.0,0,3.03
33,frozenmixedvegetables,December 2019,137.8,114.5,1,2.84
34,frozenmixedvegetables,January 2020,138.0,114.6,1,3.04
35,frozenmixedvegetables,February 2020,138.7,112.2,1,2.98
36,frozenmixedvegetables,March 2020,137.9,91.3,0,3.13
37,frozenmixedvegetables,April 2020,137.3,77.8,1,3.13
38,frozenmixedvegetables,May 2020,137.5,91.4,1,3.22
39,frozenmixedvegetables,June 2020,138.6,101.0,0,3.18
40,frozenmixedvegetables,July 2020,138.8,105.5,1,3.17
41,frozenmixedvegetables,August 2020,138.6,104.6,0,3.11
42,frozenmixedvegetables,September 2020,138.3,104.1,1,2.95
43,frozenmixedvegetables,October 2020,138.9,102.6,1,2.88
44,frozenmixedvegetables,November 2020,139.0,101.1,0,3.01
45,frozenmixedvegetables,December 2020,138.8,104.4,1,2.85
46,frozenmixedvegetables,January 2021,139.5,111.0,1,2.83
47,frozenmixedvegetables,February 2021,140.2,118.2,1,2.97
48,frozenmixedvegetables,March 2021,141.0,125.0,0,3.02
49,frozenmixedvegetables,April 2021,141.8,127.5,1,3.14
50,frozenmixedvegetables,May 2021,142.6,131.5,1,3.24
51,frozenmixedvegetables,June 2021,143.1,133.7,0,3.22
52,frozenmixedvegetables,July 2021,143.7,138.4,1,3.25
53,frozenmixedvegetables,August 2021,144.1,139.0,0,3.23
54,frozenmixedvegetables,September 2021,144.4,138.9,1,3.11
55,frozenmixedvegetables,October 2021,145.7,146.0,1,3.09
56,frozenmixedvegetables,November 2021,146.0,145.8,0,3.3
57,frozenmixedvegetables,December 2021,146.0,140.0,1,3.14
58,frozenmixedvegetables,January 2022,147.4,146.6,1,3.4
59,frozenmixedvegetables,February 2022,148.8,156.8,1,3.3
60,frozenmixedvegetables,March 2022,150.8,175.2,0,3.31
61,frozenmixedvegetables,April 2022,151.6,173.8,1,3.1
62,frozenmixedvegetables,May 2022,153.7,194.8,1,3.28
63,frozenmixedvegetables,June 2022,154.4,207.2,0,3.29
64,frozenmixedvegetables,July 2022,154.6,187.8,1,3.32
65,frozenmixedvegetables,August 2022,154.1,169.6,0,3.27
66,frozenmixedvegetables,September 2022,154.1,156.4,1,3.31
67,frozenmixedvegetables,October 2022,155.2,171.5,1,3.28
68,frozenmixedvegetables,November 2022,155.4,165.3,0,3.32
69,frozenmixedvegetables,December 2022,154.8,143.6,1,3.13
70,frozenmixedvegetables,January 2023,155.7,150.3,1,3.3
71,frozenmixedvegetables,February 2023,156.4,148.5,1,3.56
72,frozenmixedvegetables,March 2023,157.3,150.3,0,3.68
73,frozenmixedvegetables,April 2023,157.9,160.1,1,3.43
74,frozenmixedvegetables,May 2023,158.5,158.8,1,3.76
75,frozenmixedvegetables,June 2023,158.4,161.6,0,3.83
76,frozenmixedvegetables,July 2023,159.6,163.1,1,3.74
77,frozenmixedvegetables,August 2023,159.9,170.6,0,3.73
78,frozenmixedvegetables,September 2023,159.7,168.3,1,3.69
79,frozenmixedvegetables,October 2023,160.3,157.4,1,3.56
80,frozenmixedvegetables,November 2023,160.6,152.2,0,3.74
81,frozenmixedvegetables,December 2023,160.0,145.4,1,3.67
82,frozenmixedvegetables,January 2024,159.9,144.1,1,3.62
83,frozenmixedvegetables,February 2024,160.2,149.9,1,3.73
84,frozenmixedvegetables,March 2024,161.4,157.3,0,3.6
85,frozenmixedvegetables,April 2024,162.2,169.8,1,3.74
86,frozenmixedvegetables,May 2024,163.2,167.6,1,3.81
87,frozenmixedvegetables,June 2024,163.1,162.4,0,3.79
88,frozenmixedvegetables,July 2024,163.9,166.5,1,3.82
89,frozenmixedvegetables,August 2024,163.3,162.1,0,3.67
90,frozenmixedvegetables,September 2024,162.8,150.3,1,3.61
91,frozenmixedvegetables,October 2024,163.5,151.6,1,3.64
92,frozenmixedvegetables,November 2024,163.5,151.4,0,3.6
93,frozenmixedvegetables,December 2024,162.7,150.5,1,3.54
94,frozenmixedvegetables,January 2025,162.6,156.7,1,3.55
95,frozenmixedvegetables,February 2025,164.6,157.7,1,3.67
96,frozenmixedvegetables,March 2025,165.1,154.8,0,3.72
97,frozenmixedvegetables,April 2025,164.8,139.2,1,3.63
98,frozenmixedvegetables,May 2025,165.9,141.7,1,3.8
99,frozenmixedvegetables,June 2025,166.0,140.7,0,3.81
100,frozenmixedvegetables,July 2025,166.5,139.6,1,3.94
101,frozenmixedvegetables,August 2025,166.0,141.6,0,3.92
