Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenpeas,April 2017,132.0,116.1,1,2.47
2,frozenpeas,May 2017,131.9,110.9,1,2.9
3,frozenpeas,June 2017,132.1,106.5,0,2.84
4,frozenpeas,July 2017,131.9,107.0,1,2.93
5,frozenpeas,August 2017,131.8,109.7,0,2.93
6,frozenpeas,September 2017,132.3,116.0,1,2.65
7,frozenpeas,October 2017,132.3,112.4,1,2.6
8,frozenpeas,November 2017,132.7,120.8,0,2.77
9,frozenpeas,December 2017,132.0,116.9,1,2.57
10,frozenpeas,January 2018,133.2,120.6,1,2.83
11,frozenpeas,February 2018,134.0,119.7,1,2.81
12,frozenpeas,March 2018,134.6,123.1,0,2.53
13,frozenpeas,April 2018,134.8,131.6,1,2.78
14,frozenpeas,May 2018,134.9,135.9,1,2.81
15,frozenpeas,June 2018,135.3,132.9,0,2.9
16,frozenpeas,July 2018,136.0,133.9,1,2.85
17,frozenpeas,August 2018,135.9,131.8,0,2.81
18,frozenpeas,September 2018,135.2,130.4,1,2.7
19,frozenpeas,October 2018,135.6,125.9,1,2.68
20,frozenpeas,November 2018,135.1,113.8,0,2.83
21,frozenpeas,December 2018,135.0,106.4,1,2.58
22,frozenpeas,January 2019,135.2,103.1,1,2.93
23,frozenpeas,February 2019,136.0,105.1,1,2.86
24,frozenpeas,March 2019,137.0,117.7,0,3.04
25,frozenpeas,April 2019,137.4,129.5,1,2.75
26,frozenpeas,May 2019,138.1,130.7,1,2.91
27,frozenpeas,June 2019,138.0,119.9,0,2.96
28,frozenpeas,July 2019,138.8,124.4,1,2.96
29,frozenpeas,August 2019,138.5,117.9,0,2.92
30,frozenpeas,September 2019,137.5,116.9,1,2.87
31,frozenpeas,October 2019,137.9,117.2,1,2.76
32,frozenpeas,November 2019,137.7,115.0,0,2.89
33,frozenpeas,December 2019,137.8,114.5,1,2.66
34,frozenpeas,January 2020,138.0,114.6,1,2.96
35,frozenpeas,February 2020,138.7,112.2,1,2.9
36,frozenpeas,March 2020,137.9,91.3,0,3.09
37,frozenpeas,April 2020,137.3,77.8,1,2.97
38,frozenpeas,May 2020,137.5,91.4,1,3.11
39,frozenpeas,June 2020,138.6,101.0,0,3.0
40,frozenpeas,July 2020,138.8,105.5,1,3.02
41,frozenpeas,August 2020,138.6,104.6,0,3.05
42,frozenpeas,September 2020,138.3,104.1,1,2.85
43,frozenpeas,October 2020,138.9,102.6,1,2.73
44,frozenpeas,November 2020,139.0,101.1,0,2.94
45,frozenpeas,December 2020,138.8,104.4,1,2.59
46,frozenpeas,January 2021,139.5,111.0,1,2.7
47,frozenpeas,February 2021,140.2,118.2,1,3.03
48,frozenpeas,March 2021,141.0,125.0,0,3.02
49,frozenpeas,April 2021,141.8,127.5,1,3.08
50,frozenpeas,May 2021,142.6,131.5,1,3.1
51,frozenpeas,June 2021,143.1,133.7,0,3.05
52,frozenpeas,July 2021,143.7,138.4,1,3.02
53,frozenpeas,August 2021,144.1,139.0,0,3.05
54,frozenpeas,September 2021,144.4,138.9,1,2.92
55,frozenpeas,October 2021,145.7,146.0,1,2.79
56,frozenpeas,November 2021,146.0,145.8,0,3.04
57,frozenpeas,December 2021,146.0,140.0,1,2.94
58,frozenpeas,January 2022,147.4,146.6,1,3.21
59,frozenpeas,February 2022,148.8,156.8,1,3.11
60,frozenpeas,March 2022,150.8,175.2,0,3.17
61,frozenpeas,April 2022,151.6,173.8,1,2.93
62,frozenpeas,May 2022,153.7,194.8,1,3.12
63,frozenpeas,June 2022,154.4,207.2,0,3.11
64,frozenpeas,July 2022,154.6,187.8,1,3.17
65,frozenpeas,August 2022,154.1,169.6,0,3.14
66,frozenpeas,September 2022,154.1,156.4,1,3.14
67,frozenpeas,October 2022,155.2,171.5,1,3.17
68,frozenpeas,November 2022,155.4,165.3,0,3.32
69,frozenpeas,December 2022,154.8,143.6,1,3.13
70,frozenpeas,January 2023,155.7,150.3,1,3.27
71,frozenpeas,February 2023,156.4,148.5,1,3.45
72,frozenpeas,March 2023,157.3,150.3,0,3.59
73,frozenpeas,April 2023,157.9,160.1,1,3.38
74,frozenpeas,May 2023,158.5,158.8,1,3.51
75,frozenpeas,June 2023,158.4,161.6,0,3.49
76,frozenpeas,July 2023,159.6,163.1,1,3.48
77,frozenpeas,August 2023,159.9,170.6,0,3.59
78,frozenpeas,September 2023,159.7,168.3,1,3.46
79,frozenpeas,October 2023,160.3,157.4,1,3.35
80,frozenpeas,November 2023,160.6,152.2,0,3.57
81,frozenpeas,December 2023,160.0,145.4,1,3.46
82,frozenpeas,January 2024,159.9,144.1,1,3.45
83,frozenpeas,February 2024,160.2,149.9,1,3.59
84,frozenpeas,March 2024,161.4,157.3,0,3.24
85,frozenpeas,April 2024,162.2,169.8,1,3.48
86,frozenpeas,May 2024,163.2,167.6,1,3.53
87,frozenpeas,June 2024,163.1,162.4,0,3.54
88,frozenpeas,July 2024,163.9,166.5,1,3.57
89,frozenpeas,August 2024,163.3,162.1,0,3.43
90,frozenpeas,September 2024,162.8,150.3,1,3.41
91,frozenpeas,October 2024,163.5,151.6,1,3.31
92,frozenpeas,November 2024,163.5,151.4,0,3.46
93,frozenpeas,December 2024,162.7,150.5,1,3.15
94,frozenpeas,January 2025,162.6,156.7,1,3.41
95,frozenpeas,February 2025,164.6,157.7,1,3.44
