Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenpizza,April 2017,132.0,116.1,1,3.87
2,frozenpizza,May 2017,131.9,110.9,1,3.88
3,frozenpizza,June 2017,132.1,106.5,0,4.05
4,frozenpizza,July 2017,131.9,107.0,1,3.98
5,frozenpizza,August 2017,131.8,109.7,0,3.96
6,frozenpizza,September 2017,132.3,116.0,1,4.2
7,frozenpizza,October 2017,132.3,112.4,1,3.83
8,frozenpizza,November 2017,132.7,120.8,0,3.8
9,frozenpizza,December 2017,132.0,116.9,1,3.92
10,frozenpizza,January 2018,133.2,120.6,1,3.84
11,frozenpizza,February 2018,134.0,119.7,1,3.86
12,frozenpizza,March 2018,134.6,123.1,0,4.1
13,frozenpizza,April 2018,134.8,131.6,1,3.76
14,frozenpizza,May 2018,134.9,135.9,1,3.88
15,frozenpizza,June 2018,135.3,132.9,0,4.03
16,frozenpizza,July 2018,136.0,133.9,1,3.93
17,frozenpizza,August 2018,135.9,131.8,0,4.06
18,frozenpizza,September 2018,135.2,130.4,1,3.74
19,frozenpizza,October 2018,135.6,125.9,1,3.98
20,frozenpizza,November 2018,135.1,113.8,0,3.97
21,frozenpizza,December 2018,135.0,106.4,1,3.8
22,frozenpizza,January 2019,135.2,103.1,1,3.88
23,frozenpizza,February 2019,136.0,105.1,1,4.25
24,frozenpizza,March 2019,137.0,117.7,0,4.09
25,frozenpizza,April 2019,137.4,129.5,1,3.86
26,frozenpizza,May 2019,138.1,130.7,1,4.04
27,frozenpizza,June 2019,138.0,119.9,0,4.05
28,frozenpizza,July 2019,138.8,124.4,1,3.93
29,frozenpizza,August 2019,138.5,117.9,0,4.13
30,frozenpizza,September 2019,137.5,116.9,1,3.81
31,frozenpizza,October 2019,137.9,117.2,1,4.01
32,frozenpizza,November 2019,137.7,115.0,0,3.92
33,frozenpizza,December 2019,137.8,114.5,1,4.13
34,frozenpizza,January 2020,138.0,114.6,1,3.85
35,frozenpizza,February 2020,138.7,112.2,1,4.32
36,frozenpizza,March 2020,137.9,91.3,0,4.18
37,frozenpizza,April 2020,137.3,77.8,1,4.11
38,frozenpizza,May 2020,137.5,91.4,1,4.29
39,frozenpizza,June 2020,138.6,101.0,0,4.26
40,frozenpizza,July 2020,138.8,105.5,1,4.31
41,frozenpizza,August 2020,138.6,104.6,0,4.56
42,frozenpizza,September 2020,138.3,104.1,1,4.07
43,frozenpizza,October 2020,138.9,102.6,1,3.94
44,frozenpizza,November 2020,139.0,101.1,0,3.92
45,frozenpizza,December 2020,138.8,104.4,1,4.03
46,frozenpizza,January 2021,139.5,111.0,1,4.28
47,frozenpizza,February 2021,140.2,118.2,1,3.99
48,frozenpizza,March 2021,141.0,125.0,0,4.0
49,frozenpizza,April 2021,141.8,127.5,1,3.99
50,frozenpizza,May 2021,142.6,131.5,1,4.06
51,frozenpizza,June 2021,143.1,133.7,0,4.13
52,frozenpizza,July 2021,143.7,138.4,1,4.1
53,frozenpizza,August 2021,144.1,139.0,0,4.03
