Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenspinach,April 2017,132.0,116.1,1,1.25
2,frozenspinach,May 2017,131.9,110.9,1,1.27
3,frozenspinach,June 2017,132.1,106.5,0,1.29
4,frozenspinach,July 2017,131.9,107.0,1,1.28
5,frozenspinach,August 2017,131.8,109.7,0,1.32
6,frozenspinach,September 2017,132.3,116.0,1,1.32
7,frozenspinach,October 2017,132.3,112.4,1,1.29
8,frozenspinach,November 2017,132.7,120.8,0,1.27
9,frozenspinach,December 2017,132.0,116.9,1,1.41
10,frozenspinach,January 2018,133.2,120.6,1,1.36
11,frozenspinach,February 2018,134.0,119.7,1,1.38
12,frozenspinach,March 2018,134.6,123.1,0,1.31
13,frozenspinach,April 2018,134.8,131.6,1,1.31
14,frozenspinach,May 2018,134.9,135.9,1,1.35
15,frozenspinach,June 2018,135.3,132.9,0,1.33
16,frozenspinach,July 2018,136.0,133.9,1,1.38
17,frozenspinach,August 2018,135.9,131.8,0,1.34
18,frozenspinach,September 2018,135.2,130.4,1,1.36
19,frozenspinach,October 2018,135.6,125.9,1,1.2
20,frozenspinach,November 2018,135.1,113.8,0,1.37
21,frozenspinach,December 2018,135.0,106.4,1,1.43
22,frozenspinach,January 2019,135.2,103.1,1,1.37
23,frozenspinach,February 2019,136.0,105.1,1,1.35
24,frozenspinach,March 2019,137.0,117.7,0,1.36
25,frozenspinach,April 2019,137.4,129.5,1,1.38
26,frozenspinach,May 2019,138.1,130.7,1,1.34
27,frozenspinach,June 2019,138.0,119.9,0,1.41
28,frozenspinach,July 2019,138.8,124.4,1,1.47
29,frozenspinach,August 2019,138.5,117.9,0,1.41
30,frozenspinach,September 2019,137.5,116.9,1,1.39
31,frozenspinach,October 2019,137.9,117.2,1,1.23
32,frozenspinach,November 2019,137.7,115.0,0,1.4
33,frozenspinach,December 2019,137.8,114.5,1,1.38
34,frozenspinach,January 2020,138.0,114.6,1,1.55
35,frozenspinach,February 2020,138.7,112.2,1,1.8
36,frozenspinach,March 2020,137.9,91.3,0,1.89
37,frozenspinach,April 2020,137.3,77.8,1,1.69
38,frozenspinach,May 2020,137.5,91.4,1,1.58
39,frozenspinach,June 2020,138.6,101.0,0,1.8
40,frozenspinach,July 2020,138.8,105.5,1,1.67
41,frozenspinach,August 2020,138.6,104.6,0,1.45
42,frozenspinach,September 2020,138.3,104.1,1,1.22
43,frozenspinach,October 2020,138.9,102.6,1,1.16
44,frozenspinach,November 2020,139.0,101.1,0,1.46
45,frozenspinach,December 2020,138.8,104.4,1,1.75
46,frozenspinach,January 2021,139.5,111.0,1,1.82
47,frozenspinach,February 2021,140.2,118.2,1,1.95
48,frozenspinach,March 2021,141.0,125.0,0,1.59
49,frozenspinach,April 2021,141.8,127.5,1,1.89
50,frozenspinach,May 2021,142.6,131.5,1,1.67
51,frozenspinach,June 2021,143.1,133.7,0,1.75
52,frozenspinach,July 2021,143.7,138.4,1,2.02
53,frozenspinach,August 2021,144.1,139.0,0,1.97
54,frozenspinach,September 2021,144.4,138.9,1,1.73
55,frozenspinach,October 2021,145.7,146.0,1,1.58
56,frozenspinach,November 2021,146.0,145.8,0,1.76
57,frozenspinach,December 2021,146.0,140.0,1,1.71
58,frozenspinach,January 2022,147.4,146.6,1,1.79
59,frozenspinach,February 2022,148.8,156.8,1,1.69
60,frozenspinach,March 2022,150.8,175.2,0,1.82
61,frozenspinach,April 2022,151.6,173.8,1,1.89
62,frozenspinach,May 2022,153.7,194.8,1,1.7
63,frozenspinach,June 2022,154.4,207.2,0,1.64
64,frozenspinach,July 2022,154.6,187.8,1,1.94
65,frozenspinach,August 2022,154.1,169.6,0,2.15
66,frozenspinach,September 2022,154.1,156.4,1,2.21
67,frozenspinach,October 2022,155.2,171.5,1,2.01
68,frozenspinach,November 2022,155.4,165.3,0,1.99
69,frozenspinach,December 2022,154.8,143.6,1,2.11
70,frozenspinach,January 2023,155.7,150.3,1,1.94
71,frozenspinach,February 2023,156.4,148.5,1,2.18
72,frozenspinach,March 2023,157.3,150.3,0,2.18
73,frozenspinach,April 2023,157.9,160.1,1,2.17
74,frozenspinach,May 2023,158.5,158.8,1,2.12
75,frozenspinach,June 2023,158.4,161.6,0,1.94
76,frozenspinach,July 2023,159.6,163.1,1,1.98
77,frozenspinach,August 2023,159.9,170.6,0,2.01
78,frozenspinach,September 2023,159.7,168.3,1,2.19
79,frozenspinach,October 2023,160.3,157.4,1,1.91
80,frozenspinach,November 2023,160.6,152.2,0,2.03
81,frozenspinach,December 2023,160.0,145.4,1,1.87
82,frozenspinach,January 2024,159.9,144.1,1,1.78
83,frozenspinach,February 2024,160.2,149.9,1,1.89
84,frozenspinach,March 2024,161.4,157.3,0,1.84
85,frozenspinach,April 2024,162.2,169.8,1,1.92
86,frozenspinach,May 2024,163.2,167.6,1,1.97
87,frozenspinach,June 2024,163.1,162.4,0,1.93
88,frozenspinach,July 2024,163.9,166.5,1,1.9
