Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,frozenstrawberries,April 2017,132.0,116.1,1,4.56
2,frozenstrawberries,May 2017,131.9,110.9,1,4.59
3,frozenstrawberries,June 2017,132.1,106.5,0,4.91
4,frozenstrawberries,July 2017,131.9,107.0,1,4.64
5,frozenstrawberries,August 2017,131.8,109.7,0,4.81
6,frozenstrawberries,September 2017,132.3,116.0,1,4.5
7,frozenstrawberries,October 2017,132.3,112.4,1,4.42
8,frozenstrawberries,November 2017,132.7,120.8,0,4.6
9,frozenstrawberries,December 2017,132.0,116.9,1,4.34
10,frozenstrawberries,January 2018,133.2,120.6,1,4.36
11,frozenstrawberries,February 2018,134.0,119.7,1,4.16
12,frozenstrawberries,March 2018,134.6,123.1,0,4.12
13,frozenstrawberries,April 2018,134.8,131.6,1,3.98
14,frozenstrawberries,May 2018,134.9,135.9,1,4.2
15,frozenstrawberries,June 2018,135.3,132.9,0,4.28
16,frozenstrawberries,July 2018,136.0,133.9,1,4.22
17,frozenstrawberries,August 2018,135.9,131.8,0,4.29
18,frozenstrawberries,September 2018,135.2,130.4,1,4.26
19,frozenstrawberries,October 2018,135.6,125.9,1,4.36
20,frozenstrawberries,November 2018,135.1,113.8,0,4.58
21,frozenstrawberries,December 2018,135.0,106.4,1,4.2
22,frozenstrawberries,January 2019,135.2,103.1,1,4.29
23,frozenstrawberries,February 2019,136.0,105.1,1,4.33
24,frozenstrawberries,March 2019,137.0,117.7,0,4.45
25,frozenstrawberries,April 2019,137.4,129.5,1,4.05
26,frozenstrawberries,May 2019,138.1,130.7,1,4.4
27,frozenstrawberries,June 2019,138.0,119.9,0,4.42
28,frozenstrawberries,July 2019,138.8,124.4,1,4.25
29,frozenstrawberries,August 2019,138.5,117.9,0,4.24
30,frozenstrawberries,September 2019,137.5,116.9,1,4.32
31,frozenstrawberries,October 2019,137.9,117.2,1,4.27
32,frozenstrawberries,November 2019,137.7,115.0,0,4.39
33,frozenstrawberries,December 2019,137.8,114.5,1,4.05
34,frozenstrawberries,January 2020,138.0,114.6,1,4.35
35,frozenstrawberries,February 2020,138.7,112.2,1,4.37
36,frozenstrawberries,March 2020,137.9,91.3,0,4.69
37,frozenstrawberries,April 2020,137.3,77.8,1,4.65
38,frozenstrawberries,May 2020,137.5,91.4,1,4.73
39,frozenstrawberries,June 2020,138.6,101.0,0,4.54
40,frozenstrawberries,July 2020,138.8,105.5,1,4.23
41,frozenstrawberries,August 2020,138.6,104.6,0,4.18
42,frozenstrawberries,September 2020,138.3,104.1,1,4.34
43,frozenstrawberries,October 2020,138.9,102.6,1,4.27
44,frozenstrawberries,November 2020,139.0,101.1,0,4.41
45,frozenstrawberries,December 2020,138.8,104.4,1,4.21
46,frozenstrawberries,January 2021,139.5,111.0,1,4.32
47,frozenstrawberries,February 2021,140.2,118.2,1,4.37
48,frozenstrawberries,March 2021,141.0,125.0,0,4.42
49,frozenstrawberries,April 2021,141.8,127.5,1,4.48
50,frozenstrawberries,May 2021,142.6,131.5,1,4.52
51,frozenstrawberries,June 2021,143.1,133.7,0,4.49
52,frozenstrawberries,July 2021,143.7,138.4,1,4.51
53,frozenstrawberries,August 2021,144.1,139.0,0,4.59
54,frozenstrawberries,September 2021,144.4,138.9,1,4.45
55,frozenstrawberries,October 2021,145.7,146.0,1,4.44
56,frozenstrawberries,November 2021,146.0,145.8,0,4.68
57,frozenstrawberries,December 2021,146.0,140.0,1,4.83
58,frozenstrawberries,January 2022,147.4,146.6,1,4.64
59,frozenstrawberries,February 2022,148.8,156.8,1,4.74
60,frozenstrawberries,March 2022,150.8,175.2,0,4.74
61,frozenstrawberries,April 2022,151.6,173.8,1,4.62
62,frozenstrawberries,May 2022,153.7,194.8,1,4.9
63,frozenstrawberries,June 2022,154.4,207.2,0,4.87
64,frozenstrawberries,July 2022,154.6,187.8,1,5.03
65,frozenstrawberries,August 2022,154.1,169.6,0,5.18
66,frozenstrawberries,September 2022,154.1,156.4,1,4.76
67,frozenstrawberries,October 2022,155.2,171.5,1,4.78
68,frozenstrawberries,November 2022,155.4,165.3,0,4.91
69,frozenstrawberries,December 2022,154.8,143.6,1,4.61
70,frozenstrawberries,January 2023,155.7,150.3,1,5.25
71,frozenstrawberries,February 2023,156.4,148.5,1,5.33
72,frozenstrawberries,March 2023,157.3,150.3,0,5.25
73,frozenstrawberries,April 2023,157.9,160.1,1,5.21
74,frozenstrawberries,May 2023,158.5,158.8,1,5.12
75,frozenstrawberries,June 2023,158.4,161.6,0,4.73
76,frozenstrawberries,July 2023,159.6,163.1,1,5.24
77,frozenstrawberries,August 2023,159.9,170.6,0,5.14
78,frozenstrawberries,September 2023,159.7,168.3,1,4.89
79,frozenstrawberries,October 2023,160.3,157.4,1,5.03
80,frozenstrawberries,November 2023,160.6,152.2,0,4.56
81,frozenstrawberries,December 2023,160.0,145.4,1,4.81
82,frozenstrawberries,January 2024,159.9,144.1,1,4.96
83,frozenstrawberries,February 2024,160.2,149.9,1,4.75
84,frozenstrawberries,March 2024,161.4,157.3,0,4.68
85,frozenstrawberries,April 2024,162.2,169.8,1,4.65
86,frozenstrawberries,May 2024,163.2,167.6,1,4.89
87,frozenstrawberries,June 2024,163.1,162.4,0,4.73
88,frozenstrawberries,July 2024,163.9,166.5,1,4.68
89,frozenstrawberries,August 2024,163.3,162.1,0,4.69
90,frozenstrawberries,September 2024,162.8,150.3,1,4.72
91,frozenstrawberries,October 2024,163.5,151.6,1,4.64
92,frozenstrawberries,November 2024,163.5,151.4,0,4.41
93,frozenstrawberries,December 2024,162.7,150.5,1,4.69
94,frozenstrawberries,January 2025,162.6,156.7,1,4.89
95,frozenstrawberries,February 2025,164.6,157.7,1,4.76
96,frozenstrawberries,March 2025,165.1,154.8,0,4.69
97,frozenstrawberries,April 2025,164.8,139.2,1,4.66
98,frozenstrawberries,May 2025,165.9,141.7,1,4.85
99,frozenstrawberries,June 2025,166.0,140.7,0,4.81
100,frozenstrawberries,July 2025,166.5,139.6,1,4.87
101,frozenstrawberries,August 2025,166.0,141.6,0,4.75
