Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,grapes,April 2017,132.0,116.1,1,6.11
2,grapes,May 2017,131.9,110.9,1,6.91
3,grapes,June 2017,132.1,106.5,0,4.43
4,grapes,July 2017,131.9,107.0,1,5.59
5,grapes,August 2017,131.8,109.7,0,5.2
6,grapes,September 2017,132.3,116.0,1,4.62
7,grapes,October 2017,132.3,112.4,1,4.72
8,grapes,November 2017,132.7,120.8,0,5.22
9,grapes,December 2017,132.0,116.9,1,6.55
10,grapes,January 2018,133.2,120.6,1,6.62
11,grapes,February 2018,134.0,119.7,1,4.82
12,grapes,March 2018,134.6,123.1,0,4.78
13,grapes,April 2018,134.8,131.6,1,5.87
14,grapes,May 2018,134.9,135.9,1,6.01
15,grapes,June 2018,135.3,132.9,0,5.33
16,grapes,July 2018,136.0,133.9,1,6.77
17,grapes,August 2018,135.9,131.8,0,5.16
18,grapes,September 2018,135.2,130.4,1,4.36
19,grapes,October 2018,135.6,125.9,1,4.69
20,grapes,November 2018,135.1,113.8,0,4.6
21,grapes,December 2018,135.0,106.4,1,5.34
22,grapes,January 2019,135.2,103.1,1,6.23
23,grapes,February 2019,136.0,105.1,1,6.2
24,grapes,March 2019,137.0,117.7,0,5.37
25,grapes,April 2019,137.4,129.5,1,5.9
26,grapes,May 2019,138.1,130.7,1,6.69
27,grapes,June 2019,138.0,119.9,0,5.3
28,grapes,July 2019,138.8,124.4,1,4.62
29,grapes,August 2019,138.5,117.9,0,5.23
30,grapes,September 2019,137.5,116.9,1,4.8
31,grapes,October 2019,137.9,117.2,1,4.44
32,grapes,November 2019,137.7,115.0,0,5.47
33,grapes,December 2019,137.8,114.5,1,5.92
34,grapes,January 2020,138.0,114.6,1,6.03
35,grapes,February 2020,138.7,112.2,1,6.02
36,grapes,March 2020,137.9,91.3,0,5.01
37,grapes,April 2020,137.3,77.8,1,5.55
38,grapes,May 2020,137.5,91.4,1,6.49
39,grapes,June 2020,138.6,101.0,0,5.82
40,grapes,July 2020,138.8,105.5,1,5.14
41,grapes,August 2020,138.6,104.6,0,5.71
42,grapes,September 2020,138.3,104.1,1,5.04
43,grapes,October 2020,138.9,102.6,1,4.78
44,grapes,November 2020,139.0,101.1,0,5.06
45,grapes,December 2020,138.8,104.4,1,5.49
46,grapes,January 2021,139.5,111.0,1,5.67
47,grapes,February 2021,140.2,118.2,1,5.51
48,grapes,March 2021,141.0,125.0,0,5.98
49,grapes,April 2021,141.8,127.5,1,5.32
50,grapes,May 2021,142.6,131.5,1,6.49
51,grapes,June 2021,143.1,133.7,0,6.27
52,grapes,July 2021,143.7,138.4,1,6.14
53,grapes,August 2021,144.1,139.0,0,6.38
54,grapes,September 2021,144.4,138.9,1,5.25
55,grapes,October 2021,145.7,146.0,1,5.05
56,grapes,November 2021,146.0,145.8,0,5.7
57,grapes,December 2021,146.0,140.0,1,6.44
58,grapes,January 2022,147.4,146.6,1,6.7
59,grapes,February 2022,148.8,156.8,1,6.79
60,grapes,March 2022,150.8,175.2,0,6.93
61,grapes,April 2022,151.6,173.8,1,6.27
62,grapes,May 2022,153.7,194.8,1,7.23
63,grapes,June 2022,154.4,207.2,0,5.78
64,grapes,July 2022,154.6,187.8,1,6.26
65,grapes,August 2022,154.1,169.6,0,6.82
66,grapes,September 2022,154.1,156.4,1,6.64
67,grapes,October 2022,155.2,171.5,1,5.17
68,grapes,November 2022,155.4,165.3,0,6.57
69,grapes,December 2022,154.8,143.6,1,7.47
70,grapes,January 2023,155.7,150.3,1,6.82
71,grapes,February 2023,156.4,148.5,1,7.02
72,grapes,March 2023,157.3,150.3,0,6.62
73,grapes,April 2023,157.9,160.1,1,5.74
74,grapes,May 2023,158.5,158.8,1,9.51
75,grapes,June 2023,158.4,161.6,0,8.43
76,grapes,July 2023,159.6,163.1,1,6.12
77,grapes,August 2023,159.9,170.6,0,6.7
78,grapes,September 2023,159.7,168.3,1,7.1
79,grapes,October 2023,160.3,157.4,1,7.85
80,grapes,November 2023,160.6,152.2,0,8.44
81,grapes,December 2023,160.0,145.4,1,8.54
82,grapes,January 2024,159.9,144.1,1,7.81
83,grapes,February 2024,160.2,149.9,1,6.98
84,grapes,March 2024,161.4,157.3,0,6.5
85,grapes,April 2024,162.2,169.8,1,8.14
86,grapes,May 2024,163.2,167.6,1,8.96
87,grapes,June 2024,163.1,162.4,0,6.11
88,grapes,July 2024,163.9,166.5,1,6.28
89,grapes,August 2024,163.3,162.1,0,6.4
90,grapes,September 2024,162.8,150.3,1,5.85
91,grapes,October 2024,163.5,151.6,1,5.96
92,grapes,November 2024,163.5,151.4,0,6.93
93,grapes,December 2024,162.7,150.5,1,8.37
94,grapes,January 2025,162.6,156.7,1,8.32
95,grapes,February 2025,164.6,157.7,1,6.76
96,grapes,March 2025,165.1,154.8,0,5.93
97,grapes,April 2025,164.8,139.2,1,5.94
98,grapes,May 2025,165.9,141.7,1,9.12
99,grapes,June 2025,166.0,140.7,0,8.46
100,grapes,July 2025,166.5,139.6,1,8.3
101,grapes,August 2025,166.0,141.6,0,5.94
