Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,groundbeef,April 2017,132.0,116.1,1,10.89
2,groundbeef,May 2017,131.9,110.9,1,9.21
3,groundbeef,June 2017,132.1,106.5,0,9.0
4,groundbeef,July 2017,131.9,107.0,1,10.03
5,groundbeef,August 2017,131.8,109.7,0,9.2
6,groundbeef,September 2017,132.3,116.0,1,9.35
7,groundbeef,October 2017,132.3,112.4,1,9.35
8,groundbeef,November 2017,132.7,120.8,0,9.78
9,groundbeef,December 2017,132.0,116.9,1,9.48
10,groundbeef,January 2018,133.2,120.6,1,9.48
11,groundbeef,February 2018,134.0,119.7,1,10.12
12,groundbeef,March 2018,134.6,123.1,0,9.17
13,groundbeef,April 2018,134.8,131.6,1,9.65
14,groundbeef,May 2018,134.9,135.9,1,9.92
15,groundbeef,June 2018,135.3,132.9,0,8.54
16,groundbeef,July 2018,136.0,133.9,1,10.01
17,groundbeef,August 2018,135.9,131.8,0,9.1
18,groundbeef,September 2018,135.2,130.4,1,9.13
19,groundbeef,October 2018,135.6,125.9,1,9.43
20,groundbeef,November 2018,135.1,113.8,0,8.93
21,groundbeef,December 2018,135.0,106.4,1,8.56
22,groundbeef,January 2019,135.2,103.1,1,8.57
23,groundbeef,February 2019,136.0,105.1,1,9.09
24,groundbeef,March 2019,137.0,117.7,0,8.66
25,groundbeef,April 2019,137.4,129.5,1,9.32
26,groundbeef,May 2019,138.1,130.7,1,9.33
27,groundbeef,June 2019,138.0,119.9,0,9.53
28,groundbeef,July 2019,138.8,124.4,1,9.45
29,groundbeef,August 2019,138.5,117.9,0,9.73
30,groundbeef,September 2019,137.5,116.9,1,8.63
31,groundbeef,October 2019,137.9,117.2,1,9.66
32,groundbeef,November 2019,137.7,115.0,0,10.56
33,groundbeef,December 2019,137.8,114.5,1,9.55
34,groundbeef,January 2020,138.0,114.6,1,9.48
35,groundbeef,February 2020,138.7,112.2,1,9.54
36,groundbeef,March 2020,137.9,91.3,0,10.01
37,groundbeef,April 2020,137.3,77.8,1,11.05
38,groundbeef,May 2020,137.5,91.4,1,12.04
39,groundbeef,June 2020,138.6,101.0,0,11.12
40,groundbeef,July 2020,138.8,105.5,1,10.33
41,groundbeef,August 2020,138.6,104.6,0,8.81
42,groundbeef,September 2020,138.3,104.1,1,9.01
43,groundbeef,October 2020,138.9,102.6,1,9.44
44,groundbeef,November 2020,139.0,101.1,0,9.53
45,groundbeef,December 2020,138.8,104.4,1,9.89
46,groundbeef,January 2021,139.5,111.0,1,9.21
47,groundbeef,February 2021,140.2,118.2,1,8.42
48,groundbeef,March 2021,141.0,125.0,0,9.09
49,groundbeef,April 2021,141.8,127.5,1,8.92
50,groundbeef,May 2021,142.6,131.5,1,9.12
51,groundbeef,June 2021,143.1,133.7,0,8.05
52,groundbeef,July 2021,143.7,138.4,1,8.58
53,groundbeef,August 2021,144.1,139.0,0,9.31
54,groundbeef,September 2021,144.4,138.9,1,9.36
55,groundbeef,October 2021,145.7,146.0,1,10.03
56,groundbeef,November 2021,146.0,145.8,0,10.03
57,groundbeef,December 2021,146.0,140.0,1,9.58
58,groundbeef,January 2022,147.4,146.6,1,10.31
59,groundbeef,February 2022,148.8,156.8,1,10.02
60,groundbeef,March 2022,150.8,175.2,0,10.16
61,groundbeef,April 2022,151.6,173.8,1,10.47
62,groundbeef,May 2022,153.7,194.8,1,10.08
63,groundbeef,June 2022,154.4,207.2,0,9.91
64,groundbeef,July 2022,154.6,187.8,1,10.48
65,groundbeef,August 2022,154.1,169.6,0,10.58
66,groundbeef,September 2022,154.1,156.4,1,11.13
67,groundbeef,October 2022,155.2,171.5,1,9.85
68,groundbeef,November 2022,155.4,165.3,0,10.21
69,groundbeef,December 2022,154.8,143.6,1,10.15
70,groundbeef,January 2023,155.7,150.3,1,10.13
71,groundbeef,February 2023,156.4,148.5,1,9.59
72,groundbeef,March 2023,157.3,150.3,0,10.26
73,groundbeef,April 2023,157.9,160.1,1,10.47
74,groundbeef,May 2023,158.5,158.8,1,10.88
75,groundbeef,June 2023,158.4,161.6,0,10.51
76,groundbeef,July 2023,159.6,163.1,1,10.6
77,groundbeef,August 2023,159.9,170.6,0,10.62
78,groundbeef,September 2023,159.7,168.3,1,11.3
79,groundbeef,October 2023,160.3,157.4,1,11.49
80,groundbeef,November 2023,160.6,152.2,0,11.58
81,groundbeef,December 2023,160.0,145.4,1,12.23
82,groundbeef,January 2024,159.9,144.1,1,11.06
83,groundbeef,February 2024,160.2,149.9,1,11.09
84,groundbeef,March 2024,161.4,157.3,0,11.49
85,groundbeef,April 2024,162.2,169.8,1,11.29
86,groundbeef,May 2024,163.2,167.6,1,12.23
87,groundbeef,June 2024,163.1,162.4,0,12.83
88,groundbeef,July 2024,163.9,166.5,1,13.14
89,groundbeef,August 2024,163.3,162.1,0,13.47
90,groundbeef,September 2024,162.8,150.3,1,13.59
91,groundbeef,October 2024,163.5,151.6,1,12.88
92,groundbeef,November 2024,163.5,151.4,0,12.98
93,groundbeef,December 2024,162.7,150.5,1,13.38
94,groundbeef,January 2025,162.6,156.7,1,13.35
95,groundbeef,February 2025,164.6,157.7,1,12.96
96,groundbeef,March 2025,165.1,154.8,0,13.32
97,groundbeef,April 2025,164.8,139.2,1,13.04
98,groundbeef,May 2025,165.9,141.7,1,14.53
99,groundbeef,June 2025,166.0,140.7,0,14.77
100,groundbeef,July 2025,166.5,139.6,1,14.28
101,groundbeef,August 2025,166.0,141.6,0,14.54
