Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,iceberglettuce,April 2017,132.0,116.1,1,2.52
2,iceberglettuce,May 2017,131.9,110.9,1,2.32
3,iceberglettuce,June 2017,132.1,106.5,0,1.95
4,iceberglettuce,July 2017,131.9,107.0,1,1.43
5,iceberglettuce,August 2017,131.8,109.7,0,1.32
6,iceberglettuce,September 2017,132.3,116.0,1,1.25
7,iceberglettuce,October 2017,132.3,112.4,1,1.64
8,iceberglettuce,November 2017,132.7,120.8,0,1.87
9,iceberglettuce,December 2017,132.0,116.9,1,1.77
10,iceberglettuce,January 2018,133.2,120.6,1,1.95
11,iceberglettuce,February 2018,134.0,119.7,1,1.89
12,iceberglettuce,March 2018,134.6,123.1,0,2.35
13,iceberglettuce,April 2018,134.8,131.6,1,1.97
14,iceberglettuce,May 2018,134.9,135.9,1,1.98
15,iceberglettuce,June 2018,135.3,132.9,0,2.01
16,iceberglettuce,July 2018,136.0,133.9,1,1.66
17,iceberglettuce,August 2018,135.9,131.8,0,1.61
18,iceberglettuce,September 2018,135.2,130.4,1,1.57
19,iceberglettuce,October 2018,135.6,125.9,1,1.67
20,iceberglettuce,November 2018,135.1,113.8,0,2.47
21,iceberglettuce,December 2018,135.0,106.4,1,3.43
22,iceberglettuce,January 2019,135.2,103.1,1,2.77
23,iceberglettuce,February 2019,136.0,105.1,1,2.03
24,iceberglettuce,March 2019,137.0,117.7,0,2.57
25,iceberglettuce,April 2019,137.4,129.5,1,2.67
26,iceberglettuce,May 2019,138.1,130.7,1,2.74
27,iceberglettuce,June 2019,138.0,119.9,0,2.17
28,iceberglettuce,July 2019,138.8,124.4,1,1.62
29,iceberglettuce,August 2019,138.5,117.9,0,1.82
30,iceberglettuce,September 2019,137.5,116.9,1,1.78
31,iceberglettuce,October 2019,137.9,117.2,1,2.1
32,iceberglettuce,November 2019,137.7,115.0,0,2.62
33,iceberglettuce,December 2019,137.8,114.5,1,2.67
34,iceberglettuce,January 2020,138.0,114.6,1,2.51
35,iceberglettuce,February 2020,138.7,112.2,1,2.04
36,iceberglettuce,March 2020,137.9,91.3,0,2.44
37,iceberglettuce,April 2020,137.3,77.8,1,2.43
38,iceberglettuce,May 2020,137.5,91.4,1,2.15
39,iceberglettuce,June 2020,138.6,101.0,0,2.38
40,iceberglettuce,July 2020,138.8,105.5,1,1.81
41,iceberglettuce,August 2020,138.6,104.6,0,1.9
42,iceberglettuce,September 2020,138.3,104.1,1,1.92
43,iceberglettuce,October 2020,138.9,102.6,1,2.91
44,iceberglettuce,November 2020,139.0,101.1,0,2.76
45,iceberglettuce,December 2020,138.8,104.4,1,2.82
46,iceberglettuce,January 2021,139.5,111.0,1,2.58
47,iceberglettuce,February 2021,140.2,118.2,1,2.11
48,iceberglettuce,March 2021,141.0,125.0,0,2.29
49,iceberglettuce,April 2021,141.8,127.5,1,2.39
50,iceberglettuce,May 2021,142.6,131.5,1,2.36
51,iceberglettuce,June 2021,143.1,133.7,0,2.18
52,iceberglettuce,July 2021,143.7,138.4,1,1.79
53,iceberglettuce,August 2021,144.1,139.0,0,1.94
54,iceberglettuce,September 2021,144.4,138.9,1,1.99
55,iceberglettuce,October 2021,145.7,146.0,1,2.35
56,iceberglettuce,November 2021,146.0,145.8,0,3.32
57,iceberglettuce,December 2021,146.0,140.0,1,2.65
58,iceberglettuce,January 2022,147.4,146.6,1,2.4
59,iceberglettuce,February 2022,148.8,156.8,1,2.49
60,iceberglettuce,March 2022,150.8,175.2,0,2.94
61,iceberglettuce,April 2022,151.6,173.8,1,3.09
62,iceberglettuce,May 2022,153.7,194.8,1,2.84
63,iceberglettuce,June 2022,154.4,207.2,0,2.73
64,iceberglettuce,July 2022,154.6,187.8,1,2.09
65,iceberglettuce,August 2022,154.1,169.6,0,2.17
66,iceberglettuce,September 2022,154.1,156.4,1,2.45
67,iceberglettuce,October 2022,155.2,171.5,1,3.27
68,iceberglettuce,November 2022,155.4,165.3,0,4.1
69,iceberglettuce,December 2022,154.8,143.6,1,4.31
70,iceberglettuce,January 2023,155.7,150.3,1,2.94
71,iceberglettuce,February 2023,156.4,148.5,1,2.74
72,iceberglettuce,March 2023,157.3,150.3,0,2.84
73,iceberglettuce,April 2023,157.9,160.1,1,3.1
74,iceberglettuce,May 2023,158.5,158.8,1,3.16
75,iceberglettuce,June 2023,158.4,161.6,0,2.65
76,iceberglettuce,July 2023,159.6,163.1,1,2.45
77,iceberglettuce,August 2023,159.9,170.6,0,2.76
78,iceberglettuce,September 2023,159.7,168.3,1,2.82
79,iceberglettuce,October 2023,160.3,157.4,1,2.99
80,iceberglettuce,November 2023,160.6,152.2,0,3.02
81,iceberglettuce,December 2023,160.0,145.4,1,3.11
82,iceberglettuce,January 2024,159.9,144.1,1,2.79
83,iceberglettuce,February 2024,160.2,149.9,1,2.92
84,iceberglettuce,March 2024,161.4,157.3,0,3.19
85,iceberglettuce,April 2024,162.2,169.8,1,3.24
86,iceberglettuce,May 2024,163.2,167.6,1,3.15
87,iceberglettuce,June 2024,163.1,162.4,0,3.18
88,iceberglettuce,July 2024,163.9,166.5,1,2.47
89,iceberglettuce,August 2024,163.3,162.1,0,2.7
90,iceberglettuce,September 2024,162.8,150.3,1,2.21
91,iceberglettuce,October 2024,163.5,151.6,1,2.52
92,iceberglettuce,November 2024,163.5,151.4,0,3.06
93,iceberglettuce,December 2024,162.7,150.5,1,3.18
94,iceberglettuce,January 2025,162.6,156.7,1,2.79
95,iceberglettuce,February 2025,164.6,157.7,1,3.22
96,iceberglettuce,March 2025,165.1,154.8,0,3.16
97,iceberglettuce,April 2025,164.8,139.2,1,3.06
98,iceberglettuce,May 2025,165.9,141.7,1,3.07
