Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,infantformula,April 2017,132.0,116.1,1,26.98
2,infantformula,May 2017,131.9,110.9,1,26.31
3,infantformula,June 2017,132.1,106.5,0,27.58
4,infantformula,July 2017,131.9,107.0,1,27.07
5,infantformula,August 2017,131.8,109.7,0,27.13
6,infantformula,September 2017,132.3,116.0,1,27.77
7,infantformula,October 2017,132.3,112.4,1,27.99
8,infantformula,November 2017,132.7,120.8,0,27.18
9,infantformula,December 2017,132.0,116.9,1,27.0
10,infantformula,January 2018,133.2,120.6,1,27.28
11,infantformula,February 2018,134.0,119.7,1,26.67
12,infantformula,March 2018,134.6,123.1,0,27.07
13,infantformula,April 2018,134.8,131.6,1,26.87
14,infantformula,May 2018,134.9,135.9,1,27.71
15,infantformula,June 2018,135.3,132.9,0,28.1
16,infantformula,July 2018,136.0,133.9,1,27.88
17,infantformula,August 2018,135.9,131.8,0,28.61
18,infantformula,September 2018,135.2,130.4,1,28.64
19,infantformula,October 2018,135.6,125.9,1,29.1
20,infantformula,November 2018,135.1,113.8,0,30.17
21,infantformula,December 2018,135.0,106.4,1,29.89
22,infantformula,January 2019,135.2,103.1,1,30.23
23,infantformula,February 2019,136.0,105.1,1,30.08
24,infantformula,March 2019,137.0,117.7,0,31.06
25,infantformula,April 2019,137.4,129.5,1,29.73
26,infantformula,May 2019,138.1,130.7,1,29.33
27,infantformula,June 2019,138.0,119.9,0,30.16
28,infantformula,July 2019,138.8,124.4,1,28.73
29,infantformula,August 2019,138.5,117.9,0,29.23
30,infantformula,September 2019,137.5,116.9,1,29.48
31,infantformula,October 2019,137.9,117.2,1,29.19
32,infantformula,November 2019,137.7,115.0,0,30.15
33,infantformula,December 2019,137.8,114.5,1,30.34
34,infantformula,January 2020,138.0,114.6,1,30.57
35,infantformula,February 2020,138.7,112.2,1,31.88
36,infantformula,March 2020,137.9,91.3,0,31.0
37,infantformula,April 2020,137.3,77.8,1,30.06
38,infantformula,May 2020,137.5,91.4,1,31.0
39,infantformula,June 2020,138.6,101.0,0,30.38
40,infantformula,July 2020,138.8,105.5,1,30.69
41,infantformula,August 2020,138.6,104.6,0,30.69
42,infantformula,September 2020,138.3,104.1,1,30.18
43,infantformula,October 2020,138.9,102.6,1,30.59
44,infantformula,November 2020,139.0,101.1,0,30.21
45,infantformula,December 2020,138.8,104.4,1,30.11
46,infantformula,January 2021,139.5,111.0,1,31.07
47,infantformula,February 2021,140.2,118.2,1,31.27
48,infantformula,March 2021,141.0,125.0,0,30.29
49,infantformula,April 2021,141.8,127.5,1,32.24
50,infantformula,May 2021,142.6,131.5,1,32.21
51,infantformula,June 2021,143.1,133.7,0,31.97
52,infantformula,July 2021,143.7,138.4,1,32.99
53,infantformula,August 2021,144.1,139.0,0,32.33
54,infantformula,September 2021,144.4,138.9,1,32.14
55,infantformula,October 2021,145.7,146.0,1,31.95
56,infantformula,November 2021,146.0,145.8,0,30.9
57,infantformula,December 2021,146.0,140.0,1,31.34
58,infantformula,January 2022,147.4,146.6,1,30.94
59,infantformula,February 2022,148.8,156.8,1,29.86
60,infantformula,March 2022,150.8,175.2,0,28.18
61,infantformula,April 2022,151.6,173.8,1,30.64
62,infantformula,May 2022,153.7,194.8,1,33.53
63,infantformula,June 2022,154.4,207.2,0,31.63
64,infantformula,July 2022,154.6,187.8,1,31.95
65,infantformula,August 2022,154.1,169.6,0,31.84
66,infantformula,September 2022,154.1,156.4,1,32.28
67,infantformula,October 2022,155.2,171.5,1,34.8
68,infantformula,November 2022,155.4,165.3,0,34.8
69,infantformula,December 2022,154.8,143.6,1,34.75
70,infantformula,January 2023,155.7,150.3,1,37.12
71,infantformula,February 2023,156.4,148.5,1,33.23
72,infantformula,March 2023,157.3,150.3,0,37.74
73,infantformula,April 2023,157.9,160.1,1,37.22
74,infantformula,May 2023,158.5,158.8,1,37.9
75,infantformula,June 2023,158.4,161.6,0,41.05
76,infantformula,July 2023,159.6,163.1,1,37.94
77,infantformula,August 2023,159.9,170.6,0,39.81
78,infantformula,September 2023,159.7,168.3,1,39.4
79,infantformula,October 2023,160.3,157.4,1,40.92
80,infantformula,November 2023,160.6,152.2,0,41.76
81,infantformula,December 2023,160.0,145.4,1,41.92
82,infantformula,January 2024,159.9,144.1,1,40.1
83,infantformula,February 2024,160.2,149.9,1,42.99
84,infantformula,March 2024,161.4,157.3,0,43.42
85,infantformula,April 2024,162.2,169.8,1,44.71
86,infantformula,May 2024,163.2,167.6,1,44.83
87,infantformula,June 2024,163.1,162.4,0,45.65
88,infantformula,July 2024,163.9,166.5,1,46.3
89,infantformula,August 2024,163.3,162.1,0,47.52
90,infantformula,September 2024,162.8,150.3,1,46.94
91,infantformula,October 2024,163.5,151.6,1,46.24
92,infantformula,November 2024,163.5,151.4,0,46.1
93,infantformula,December 2024,162.7,150.5,1,44.84
94,infantformula,January 2025,162.6,156.7,1,46.63
95,infantformula,February 2025,164.6,157.7,1,48.35
96,infantformula,March 2025,165.1,154.8,0,49.68
97,infantformula,April 2025,164.8,139.2,1,48.94
98,infantformula,May 2025,165.9,141.7,1,50.38
99,infantformula,June 2025,166.0,140.7,0,49.3
100,infantformula,July 2025,166.5,139.6,1,50.62
101,infantformula,August 2025,166.0,141.6,0,49.13
