Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,ketchup,April 2017,132.0,116.1,1,3.14
2,ketchup,May 2017,131.9,110.9,1,3.01
3,ketchup,June 2017,132.1,106.5,0,3.0
4,ketchup,July 2017,131.9,107.0,1,2.93
5,ketchup,August 2017,131.8,109.7,0,3.01
6,ketchup,September 2017,132.3,116.0,1,2.99
7,ketchup,October 2017,132.3,112.4,1,3.12
8,ketchup,November 2017,132.7,120.8,0,3.12
9,ketchup,December 2017,132.0,116.9,1,3.21
10,ketchup,January 2018,133.2,120.6,1,3.19
11,ketchup,February 2018,134.0,119.7,1,3.23
12,ketchup,March 2018,134.6,123.1,0,3.26
13,ketchup,April 2018,134.8,131.6,1,3.16
14,ketchup,May 2018,134.9,135.9,1,3.15
15,ketchup,June 2018,135.3,132.9,0,3.15
16,ketchup,July 2018,136.0,133.9,1,3.12
17,ketchup,August 2018,135.9,131.8,0,3.29
18,ketchup,September 2018,135.2,130.4,1,3.27
19,ketchup,October 2018,135.6,125.9,1,3.26
20,ketchup,November 2018,135.1,113.8,0,3.29
21,ketchup,December 2018,135.0,106.4,1,3.37
22,ketchup,January 2019,135.2,103.1,1,3.35
23,ketchup,February 2019,136.0,105.1,1,3.31
24,ketchup,March 2019,137.0,117.7,0,3.17
25,ketchup,April 2019,137.4,129.5,1,3.18
26,ketchup,May 2019,138.1,130.7,1,3.17
27,ketchup,June 2019,138.0,119.9,0,3.25
28,ketchup,July 2019,138.8,124.4,1,3.21
29,ketchup,August 2019,138.5,117.9,0,3.24
30,ketchup,September 2019,137.5,116.9,1,3.21
31,ketchup,October 2019,137.9,117.2,1,3.25
32,ketchup,November 2019,137.7,115.0,0,3.12
33,ketchup,December 2019,137.8,114.5,1,3.26
34,ketchup,January 2020,138.0,114.6,1,3.28
35,ketchup,February 2020,138.7,112.2,1,3.2
36,ketchup,March 2020,137.9,91.3,0,3.28
37,ketchup,April 2020,137.3,77.8,1,3.33
38,ketchup,May 2020,137.5,91.4,1,3.18
39,ketchup,June 2020,138.6,101.0,0,3.25
40,ketchup,July 2020,138.8,105.5,1,3.21
41,ketchup,August 2020,138.6,104.6,0,3.24
42,ketchup,September 2020,138.3,104.1,1,3.2
43,ketchup,October 2020,138.9,102.6,1,3.21
44,ketchup,November 2020,139.0,101.1,0,3.3
45,ketchup,December 2020,138.8,104.4,1,3.39
46,ketchup,January 2021,139.5,111.0,1,3.34
47,ketchup,February 2021,140.2,118.2,1,3.36
48,ketchup,March 2021,141.0,125.0,0,3.27
49,ketchup,April 2021,141.8,127.5,1,3.31
50,ketchup,May 2021,142.6,131.5,1,3.19
51,ketchup,June 2021,143.1,133.7,0,3.19
52,ketchup,July 2021,143.7,138.4,1,3.22
53,ketchup,August 2021,144.1,139.0,0,3.22
54,ketchup,September 2021,144.4,138.9,1,3.2
55,ketchup,October 2021,145.7,146.0,1,3.43
56,ketchup,November 2021,146.0,145.8,0,3.56
57,ketchup,December 2021,146.0,140.0,1,3.74
58,ketchup,January 2022,147.4,146.6,1,3.84
59,ketchup,February 2022,148.8,156.8,1,3.92
60,ketchup,March 2022,150.8,175.2,0,3.96
61,ketchup,April 2022,151.6,173.8,1,4.06
62,ketchup,May 2022,153.7,194.8,1,4.06
63,ketchup,June 2022,154.4,207.2,0,3.95
64,ketchup,July 2022,154.6,187.8,1,3.91
65,ketchup,August 2022,154.1,169.6,0,4.06
66,ketchup,September 2022,154.1,156.4,1,4.04
67,ketchup,October 2022,155.2,171.5,1,4.01
68,ketchup,November 2022,155.4,165.3,0,3.94
69,ketchup,December 2022,154.8,143.6,1,4.16
70,ketchup,January 2023,155.7,150.3,1,4.03
71,ketchup,February 2023,156.4,148.5,1,4.23
72,ketchup,March 2023,157.3,150.3,0,4.44
73,ketchup,April 2023,157.9,160.1,1,4.36
74,ketchup,May 2023,158.5,158.8,1,4.48
75,ketchup,June 2023,158.4,161.6,0,4.57
76,ketchup,July 2023,159.6,163.1,1,4.33
77,ketchup,August 2023,159.9,170.6,0,4.43
78,ketchup,September 2023,159.7,168.3,1,4.52
79,ketchup,October 2023,160.3,157.4,1,4.81
80,ketchup,November 2023,160.6,152.2,0,4.83
81,ketchup,December 2023,160.0,145.4,1,4.7
82,ketchup,January 2024,159.9,144.1,1,4.67
83,ketchup,February 2024,160.2,149.9,1,4.66
84,ketchup,March 2024,161.4,157.3,0,4.78
85,ketchup,April 2024,162.2,169.8,1,4.58
86,ketchup,May 2024,163.2,167.6,1,4.7
87,ketchup,June 2024,163.1,162.4,0,4.29
88,ketchup,July 2024,163.9,166.5,1,4.63
89,ketchup,August 2024,163.3,162.1,0,4.68
90,ketchup,September 2024,162.8,150.3,1,4.75
91,ketchup,October 2024,163.5,151.6,1,4.85
92,ketchup,November 2024,163.5,151.4,0,4.74
93,ketchup,December 2024,162.7,150.5,1,4.82
94,ketchup,January 2025,162.6,156.7,1,4.75
95,ketchup,February 2025,164.6,157.7,1,4.81
96,ketchup,March 2025,165.1,154.8,0,4.75
97,ketchup,April 2025,164.8,139.2,1,4.9
98,ketchup,May 2025,165.9,141.7,1,4.71
99,ketchup,June 2025,166.0,140.7,0,4.56
100,ketchup,July 2025,166.5,139.6,1,4.64
101,ketchup,August 2025,166.0,141.6,0,4.62
