Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,laundrydetergent,April 2017,132.0,116.1,1,9.79
2,laundrydetergent,May 2017,131.9,110.9,1,12.15
3,laundrydetergent,June 2017,132.1,106.5,0,11.45
4,laundrydetergent,July 2017,131.9,107.0,1,11.54
5,laundrydetergent,August 2017,131.8,109.7,0,10.43
6,laundrydetergent,September 2017,132.3,116.0,1,12.11
7,laundrydetergent,October 2017,132.3,112.4,1,10.16
8,laundrydetergent,November 2017,132.7,120.8,0,11.53
9,laundrydetergent,December 2017,132.0,116.9,1,10.18
10,laundrydetergent,January 2018,133.2,120.6,1,12.17
11,laundrydetergent,February 2018,134.0,119.7,1,11.3
12,laundrydetergent,March 2018,134.6,123.1,0,11.73
13,laundrydetergent,April 2018,134.8,131.6,1,11.12
14,laundrydetergent,May 2018,134.9,135.9,1,12.05
15,laundrydetergent,June 2018,135.3,132.9,0,10.68
16,laundrydetergent,July 2018,136.0,133.9,1,11.18
17,laundrydetergent,August 2018,135.9,131.8,0,11.33
18,laundrydetergent,September 2018,135.2,130.4,1,10.5
19,laundrydetergent,October 2018,135.6,125.9,1,10.72
20,laundrydetergent,November 2018,135.1,113.8,0,11.97
21,laundrydetergent,December 2018,135.0,106.4,1,10.67
22,laundrydetergent,January 2019,135.2,103.1,1,12.5
23,laundrydetergent,February 2019,136.0,105.1,1,10.99
24,laundrydetergent,March 2019,137.0,117.7,0,10.94
25,laundrydetergent,April 2019,137.4,129.5,1,11.98
26,laundrydetergent,May 2019,138.1,130.7,1,11.53
27,laundrydetergent,June 2019,138.0,119.9,0,11.01
28,laundrydetergent,July 2019,138.8,124.4,1,11.85
29,laundrydetergent,August 2019,138.5,117.9,0,11.34
30,laundrydetergent,September 2019,137.5,116.9,1,10.61
31,laundrydetergent,October 2019,137.9,117.2,1,12.23
32,laundrydetergent,November 2019,137.7,115.0,0,9.23
33,laundrydetergent,December 2019,137.8,114.5,1,10.67
34,laundrydetergent,January 2020,138.0,114.6,1,11.53
35,laundrydetergent,February 2020,138.7,112.2,1,9.54
36,laundrydetergent,March 2020,137.9,91.3,0,12.17
37,laundrydetergent,April 2020,137.3,77.8,1,13.67
38,laundrydetergent,May 2020,137.5,91.4,1,12.5
39,laundrydetergent,June 2020,138.6,101.0,0,13.37
40,laundrydetergent,July 2020,138.8,105.5,1,12.89
41,laundrydetergent,August 2020,138.6,104.6,0,11.33
42,laundrydetergent,September 2020,138.3,104.1,1,12.42
43,laundrydetergent,October 2020,138.9,102.6,1,12.15
44,laundrydetergent,November 2020,139.0,101.1,0,13.22
45,laundrydetergent,December 2020,138.8,104.4,1,12.28
46,laundrydetergent,January 2021,139.5,111.0,1,12.67
47,laundrydetergent,February 2021,140.2,118.2,1,12.69
48,laundrydetergent,March 2021,141.0,125.0,0,13.09
49,laundrydetergent,April 2021,141.8,127.5,1,12.0
50,laundrydetergent,May 2021,142.6,131.5,1,11.64
51,laundrydetergent,June 2021,143.1,133.7,0,12.58
