Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,lemons,April 2017,132.0,116.1,1,0.77
2,lemons,May 2017,131.9,110.9,1,0.85
3,lemons,June 2017,132.1,106.5,0,0.88
4,lemons,July 2017,131.9,107.0,1,0.8
5,lemons,August 2017,131.8,109.7,0,0.75
6,lemons,September 2017,132.3,116.0,1,0.66
7,lemons,October 2017,132.3,112.4,1,0.65
8,lemons,November 2017,132.7,120.8,0,0.76
9,lemons,December 2017,132.0,116.9,1,0.89
10,lemons,January 2018,133.2,120.6,1,0.95
11,lemons,February 2018,134.0,119.7,1,0.9
12,lemons,March 2018,134.6,123.1,0,0.92
13,lemons,April 2018,134.8,131.6,1,0.95
14,lemons,May 2018,134.9,135.9,1,0.88
15,lemons,June 2018,135.3,132.9,0,0.78
16,lemons,July 2018,136.0,133.9,1,0.74
17,lemons,August 2018,135.9,131.8,0,0.77
18,lemons,September 2018,135.2,130.4,1,0.72
19,lemons,October 2018,135.6,125.9,1,0.75
20,lemons,November 2018,135.1,113.8,0,0.81
21,lemons,December 2018,135.0,106.4,1,0.81
22,lemons,January 2019,135.2,103.1,1,0.74
23,lemons,February 2019,136.0,105.1,1,0.66
24,lemons,March 2019,137.0,117.7,0,0.68
25,lemons,April 2019,137.4,129.5,1,0.71
26,lemons,May 2019,138.1,130.7,1,0.73
27,lemons,June 2019,138.0,119.9,0,0.72
28,lemons,July 2019,138.8,124.4,1,0.7
29,lemons,August 2019,138.5,117.9,0,0.72
30,lemons,September 2019,137.5,116.9,1,0.71
31,lemons,October 2019,137.9,117.2,1,0.71
32,lemons,November 2019,137.7,115.0,0,0.79
33,lemons,December 2019,137.8,114.5,1,0.77
34,lemons,January 2020,138.0,114.6,1,0.78
35,lemons,February 2020,138.7,112.2,1,0.73
36,lemons,March 2020,137.9,91.3,0,0.72
37,lemons,April 2020,137.3,77.8,1,0.81
38,lemons,May 2020,137.5,91.4,1,0.79
39,lemons,June 2020,138.6,101.0,0,0.75
40,lemons,July 2020,138.8,105.5,1,0.72
41,lemons,August 2020,138.6,104.6,0,0.78
42,lemons,September 2020,138.3,104.1,1,0.71
43,lemons,October 2020,138.9,102.6,1,0.74
44,lemons,November 2020,139.0,101.1,0,0.74
45,lemons,December 2020,138.8,104.4,1,0.78
46,lemons,January 2021,139.5,111.0,1,0.78
47,lemons,February 2021,140.2,118.2,1,0.72
48,lemons,March 2021,141.0,125.0,0,0.73
49,lemons,April 2021,141.8,127.5,1,0.81
50,lemons,May 2021,142.6,131.5,1,0.8
51,lemons,June 2021,143.1,133.7,0,0.77
52,lemons,July 2021,143.7,138.4,1,0.75
53,lemons,August 2021,144.1,139.0,0,0.74
54,lemons,September 2021,144.4,138.9,1,0.75
55,lemons,October 2021,145.7,146.0,1,0.78
56,lemons,November 2021,146.0,145.8,0,0.82
57,lemons,December 2021,146.0,140.0,1,0.86
58,lemons,January 2022,147.4,146.6,1,0.88
59,lemons,February 2022,148.8,156.8,1,0.87
60,lemons,March 2022,150.8,175.2,0,0.87
61,lemons,April 2022,151.6,173.8,1,0.88
62,lemons,May 2022,153.7,194.8,1,0.89
63,lemons,June 2022,154.4,207.2,0,0.84
64,lemons,July 2022,154.6,187.8,1,0.83
65,lemons,August 2022,154.1,169.6,0,0.86
66,lemons,September 2022,154.1,156.4,1,0.8
67,lemons,October 2022,155.2,171.5,1,0.85
68,lemons,November 2022,155.4,165.3,0,0.9
69,lemons,December 2022,154.8,143.6,1,0.94
70,lemons,January 2023,155.7,150.3,1,0.86
71,lemons,February 2023,156.4,148.5,1,0.98
72,lemons,March 2023,157.3,150.3,0,0.93
73,lemons,April 2023,157.9,160.1,1,1.0
74,lemons,May 2023,158.5,158.8,1,0.86
75,lemons,June 2023,158.4,161.6,0,0.85
76,lemons,July 2023,159.6,163.1,1,0.79
77,lemons,August 2023,159.9,170.6,0,0.82
78,lemons,September 2023,159.7,168.3,1,0.73
79,lemons,October 2023,160.3,157.4,1,0.82
80,lemons,November 2023,160.6,152.2,0,0.88
81,lemons,December 2023,160.0,145.4,1,0.93
82,lemons,January 2024,159.9,144.1,1,0.9
83,lemons,February 2024,160.2,149.9,1,0.91
84,lemons,March 2024,161.4,157.3,0,0.92
85,lemons,April 2024,162.2,169.8,1,0.91
86,lemons,May 2024,163.2,167.6,1,0.88
87,lemons,June 2024,163.1,162.4,0,0.89
88,lemons,July 2024,163.9,166.5,1,0.9
89,lemons,August 2024,163.3,162.1,0,0.83
90,lemons,September 2024,162.8,150.3,1,0.89
91,lemons,October 2024,163.5,151.6,1,0.9
92,lemons,November 2024,163.5,151.4,0,0.89
93,lemons,December 2024,162.7,150.5,1,0.93
94,lemons,January 2025,162.6,156.7,1,0.93
95,lemons,February 2025,164.6,157.7,1,0.92
96,lemons,March 2025,165.1,154.8,0,0.92
97,lemons,April 2025,164.8,139.2,1,0.91
98,lemons,May 2025,165.9,141.7,1,0.93
99,lemons,June 2025,166.0,140.7,0,0.96
100,lemons,July 2025,166.5,139.6,1,0.96
101,lemons,August 2025,166.0,141.6,0,0.98
