Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,limes,April 2017,132.0,116.1,1,0.51
2,limes,May 2017,131.9,110.9,1,0.46
3,limes,June 2017,132.1,106.5,0,0.38
4,limes,July 2017,131.9,107.0,1,0.38
5,limes,August 2017,131.8,109.7,0,0.38
6,limes,September 2017,132.3,116.0,1,0.35
7,limes,October 2017,132.3,112.4,1,0.3
8,limes,November 2017,132.7,120.8,0,0.32
9,limes,December 2017,132.0,116.9,1,0.4
10,limes,January 2018,133.2,120.6,1,0.42
11,limes,February 2018,134.0,119.7,1,0.42
12,limes,March 2018,134.6,123.1,0,0.63
13,limes,April 2018,134.8,131.6,1,0.66
14,limes,May 2018,134.9,135.9,1,0.53
15,limes,June 2018,135.3,132.9,0,0.42
16,limes,July 2018,136.0,133.9,1,0.41
17,limes,August 2018,135.9,131.8,0,0.44
18,limes,September 2018,135.2,130.4,1,0.41
19,limes,October 2018,135.6,125.9,1,0.37
20,limes,November 2018,135.1,113.8,0,0.39
21,limes,December 2018,135.0,106.4,1,0.49
22,limes,January 2019,135.2,103.1,1,0.41
23,limes,February 2019,136.0,105.1,1,0.41
24,limes,March 2019,137.0,117.7,0,0.49
25,limes,April 2019,137.4,129.5,1,0.66
26,limes,May 2019,138.1,130.7,1,0.6
27,limes,June 2019,138.0,119.9,0,0.46
28,limes,July 2019,138.8,124.4,1,0.39
29,limes,August 2019,138.5,117.9,0,0.45
30,limes,September 2019,137.5,116.9,1,0.5
31,limes,October 2019,137.9,117.2,1,0.44
32,limes,November 2019,137.7,115.0,0,0.46
33,limes,December 2019,137.8,114.5,1,0.57
34,limes,January 2020,138.0,114.6,1,0.52
35,limes,February 2020,138.7,112.2,1,0.47
36,limes,March 2020,137.9,91.3,0,0.57
37,limes,April 2020,137.3,77.8,1,0.54
38,limes,May 2020,137.5,91.4,1,0.49
39,limes,June 2020,138.6,101.0,0,0.42
40,limes,July 2020,138.8,105.5,1,0.43
41,limes,August 2020,138.6,104.6,0,0.48
42,limes,September 2020,138.3,104.1,1,0.55
43,limes,October 2020,138.9,102.6,1,0.45
44,limes,November 2020,139.0,101.1,0,0.45
45,limes,December 2020,138.8,104.4,1,0.53
46,limes,January 2021,139.5,111.0,1,0.5
47,limes,February 2021,140.2,118.2,1,0.45
48,limes,March 2021,141.0,125.0,0,0.59
49,limes,April 2021,141.8,127.5,1,0.62
50,limes,May 2021,142.6,131.5,1,0.58
51,limes,June 2021,143.1,133.7,0,0.57
52,limes,July 2021,143.7,138.4,1,0.51
53,limes,August 2021,144.1,139.0,0,0.5
54,limes,September 2021,144.4,138.9,1,0.48
55,limes,October 2021,145.7,146.0,1,0.5
56,limes,November 2021,146.0,145.8,0,0.55
57,limes,December 2021,146.0,140.0,1,0.64
58,limes,January 2022,147.4,146.6,1,0.73
59,limes,February 2022,148.8,156.8,1,0.79
60,limes,March 2022,150.8,175.2,0,0.88
61,limes,April 2022,151.6,173.8,1,0.89
62,limes,May 2022,153.7,194.8,1,0.8
63,limes,June 2022,154.4,207.2,0,0.65
64,limes,July 2022,154.6,187.8,1,0.58
65,limes,August 2022,154.1,169.6,0,0.65
66,limes,September 2022,154.1,156.4,1,0.59
67,limes,October 2022,155.2,171.5,1,0.64
68,limes,November 2022,155.4,165.3,0,0.7
69,limes,December 2022,154.8,143.6,1,0.73
70,limes,January 2023,155.7,150.3,1,0.74
71,limes,February 2023,156.4,148.5,1,0.76
72,limes,March 2023,157.3,150.3,0,0.79
73,limes,April 2023,157.9,160.1,1,0.81
74,limes,May 2023,158.5,158.8,1,0.72
75,limes,June 2023,158.4,161.6,0,0.67
76,limes,July 2023,159.6,163.1,1,0.65
77,limes,August 2023,159.9,170.6,0,0.76
78,limes,September 2023,159.7,168.3,1,0.67
79,limes,October 2023,160.3,157.4,1,0.75
80,limes,November 2023,160.6,152.2,0,0.79
81,limes,December 2023,160.0,145.4,1,0.84
82,limes,January 2024,159.9,144.1,1,0.81
83,limes,February 2024,160.2,149.9,1,0.7
84,limes,March 2024,161.4,157.3,0,0.79
85,limes,April 2024,162.2,169.8,1,0.77
86,limes,May 2024,163.2,167.6,1,0.66
87,limes,June 2024,163.1,162.4,0,0.61
88,limes,July 2024,163.9,166.5,1,0.72
89,limes,August 2024,163.3,162.1,0,0.74
90,limes,September 2024,162.8,150.3,1,0.73
91,limes,October 2024,163.5,151.6,1,0.78
92,limes,November 2024,163.5,151.4,0,0.75
93,limes,December 2024,162.7,150.5,1,0.74
94,limes,January 2025,162.6,156.7,1,0.75
95,limes,February 2025,164.6,157.7,1,0.77
96,limes,March 2025,165.1,154.8,0,0.74
97,limes,April 2025,164.8,139.2,1,0.74
98,limes,May 2025,165.9,141.7,1,0.7
99,limes,June 2025,166.0,140.7,0,0.76
100,limes,July 2025,166.5,139.6,1,0.78
101,limes,August 2025,166.0,141.6,0,0.8
