Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,margarine,April 2017,132.0,116.1,1,4.69
2,margarine,May 2017,131.9,110.9,1,4.42
3,margarine,June 2017,132.1,106.5,0,4.15
4,margarine,July 2017,131.9,107.0,1,4.01
5,margarine,August 2017,131.8,109.7,0,4.64
6,margarine,September 2017,132.3,116.0,1,4.71
7,margarine,October 2017,132.3,112.4,1,4.69
8,margarine,November 2017,132.7,120.8,0,4.36
9,margarine,December 2017,132.0,116.9,1,4.21
10,margarine,January 2018,133.2,120.6,1,4.03
11,margarine,February 2018,134.0,119.7,1,3.91
12,margarine,March 2018,134.6,123.1,0,4.17
13,margarine,April 2018,134.8,131.6,1,4.68
14,margarine,May 2018,134.9,135.9,1,4.44
15,margarine,June 2018,135.3,132.9,0,4.35
16,margarine,July 2018,136.0,133.9,1,4.29
17,margarine,August 2018,135.9,131.8,0,4.71
18,margarine,September 2018,135.2,130.4,1,4.28
19,margarine,October 2018,135.6,125.9,1,4.74
20,margarine,November 2018,135.1,113.8,0,4.35
21,margarine,December 2018,135.0,106.4,1,4.15
22,margarine,January 2019,135.2,103.1,1,4.22
23,margarine,February 2019,136.0,105.1,1,4.17
24,margarine,March 2019,137.0,117.7,0,4.39
25,margarine,April 2019,137.4,129.5,1,4.67
26,margarine,May 2019,138.1,130.7,1,4.37
27,margarine,June 2019,138.0,119.9,0,4.39
28,margarine,July 2019,138.8,124.4,1,4.67
29,margarine,August 2019,138.5,117.9,0,4.8
30,margarine,September 2019,137.5,116.9,1,4.46
31,margarine,October 2019,137.9,117.2,1,4.72
32,margarine,November 2019,137.7,115.0,0,4.24
33,margarine,December 2019,137.8,114.5,1,4.14
34,margarine,January 2020,138.0,114.6,1,4.27
35,margarine,February 2020,138.7,112.2,1,4.03
36,margarine,March 2020,137.9,91.3,0,4.42
37,margarine,April 2020,137.3,77.8,1,4.72
38,margarine,May 2020,137.5,91.4,1,4.4
39,margarine,June 2020,138.6,101.0,0,4.26
40,margarine,July 2020,138.8,105.5,1,4.43
41,margarine,August 2020,138.6,104.6,0,4.97
42,margarine,September 2020,138.3,104.1,1,4.57
43,margarine,October 2020,138.9,102.6,1,4.29
44,margarine,November 2020,139.0,101.1,0,4.39
45,margarine,December 2020,138.8,104.4,1,4.57
46,margarine,January 2021,139.5,111.0,1,4.36
47,margarine,February 2021,140.2,118.2,1,4.52
48,margarine,March 2021,141.0,125.0,0,4.53
49,margarine,April 2021,141.8,127.5,1,5.03
50,margarine,May 2021,142.6,131.5,1,4.9
51,margarine,June 2021,143.1,133.7,0,4.79
52,margarine,July 2021,143.7,138.4,1,4.84
53,margarine,August 2021,144.1,139.0,0,5.18
54,margarine,September 2021,144.4,138.9,1,5.13
55,margarine,October 2021,145.7,146.0,1,4.92
56,margarine,November 2021,146.0,145.8,0,5.31
57,margarine,December 2021,146.0,140.0,1,5.02
58,margarine,January 2022,147.4,146.6,1,5.16
59,margarine,February 2022,148.8,156.8,1,5.27
60,margarine,March 2022,150.8,175.2,0,5.47
61,margarine,April 2022,151.6,173.8,1,6.44
62,margarine,May 2022,153.7,194.8,1,6.34
63,margarine,June 2022,154.4,207.2,0,6.61
64,margarine,July 2022,154.6,187.8,1,6.79
65,margarine,August 2022,154.1,169.6,0,7.42
66,margarine,September 2022,154.1,156.4,1,7.34
67,margarine,October 2022,155.2,171.5,1,7.28
68,margarine,November 2022,155.4,165.3,0,7.49
69,margarine,December 2022,154.8,143.6,1,7.31
70,margarine,January 2023,155.7,150.3,1,7.33
71,margarine,February 2023,156.4,148.5,1,7.18
72,margarine,March 2023,157.3,150.3,0,7.27
73,margarine,April 2023,157.9,160.1,1,7.65
74,margarine,May 2023,158.5,158.8,1,7.76
75,margarine,June 2023,158.4,161.6,0,7.83
76,margarine,July 2023,159.6,163.1,1,7.79
77,margarine,August 2023,159.9,170.6,0,7.8
78,margarine,September 2023,159.7,168.3,1,7.98
79,margarine,October 2023,160.3,157.4,1,7.86
80,margarine,November 2023,160.6,152.2,0,7.61
81,margarine,December 2023,160.0,145.4,1,7.71
82,margarine,January 2024,159.9,144.1,1,7.56
83,margarine,February 2024,160.2,149.9,1,7.54
84,margarine,March 2024,161.4,157.3,0,7.53
85,margarine,April 2024,162.2,169.8,1,6.99
86,margarine,May 2024,163.2,167.6,1,7.43
87,margarine,June 2024,163.1,162.4,0,7.02
88,margarine,July 2024,163.9,166.5,1,7.51
89,margarine,August 2024,163.3,162.1,0,7.2
90,margarine,September 2024,162.8,150.3,1,7.34
91,margarine,October 2024,163.5,151.6,1,7.21
92,margarine,November 2024,163.5,151.4,0,7.27
93,margarine,December 2024,162.7,150.5,1,7.46
94,margarine,January 2025,162.6,156.7,1,7.42
95,margarine,February 2025,164.6,157.7,1,7.31
96,margarine,March 2025,165.1,154.8,0,7.53
97,margarine,April 2025,164.8,139.2,1,7.34
98,margarine,May 2025,165.9,141.7,1,7.04
99,margarine,June 2025,166.0,140.7,0,7.08
100,margarine,July 2025,166.5,139.6,1,6.91
101,margarine,August 2025,166.0,141.6,0,7.25
