Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,mayonnaise,April 2017,132.0,116.1,1,4.17
2,mayonnaise,May 2017,131.9,110.9,1,4.06
3,mayonnaise,June 2017,132.1,106.5,0,4.04
4,mayonnaise,July 2017,131.9,107.0,1,4.08
5,mayonnaise,August 2017,131.8,109.7,0,4.19
6,mayonnaise,September 2017,132.3,116.0,1,4.35
7,mayonnaise,October 2017,132.3,112.4,1,4.02
8,mayonnaise,November 2017,132.7,120.8,0,4.2
9,mayonnaise,December 2017,132.0,116.9,1,4.4
10,mayonnaise,January 2018,133.2,120.6,1,4.24
11,mayonnaise,February 2018,134.0,119.7,1,4.32
12,mayonnaise,March 2018,134.6,123.1,0,4.16
13,mayonnaise,April 2018,134.8,131.6,1,4.3
14,mayonnaise,May 2018,134.9,135.9,1,4.21
15,mayonnaise,June 2018,135.3,132.9,0,4.15
16,mayonnaise,July 2018,136.0,133.9,1,4.28
17,mayonnaise,August 2018,135.9,131.8,0,4.38
18,mayonnaise,September 2018,135.2,130.4,1,4.44
19,mayonnaise,October 2018,135.6,125.9,1,4.29
20,mayonnaise,November 2018,135.1,113.8,0,4.47
21,mayonnaise,December 2018,135.0,106.4,1,4.38
22,mayonnaise,January 2019,135.2,103.1,1,4.43
23,mayonnaise,February 2019,136.0,105.1,1,4.41
24,mayonnaise,March 2019,137.0,117.7,0,4.35
25,mayonnaise,April 2019,137.4,129.5,1,4.41
26,mayonnaise,May 2019,138.1,130.7,1,4.34
27,mayonnaise,June 2019,138.0,119.9,0,4.15
28,mayonnaise,July 2019,138.8,124.4,1,4.29
29,mayonnaise,August 2019,138.5,117.9,0,4.41
30,mayonnaise,September 2019,137.5,116.9,1,4.39
31,mayonnaise,October 2019,137.9,117.2,1,4.32
32,mayonnaise,November 2019,137.7,115.0,0,4.34
33,mayonnaise,December 2019,137.8,114.5,1,4.42
34,mayonnaise,January 2020,138.0,114.6,1,4.4
35,mayonnaise,February 2020,138.7,112.2,1,4.35
36,mayonnaise,March 2020,137.9,91.3,0,4.57
37,mayonnaise,April 2020,137.3,77.8,1,4.71
38,mayonnaise,May 2020,137.5,91.4,1,4.38
39,mayonnaise,June 2020,138.6,101.0,0,4.42
40,mayonnaise,July 2020,138.8,105.5,1,4.56
41,mayonnaise,August 2020,138.6,104.6,0,4.55
42,mayonnaise,September 2020,138.3,104.1,1,4.52
43,mayonnaise,October 2020,138.9,102.6,1,4.53
