Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,meatlessburgers,April 2017,132.0,116.1,1,4.18
2,meatlessburgers,May 2017,131.9,110.9,1,4.08
3,meatlessburgers,June 2017,132.1,106.5,0,4.3
4,meatlessburgers,July 2017,131.9,107.0,1,4.22
5,meatlessburgers,August 2017,131.8,109.7,0,4.17
6,meatlessburgers,September 2017,132.3,116.0,1,4.29
7,meatlessburgers,October 2017,132.3,112.4,1,4.25
8,meatlessburgers,November 2017,132.7,120.8,0,4.39
9,meatlessburgers,December 2017,132.0,116.9,1,4.39
10,meatlessburgers,January 2018,133.2,120.6,1,4.41
11,meatlessburgers,February 2018,134.0,119.7,1,4.32
12,meatlessburgers,March 2018,134.6,123.1,0,4.29
13,meatlessburgers,April 2018,134.8,131.6,1,4.32
14,meatlessburgers,May 2018,134.9,135.9,1,4.35
15,meatlessburgers,June 2018,135.3,132.9,0,4.4
16,meatlessburgers,July 2018,136.0,133.9,1,4.27
17,meatlessburgers,August 2018,135.9,131.8,0,4.23
18,meatlessburgers,September 2018,135.2,130.4,1,4.43
19,meatlessburgers,October 2018,135.6,125.9,1,4.55
20,meatlessburgers,November 2018,135.1,113.8,0,4.6
21,meatlessburgers,December 2018,135.0,106.4,1,4.45
22,meatlessburgers,January 2019,135.2,103.1,1,4.5
23,meatlessburgers,February 2019,136.0,105.1,1,4.41
24,meatlessburgers,March 2019,137.0,117.7,0,4.3
25,meatlessburgers,April 2019,137.4,129.5,1,4.59
26,meatlessburgers,May 2019,138.1,130.7,1,6.13
27,meatlessburgers,June 2019,138.0,119.9,0,5.92
28,meatlessburgers,July 2019,138.8,124.4,1,6.15
29,meatlessburgers,August 2019,138.5,117.9,0,6.09
30,meatlessburgers,September 2019,137.5,116.9,1,5.91
31,meatlessburgers,October 2019,137.9,117.2,1,5.6
32,meatlessburgers,November 2019,137.7,115.0,0,5.66
33,meatlessburgers,December 2019,137.8,114.5,1,5.52
34,meatlessburgers,January 2020,138.0,114.6,1,5.06
35,meatlessburgers,February 2020,138.7,112.2,1,4.98
36,meatlessburgers,March 2020,137.9,91.3,0,5.53
37,meatlessburgers,April 2020,137.3,77.8,1,5.74
38,meatlessburgers,May 2020,137.5,91.4,1,5.69
