Strata,Product,Time,CPI,FuelPrice,Holiday Month,Price
1,milk,April 2017,132.0,116.1,1,4.68
2,milk,May 2017,131.9,110.9,1,4.69
3,milk,June 2017,132.1,106.5,0,4.7
4,milk,July 2017,131.9,107.0,1,4.71
5,milk,August 2017,131.8,109.7,0,4.69
6,milk,September 2017,132.3,116.0,1,4.69
7,milk,October 2017,132.3,112.4,1,4.72
8,milk,November 2017,132.7,120.8,0,4.72
9,milk,December 2017,132.0,116.9,1,4.72
10,milk,January 2018,133.2,120.6,1,4.69
11,milk,February 2018,134.0,119.7,1,4.72
12,milk,March 2018,134.6,123.1,0,4.7
13,milk,April 2018,134.8,131.6,1,4.72
14,milk,May 2018,134.9,135.9,1,4.73
15,milk,June 2018,135.3,132.9,0,4.73
16,milk,July 2018,136.0,133.9,1,4.73
17,milk,August 2018,135.9,131.8,0,4.73
18,milk,September 2018,135.2,130.4,1,4.95
19,milk,October 2018,135.6,125.9,1,4.89
20,milk,November 2018,135.1,113.8,0,4.85
21,milk,December 2018,135.0,106.4,1,4.89
22,milk,January 2019,135.2,103.1,1,4.87
23,milk,February 2019,136.0,105.1,1,4.87
24,milk,March 2019,137.0,117.7,0,4.83
25,milk,April 2019,137.4,129.5,1,4.85
26,milk,May 2019,138.1,130.7,1,4.85
27,milk,June 2019,138.0,119.9,0,4.83
28,milk,July 2019,138.8,124.4,1,4.86
29,milk,August 2019,138.5,117.9,0,4.85
30,milk,September 2019,137.5,116.9,1,4.83
31,milk,October 2019,137.9,117.2,1,4.85
32,milk,November 2019,137.7,115.0,0,4.84
33,milk,December 2019,137.8,114.5,1,4.86
34,milk,January 2020,138.0,114.6,1,4.87
35,milk,February 2020,138.7,112.2,1,4.96
36,milk,March 2020,137.9,91.3,0,5.02
37,milk,April 2020,137.3,77.8,1,5.02
38,milk,May 2020,137.5,91.4,1,5.0
39,milk,June 2020,138.6,101.0,0,5.01
40,milk,July 2020,138.8,105.5,1,4.98
41,milk,August 2020,138.6,104.6,0,4.95
42,milk,September 2020,138.3,104.1,1,4.99
43,milk,October 2020,138.9,102.6,1,4.97
44,milk,November 2020,139.0,101.1,0,4.96
45,milk,December 2020,138.8,104.4,1,4.97
46,milk,January 2021,139.5,111.0,1,4.98
47,milk,February 2021,140.2,118.2,1,5.15
48,milk,March 2021,141.0,125.0,0,5.14
49,milk,April 2021,141.8,127.5,1,5.13
50,milk,May 2021,142.6,131.5,1,5.2
51,milk,June 2021,143.1,133.7,0,5.16
52,milk,July 2021,143.7,138.4,1,5.17
53,milk,August 2021,144.1,139.0,0,5.14
54,milk,September 2021,144.4,138.9,1,5.16
55,milk,October 2021,145.7,146.0,1,5.14
56,milk,November 2021,146.0,145.8,0,5.16
57,milk,December 2021,146.0,140.0,1,5.19
58,milk,January 2022,147.4,146.6,1,5.21
59,milk,February 2022,148.8,156.8,1,5.69
60,milk,March 2022,150.8,175.2,0,5.77
61,milk,April 2022,151.6,173.8,1,5.84
62,milk,May 2022,153.7,194.8,1,5.82
63,milk,June 2022,154.4,207.2,0,5.77
64,milk,July 2022,154.6,187.8,1,5.78
65,milk,August 2022,154.1,169.6,0,5.82
66,milk,September 2022,154.1,156.4,1,5.99
67,milk,October 2022,155.2,171.5,1,5.99
68,milk,November 2022,155.4,165.3,0,6.07
69,milk,December 2022,154.8,143.6,1,6.1
70,milk,January 2023,155.7,150.3,1,6.06
71,milk,February 2023,156.4,148.5,1,6.2
72,milk,March 2023,157.3,150.3,0,6.25
73,milk,April 2023,157.9,160.1,1,6.3
74,milk,May 2023,158.5,158.8,1,6.26
75,milk,June 2023,158.4,161.6,0,6.27
76,milk,July 2023,159.6,163.1,1,6.26
77,milk,August 2023,159.9,170.6,0,6.28
78,milk,September 2023,159.7,168.3,1,6.2
79,milk,October 2023,160.3,157.4,1,6.22
80,milk,November 2023,160.6,152.2,0,6.29
81,milk,December 2023,160.0,145.4,1,6.28
82,milk,January 2024,159.9,144.1,1,6.29
83,milk,February 2024,160.2,149.9,1,6.32
84,milk,March 2024,161.4,157.3,0,6.26
85,milk,April 2024,162.2,169.8,1,6.3
86,milk,May 2024,163.2,167.6,1,6.48
87,milk,June 2024,163.1,162.4,0,6.59
88,milk,July 2024,163.9,166.5,1,6.49
89,milk,August 2024,163.3,162.1,0,6.56
90,milk,September 2024,162.8,150.3,1,6.54
91,milk,October 2024,163.5,151.6,1,6.51
92,milk,November 2024,163.5,151.4,0,6.53
93,milk,December 2024,162.7,150.5,1,6.51
94,milk,January 2025,162.6,156.7,1,6.49
95,milk,February 2025,164.6,157.7,1,6.66
96,milk,March 2025,165.1,154.8,0,6.63
97,milk,April 2025,164.8,139.2,1,6.65
98,milk,May 2025,165.9,141.7,1,6.68
99,milk,June 2025,166.0,140.7,0,6.75
100,milk,July 2025,166.5,139.6,1,6.64
101,milk,August 2025,166.0,141.6,0,6.66
